# timings: bench_c11_shared
#   date            2026-09-19T09:41:01Z
#   machine         Linux 6.18.44-fc-v37 x86_64, 4 vCPU, Intel(R) Xeon(R) Processor @ 2.80GHz
#   compiler        g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
#   incumbent       protobuf C++ 3.21.12 (libprotobuf-dev, apt)
#                   packages/cpp pins no protobuf version and sets CXX_STANDARD 14
#   core            ak-core-cpp, codec emitted by ffi/poc/rust/gen/rust_abi.py (R1)
#   rustc           rustc 1.94.1 (e408947bf 2026-03-25)
#   commit          23d510bc

-std=201103  impl=floor  guard=on  decode-policy=reject  linkage=shared  rounds=9
protobuf 3021012.  pb = SerializeToString (what a C++ consumer writes).
protobuf validates UTF-8 on SERIALIZE; the spec says the core does not, so
`ffi-valtc` is the like-for-like row and `ffi` is the specified behaviour.
NDEBUG is defined: protobuf's GOOGLE_DCHECKs are compiled out.

-- the crossing itself, same process and build, linkage=shared --
   register-only barrier, to match the rust harness R13 compares against
  forward 1.845 ns   forward+reverse 2.436 ns   reverse alone 0.591 ns
  forward 1.828 ns   forward+reverse 2.431 ns   reverse alone 0.603 ns
  forward 1.830 ns   forward+reverse 2.429 ns   reverse alone 0.600 ns
  forward 1.826 ns   forward+reverse 2.447 ns   reverse alone 0.621 ns
  forward 1.825 ns   forward+reverse 2.439 ns   reverse alone 0.614 ns
  forward 1.824 ns   forward+reverse 2.425 ns   reverse alone 0.601 ns
  forward 1.825 ns   forward+reverse 2.430 ns   reverse alone 0.605 ns
  forward 1.829 ns   forward+reverse 2.440 ns   reverse alone 0.611 ns
  forward 1.827 ns   forward+reverse 2.428 ns   reverse alone 0.600 ns

-- arms --
  P1.1       858 B  done
  P1.2    218121 B  done
  P1.3       605 B  done
  P2.1      1037 B  done
  P2.2    540422 B  done
  P2.3    647024 B  done
  P2.4    979465 B  done
  P2.5     19712 B  done
  P3.1     12097 B  done
  P4.1     65321 B  done
  P5.1       116 B  done
  P5.2     65620 B  done
  P5.3   1048660 B  done
  P5.4   4194390 B  done
  P6.1    123354 B  done

-- protobuf C++ deterministic serialisation, P2.2 (2,000 map entries) --
  deterministic 745007 ns   default 725349 ns   ratio 1.0271
  deterministic 761495 ns   default 706746 ns   ratio 1.0775
  deterministic 744825 ns   default 705971 ns   ratio 1.0550
  deterministic 738946 ns   default 707858 ns   ratio 1.0439
  deterministic 740993 ns   default 709076 ns   ratio 1.0450
  deterministic 743124 ns   default 709355 ns   ratio 1.0476
  deterministic 743304 ns   default 704277 ns   ratio 1.0554
  deterministic 738493 ns   default 707731 ns   ratio 1.0435
  deterministic 741710 ns   default 709626 ns   ratio 1.0452

-- the two-pass blob write, 6000 strings of P1.2, ns per string --
  one pass (length known) 5.273   open-prefix-then-resolve 8.527   delta +3.254
  one pass (length known) 5.266   open-prefix-then-resolve 8.525   delta +3.259
  one pass (length known) 5.387   open-prefix-then-resolve 8.643   delta +3.256
  one pass (length known) 5.311   open-prefix-then-resolve 8.558   delta +3.248
  one pass (length known) 5.300   open-prefix-then-resolve 8.582   delta +3.282
  one pass (length known) 5.320   open-prefix-then-resolve 8.556   delta +3.237
  one pass (length known) 5.287   open-prefix-then-resolve 8.542   delta +3.255
  one pass (length known) 5.271   open-prefix-then-resolve 8.584   delta +3.313
  one pass (length known) 5.266   open-prefix-then-resolve 8.563   delta +3.297

-- ABI v1 decision 3, decode side: the string path ALONE, one process --
   6000 strings of P1.2 per set. `check` validates UTF-8 and rejects;
   `raw` copies the bytes and does not look at them -- which is what a
   C++ non-validating arm IS. A C++ std::string holds arbitrary bytes, so
   there is no lossy-substituting path to compare against, unlike Rust's
   from_utf8_lossy, which already validates.
set           bytes   raw ns/str check ns/str        delta  check/raw
ascii        167989        8.281       31.439       23.157 3.787-3.822
latin1       335978       10.298      135.336      125.038 12.042-13.754
wide         503967        9.201      178.329      169.128 18.828-19.596

-- the STRING-AS-DATA form (decision 1): (ffi-hosttc) - (ffi), within-round --
payload dir    unit           lo       median           hi    % of pb sign
P1.1   enc   ns/el         2.09         2.76         5.56       1.83 +
P1.2   enc   ns/el         3.03         4.19         4.89       2.44 +
P1.3   enc   ns/el        -0.09        -0.00         0.11      -0.00 STRADDLES ZERO
P2.1   enc   ns/el        17.82        21.01        22.65       1.95 +
P2.2   enc   ns/el        11.08        22.51        27.23       1.62 +
P2.3   enc   ns/el        36.09        69.31        88.44       1.52 +
P2.4   enc   ns/el       101.64       174.89       200.12       1.79 +
P2.5   enc   ns/el        13.90        20.27        22.64       2.00 +
P3.1   enc   ns/el         2.26         2.55         2.90       4.11 +
P4.1   enc   ns/el         6.71         8.34         9.18       1.33 +
P5.1   enc  ns/msg         0.93         1.55         2.02       2.20 +
P5.2   enc  ns/msg      -665.35      -506.45      -140.14     -10.15 -
P5.3   enc  ns/msg     -4318.47      -167.52        35.84      -0.17 STRADDLES ZERO
P5.4   enc  ns/msg     -3322.22      -274.22      4655.91      -0.05 STRADDLES ZERO
P6.1   enc   ns/el       -15.04         1.47         6.36       0.26 STRADDLES ZERO

-- the BATCHING predicate (decision 1): (ffi-nobat) - (ffi), within-round --
payload dir    unit           lo       median           hi    % of pb sign
P1.1   enc   ns/el        -6.45        -5.62         4.61      -3.75 STRADDLES ZERO
P1.2   enc   ns/el         0.05         1.23         4.57       0.72 +
P1.3   enc   ns/el         1.67         1.77         1.83      10.10 +
P2.1   enc   ns/el       -53.57       -50.01       -47.10      -4.63 -
P2.2   enc   ns/el       -54.87       -39.62       -32.94      -2.84 -
P2.3   enc   ns/el       175.17       216.65       231.35       4.83 +
P2.4   enc   ns/el       523.02       578.58       601.73       5.84 +
P2.5   enc   ns/el       -36.55       -32.75       -29.83      -3.26 -
P3.1   enc   ns/el         2.86         2.98         3.41       4.78 +
P4.1   enc   ns/el       -10.40        -9.64        -8.68      -1.54 -
P5.1   enc  ns/msg         0.29         0.47         0.94       0.66 +
P5.2   enc  ns/msg      -640.42      -420.23       129.23      -8.88 STRADDLES ZERO
P5.3   enc  ns/msg      -328.72       -98.23       310.41      -0.10 STRADDLES ZERO
P5.4   enc  ns/msg     -1778.88        82.20      5238.93       0.02 STRADDLES ZERO
P6.1   enc   ns/el        -3.15        13.18        23.21       2.35 STRADDLES ZERO

-- decision 9's zeroed element fill: (ffi-zeroed) - (ffi), within-round --
payload dir    unit           lo       median           hi    % of pb sign
P1.1   enc   ns/el        -8.09        -6.77         9.94      -4.48 STRADDLES ZERO
P1.2   enc   ns/el        -3.11        -1.85        -1.38      -1.07 -
P1.3   enc   ns/el       -11.11       -11.03       -11.00     -63.02 -
P2.1   enc   ns/el       -45.37       -42.66       -39.20      -3.98 -
P2.2   enc   ns/el       -26.75       -11.51        -8.78      -0.83 -
P2.3   enc   ns/el       -39.86       -14.74        -7.66      -0.33 -
P2.4   enc   ns/el       -25.00         4.90        37.31       0.05 STRADDLES ZERO
P2.5   enc   ns/el         9.94        12.35        16.61       1.22 +
P3.1   enc   ns/el        -6.07        -5.71        -5.44      -9.19 -
P4.1   enc   ns/el       -11.95       -10.83        -9.32      -1.73 -
P5.1   enc  ns/msg         9.06         9.65         9.99      13.63 +
P5.2   enc  ns/msg      -577.26      -343.13        22.39      -6.88 STRADDLES ZERO
P5.3   enc  ns/msg      -369.35       -56.87       129.38      -0.06 STRADDLES ZERO
P5.4   enc  ns/msg     -2589.77      -206.95      3766.00      -0.04 STRADDLES ZERO
P6.1   enc   ns/el       -18.38        -3.59         1.59      -0.65 STRADDLES ZERO

-- encode-side UTF-8 validation, which protobuf does and the spec does not: (ffi-valtc) - (ffi), within-round --
payload dir    unit           lo       median           hi    % of pb sign
P1.1   enc   ns/el        40.67        41.68        42.83      27.49 +
P1.2   enc   ns/el        45.15        45.98        47.40      26.92 +
P1.3   enc   ns/el        -0.10        -0.03         0.03      -0.14 STRADDLES ZERO
P2.1   enc   ns/el       292.61       294.74       297.28      27.41 +
P2.2   enc   ns/el       365.83       383.39       390.49      27.43 +
