# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P1.1	encode	drop	1121.4	1.025	0.183	0.324		1.774	0.183	0.316
codec-P	P1.1	encode	retain	1121.4	1.025	0.222	0.348		1.570	0.222	0.334
codec-P	P1.1	decode	drop	1175.5	1.079	0.925	1.433	1.181	1.549	0.919	1.421
codec-P	P1.1	decode	retain	1175.5	1.079	0.914	1.152	1.155	1.261	0.903	1.129
codec-P	P1.1	decode-read	drop	1231.2	1.115	0.929	1.391	1.256	1.497	0.930	1.250
codec-P	P1.1	decode-read	retain	1231.2	1.115	0.945	1.408	1.118	1.490	0.947	1.113
codec-P	P1.2	encode	drop	297179.6	1.047	0.194	0.357		1.835	0.194	0.354
codec-P	P1.2	encode	retain	297179.6	1.047	0.246	0.368		1.497	0.244	0.364
codec-P	P1.2	decode	drop	385689.0	0.904	0.812	1.166	0.907	1.436	0.802	1.154
codec-P	P1.2	decode	retain	385689.0	0.904	0.817	1.162	0.905	1.422	0.785	1.150
codec-P	P1.2	decode-read	drop	401826.7	0.927	0.811	1.161	0.940	1.432	0.807	1.158
codec-P	P1.2	decode-read	retain	401826.7	0.927	0.671	1.158	0.904	1.727	0.657	1.137
codec-P	P1.2/latin1	encode	drop	293468.4	1.055	0.199	0.356		1.787	0.198	0.343
codec-P	P1.2/latin1	encode	retain	293468.4	1.055	0.237	0.377		1.591	0.236	0.376
codec-P	P1.2/latin1	decode	drop	588926.1	0.965	0.687	1.258	0.955	1.831	0.741	1.372
codec-P	P1.2/latin1	decode	retain	588926.1	0.965	0.871	1.253	1.033	1.439	0.961	1.364
codec-P	P1.2/latin1	decode-read	drop	618215.7	0.960	0.854	1.216	0.969	1.423	0.847	1.217
codec-P	P1.2/latin1	decode-read	retain	618215.7	0.960	0.681	1.202	1.064	1.764	0.672	1.074
codec-P	P1.2/wide	encode	drop	299663.4	0.827	0.177	0.369		2.086	0.178	0.364
codec-P	P1.2/wide	encode	retain	299663.4	0.827	0.188	0.379		2.021	0.189	0.374
codec-P	P1.2/wide	decode	drop	691919.2	0.776	0.859	1.424	1.202	1.658	0.861	1.410
codec-P	P1.2/wide	decode	retain	691919.2	0.776	0.879	1.427	1.359	1.623	0.836	1.411
codec-P	P1.2/wide	decode-read	drop	707255.1	0.984	0.878	1.448	1.400	1.649	0.866	1.412
codec-P	P1.2/wide	decode-read	retain	707255.1	0.984	0.893	1.415	1.463	1.585	0.880	1.407
codec-P	P1.3	encode	drop	5842.1	1.169	0.299	0.856		2.861	0.305	0.892
codec-P	P1.3	encode	retain	5842.1	1.169	0.418	0.929		2.223	0.433	0.968
codec-P	P1.3	decode	drop	6417.9	2.380	1.917	2.782	2.639	1.451	1.947	2.829
codec-P	P1.3	decode	retain	6417.9	2.380	1.922	2.829	3.043	1.472	1.937	2.872
codec-P	P1.3	decode-read	drop	9604.2	1.827	1.499	2.090	1.974	1.395	1.514	2.091
codec-P	P1.3	decode-read	retain	9604.2	1.827	1.169	2.103	2.183	1.799	1.174	2.067
codec-P	P2.1	encode	drop	1290.7	1.020	0.159	0.440		2.760	0.160	0.430
codec-P	P2.1	encode	retain	1290.7	1.020	0.245	0.472		1.929	0.245	0.365
codec-P	P2.1	decode	drop	2269.4	0.836	0.683	1.079	1.333	1.579	0.681	1.069
codec-P	P2.1	decode	retain	2269.4	0.836	0.676	1.395	1.323	2.063	0.681	1.400
codec-P	P2.1	decode-read	drop	2399.3	0.812	0.647	1.302	1.330	2.011	0.643	1.205
codec-P	P2.1	decode-read	retain	2399.3	0.812	0.687	1.344	1.099	1.955	0.686	1.273
codec-P	P2.2	encode	drop	886353.0	1.035	0.245	0.402		1.639	0.249	0.397
codec-P	P2.2	encode	retain	886353.0	1.035	0.237	0.451		1.902	0.213	0.450
codec-P	P2.2	decode	drop	1401730.8	0.788	0.801	1.408	1.356	1.758	0.731	1.397
codec-P	P2.2	decode	retain	1401730.8	0.788	0.737	1.411	1.287	1.916	0.732	1.398
codec-P	P2.2	decode-read	drop	1467785.7	0.802	0.742	1.402	1.313	1.888	0.746	1.396
codec-P	P2.2	decode-read	retain	1467785.7	0.802	0.749	1.389	1.317	1.855	0.751	1.373
codec-P	P2.2/latin1	encode	drop	918160.0	1.025	0.249	0.429		1.726	0.231	0.360
codec-P	P2.2/latin1	encode	retain	918160.0	1.025	0.224	0.449		2.003	0.223	0.450
codec-P	P2.2/latin1	decode	drop	2036141.9	0.991	0.841	1.378	1.319	1.638	0.863	1.408
codec-P	P2.2/latin1	decode	retain	2036141.9	0.991	0.848	1.375	1.294	1.622	0.866	1.387
codec-P	P2.2/latin1	decode-read	drop	1755160.6	1.182	1.031	1.674	1.561	1.623	1.062	1.698
codec-P	P2.2/latin1	decode-read	retain	1755160.6	1.182	1.043	1.645	1.519	1.577	1.057	1.693
codec-P	P2.2/wide	encode	drop	770704.0	1.232	0.366	0.518		1.417	0.318	0.518
codec-P	P2.2/wide	encode	retain	770704.0	1.232	0.369	0.538		1.457	0.356	0.537
codec-P	P2.2/wide	decode	drop	2095998.6	1.121	1.048	1.563	1.672	1.492	1.073	1.597
codec-P	P2.2/wide	decode	retain	2095998.6	1.121	1.062	1.736	1.579	1.635	1.081	1.776
codec-P	P2.2/wide	decode-read	drop	2565247.6	0.840	0.884	1.396	1.355	1.579	0.908	1.406
codec-P	P2.2/wide	decode-read	retain	2565247.6	0.840	0.890	1.432	1.296	1.609	0.867	1.444
codec-P	P2.3	encode	drop	463502.1	1.022	0.256	0.533		2.078	0.256	0.536
codec-P	P2.3	encode	retain	463502.1	1.022	0.262	0.533		2.033	0.268	0.522
codec-P	P2.3	decode	drop	1178321.9	1.035	0.937	1.284	1.252	1.371	1.107	1.532
codec-P	P2.3	decode	retain	1178321.9	1.035	0.949	1.275	1.236	1.344	1.127	1.532
codec-P	P2.3	decode-read	drop	1321021.6	0.972	0.876	1.166	1.153	1.332	0.886	1.212
codec-P	P2.3	decode-read	retain	1321021.6	0.972	0.888	1.160	1.130	1.306	0.910	1.182
codec-P	P2.4	encode	drop	601707.9	0.977	0.289	0.548		1.895	0.290	0.554
codec-P	P2.4	encode	retain	601707.9	0.977	0.290	0.535		1.844	0.289	0.530
codec-P	P2.4	decode	drop	1690681.4	0.965	0.892	1.218	1.222	1.366	0.865	1.236
codec-P	P2.4	decode	retain	1690681.4	0.965	0.900	1.182	1.199	1.313	0.910	1.070
codec-P	P2.4	decode-read	drop	1765691.2	0.975	0.954	1.230	1.200	1.290	0.923	1.240
codec-P	P2.4	decode-read	retain	1765691.2	0.975	0.933	1.233	1.207	1.321	0.924	1.244
codec-P	P2.5	encode	drop	25337.0	0.999	0.215	0.439		2.044	0.237	0.489
codec-P	P2.5	encode	retain	25337.0	0.999	0.237	0.459		1.937	0.262	0.511
codec-P	P2.5	decode	drop	48057.5	0.963	0.835	1.302	1.281	1.559	0.843	1.190
codec-P	P2.5	decode	retain	48057.5	0.963	0.832	1.284	1.052	1.543	0.840	1.264
codec-P	P2.5	decode-read	drop	40079.1	1.216	1.074	1.606	1.344	1.495	1.097	1.683
codec-P	P2.5	decode-read	retain	40079.1	1.216	1.091	1.320	1.291	1.210	1.106	1.379
codec-P	P3.1	encode	drop	20649.1	1.061	0.184	0.304		1.654	0.183	0.304
codec-P	P3.1	encode	retain	20649.1	1.061	0.206	0.330		1.601	0.202	0.328
codec-P	P3.1	decode	drop	29993.3	0.981	0.785	0.892	1.036	1.137	0.758	0.872
codec-P	P3.1	decode	retain	29993.3	0.981	0.767	0.870	1.175	1.135	0.764	0.869
codec-P	P3.1	decode-read	drop	31154.5	0.990	0.804	0.925	0.914	1.150	0.801	0.881
codec-P	P3.1	decode-read	retain	31154.5	0.990	0.799	0.879	1.167	1.100	0.764	0.881
codec-P	P4.1	encode	drop	130491.8	1.009	0.204	0.414		2.026	0.202	0.354
codec-P	P4.1	encode	retain	130491.8	1.009	0.230	0.452		1.969	0.227	0.448
