# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P1.1	P1.1	ascii	incumbent-prod	encode	default	20	1121.4	1111.7	1141.2	0.026	1114.9	1123.7
codec-P	P1.1	P1.1	ascii	incumbent-prod	decode	default	20	1175.5	1164.8	1198.9	0.029	1173.7	1180.4
codec-P	P1.1	P1.1	ascii	incumbent-prod	decode-read	default	20	1231.2	1219.1	1245.4	0.021	1228.0	1234.3
codec-P	P1.2	P1.2	ascii	incumbent-prod	encode	default	20	297179.6	295816.7	308953.7	0.044	296159.7	299004.0
codec-P	P1.2	P1.2	ascii	incumbent-prod	decode	default	20	385689.0	382431.6	408513.2	0.068	384820.1	387836.7
codec-P	P1.2	P1.2	ascii	incumbent-prod	decode-read	default	20	401826.7	400259.2	404624.9	0.011	401045.1	402449.3
codec-P	P1.2/latin1	P1.2	latin1	incumbent-prod	encode	default	20	293468.4	289283.9	295765.7	0.022	292714.6	293848.4
codec-P	P1.2/latin1	P1.2	latin1	incumbent-prod	decode	default	20	588926.1	524960.3	688113.1	0.277	586468.8	593720.2
codec-P	P1.2/latin1	P1.2	latin1	incumbent-prod	decode-read	default	20	618215.7	605624.8	631457.7	0.042	611022.4	621949.1
codec-P	P1.2/wide	P1.2	wide	incumbent-prod	encode	default	20	299663.4	294678.2	306777.7	0.040	298382.7	301617.3
codec-P	P1.2/wide	P1.2	wide	incumbent-prod	decode	default	20	691919.2	687080.1	717955.0	0.045	689705.5	697053.0
codec-P	P1.2/wide	P1.2	wide	incumbent-prod	decode-read	default	20	707255.1	704681.8	724805.6	0.028	705999.1	712105.1
codec-P	P1.3	P1.3	ascii	incumbent-prod	encode	default	20	5842.1	5555.8	6230.7	0.116	5681.2	5960.8
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode	default	20	6417.9	6270.3	8335.0	0.322	6325.7	8135.8
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	9604.2	9466.1	9893.9	0.045	9512.4	9745.0
codec-P	P2.1	P2.1	ascii	incumbent-prod	encode	default	20	1290.7	1275.0	1313.5	0.030	1283.2	1294.0
codec-P	P2.1	P2.1	ascii	incumbent-prod	decode	default	20	2269.4	2241.8	2367.0	0.055	2256.8	2286.1
codec-P	P2.1	P2.1	ascii	incumbent-prod	decode-read	default	20	2399.3	2385.7	2427.9	0.018	2391.8	2406.1
codec-P	P2.2	P2.2	ascii	incumbent-prod	encode	default	20	886353.0	866828.4	901942.7	0.040	881217.1	889402.8
codec-P	P2.2	P2.2	ascii	incumbent-prod	decode	default	20	1401730.8	1390561.3	1430020.1	0.028	1399164.8	1403916.5
codec-P	P2.2	P2.2	ascii	incumbent-prod	decode-read	default	20	1467785.7	1451160.0	1493512.9	0.029	1461923.9	1477771.8
codec-P	P2.2/latin1	P2.2	latin1	incumbent-prod	encode	default	20	918160.0	904884.2	941683.0	0.040	914383.1	924917.7
codec-P	P2.2/latin1	P2.2	latin1	incumbent-prod	decode	default	20	2036141.9	1969729.3	2306101.3	0.165	1995812.5	2084939.3
codec-P	P2.2/latin1	P2.2	latin1	incumbent-prod	decode-read	default	20	1755160.6	1684971.0	1787449.6	0.058	1738974.7	1769643.4
codec-P	P2.2/wide	P2.2	wide	incumbent-prod	encode	default	20	770704.0	758382.5	810956.0	0.068	764714.1	774741.1
codec-P	P2.2/wide	P2.2	wide	incumbent-prod	decode	default	20	2095998.6	1986547.7	2302009.6	0.151	2037675.1	2177550.7
codec-P	P2.2/wide	P2.2	wide	incumbent-prod	decode-read	default	20	2565247.6	2464867.2	2780050.6	0.123	2526565.5	2625618.2
