# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned-nounk	pinned	A	a	1	3	2320593.8	2287687.5	2343906.2	2607823.3	2538991.6	2799969.8
rpc-pinned-nounk	pinned	A	a	8	3	2739750.0	2592656.2	2744375.0	2858235.6	2705793.0	3008534.7
rpc-pinned-nounk	pinned	A	a	16	3	3076000.0	3007781.2	3108281.2	3107579.8	3104930.0	3125102.5
rpc-pinned-nounk	pinned	A	b	1	3	1439375.0	1437500.0	1495906.2	3304123.8	3245599.7	3304965.0
rpc-pinned-nounk	pinned	A	b	8	3	1400406.2	1335125.0	1445593.8	1701032.3	1695059.1	1938004.3
rpc-pinned-nounk	pinned	A	b	16	3	1524031.2	1420343.8	1555875.0	1718399.2	1695789.4	1810249.3
rpc-pinned-nounk	pinned	B	a	1	3	2157375.0	2058000.0	2380312.5	2405944.1	2273977.6	2622775.9
rpc-pinned-nounk	pinned	B	a	8	3	2825062.5	2672031.2	3038968.8	2853911.1	2715738.3	3172475.7
rpc-pinned-nounk	pinned	B	a	16	3	2911156.2	2894562.5	2966875.0	3025942.2	2973595.1	3037672.8
rpc-pinned-nounk	pinned	B	b	1	3	1179562.5	1179437.5	1249093.8	3212081.4	3146772.6	3266740.9
rpc-pinned-nounk	pinned	B	b	8	3	1190218.8	1177593.8	1284375.0	1786241.6	1561808.4	1879406.6
rpc-pinned-nounk	pinned	B	b	16	3	1449062.5	1386093.8	1591375.0	2234873.9	2088344.8	2423230.8
rpc-pinned-nounk	pinned	C-nounk	a	1	3	2705218.8	2531281.2	2776750.0	2959007.8	2809455.9	3045428.8
rpc-pinned-nounk	pinned	C-nounk	a	8	3	3284125.0	3128531.2	3363625.0	3398047.8	3174222.0	3470934.3
rpc-pinned-nounk	pinned	C-nounk	a	16	3	3707375.0	3477250.0	3802687.5	3754592.0	3500548.4	3865569.1
rpc-pinned-nounk	pinned	C-nounk	b	1	3	1078093.8	1012968.8	1113125.0	3093028.3	2960351.1	3102845.4
rpc-pinned-nounk	pinned	C-nounk	b	8	3	1001281.2	990625.0	1178843.8	1796135.4	1589027.4	1942879.4
rpc-pinned-nounk	pinned	C-nounk	b	16	3	1219843.8	1039531.2	1295656.2	2027414.3	1824513.6	2097857.2
rpc-pinned-nounk	pinned	D-nounk	a	1	3	2488343.8	2477000.0	2515968.8	2768249.1	2720139.8	2793434.5
rpc-pinned-nounk	pinned	D-nounk	a	8	3	3059812.5	3024281.2	3108437.5	3090909.5	3030530.2	3195054.7
rpc-pinned-nounk	pinned	D-nounk	a	16	3	3432906.2	3400312.5	3520875.0	3764891.3	3445565.6	4044644.3
rpc-pinned-nounk	pinned	D-nounk	b	1	3	1022562.5	1012343.8	1023968.8	3413667.8	3406536.9	3548927.5
rpc-pinned-nounk	pinned	D-nounk	b	8	3	943187.5	922625.0	956437.5	1755594.6	1608939.0	1877819.8
rpc-pinned-nounk	pinned	D-nounk	b	16	3	1041218.8	1015531.2	1071062.5	2065590.7	1931942.2	2371406.4
rpc-pinned	pinned	A	a	1	3	2329312.5	2042968.8	2381125.0	2631825.8	2235017.8	2642630.2
rpc-pinned	pinned	A	a	8	3	2203750.0	2155875.0	2574875.0	2247902.1	2172043.0	2768813.3
rpc-pinned	pinned	A	a	16	3	2865625.0	2817406.2	2885843.8	2889337.5	2826769.8	2895968.6
rpc-pinned	pinned	A	b	1	3	1473625.0	1408406.2	1487343.8	3550295.2	3283244.9	3775602.4
rpc-pinned	pinned	A	b	8	3	1338218.8	1264906.2	1434406.2	1740360.6	1630908.5	1830621.9
rpc-pinned	pinned	A	b	16	3	1393687.5	1210250.0	1401625.0	2015722.0	1896427.8	2245267.8
rpc-pinned	pinned	B	a	1	3	2712937.5	2330750.0	2901625.0	3116300.2	2641567.8	3364417.1
rpc-pinned	pinned	B	a	8	3	2615062.5	2519562.5	2665343.8	2721371.5	2698579.7	2756154.6
rpc-pinned	pinned	B	a	16	3	2640812.5	2551125.0	2968656.2	2731601.1	2588747.6	3198884.8
rpc-pinned	pinned	B	b	1	3	1048875.0	1019312.5	1234593.8	2676080.3	2595809.2	3966259.5
rpc-pinned	pinned	B	b	8	3	1114906.2	1108437.5	1428968.8	1746100.5	1647434.3	2213541.7
rpc-pinned	pinned	B	b	16	3	1191718.8	1174843.8	1304000.0	1956264.6	1881754.7	2063945.5
rpc-pinned	pinned	C-retain	a	1	3	2698718.8	2554562.5	2759906.2	3082770.8	2959665.8	3484609.1
rpc-pinned	pinned	C-retain	a	8	3	2899031.2	2863343.8	2981000.0	2923526.9	2882433.0	3019374.4
rpc-pinned	pinned	C-retain	a	16	3	3218406.2	3217968.8	3284312.5	3271840.3	3259785.0	3316086.8
rpc-pinned	pinned	C-retain	b	1	3	1008531.2	1006062.5	1022562.5	2948433.9	2892744.3	3023721.2
rpc-pinned	pinned	C-retain	b	8	3	890218.8	836906.2	924562.5	1673358.1	1400497.9	1684651.4
rpc-pinned	pinned	C-retain	b	16	3	1063656.2	1059468.8	1238250.0	2308403.8	2214385.3	2482004.9
rpc-pinned	pinned	C-drop	a	1	3	3378218.8	3269468.8	3380000.0	3829501.9	3496493.7	3840159.0
rpc-pinned	pinned	C-drop	a	8	3	3091312.5	3025687.5	3240343.8	3258774.7	3114975.2	3332581.4
