# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P7.1	decode	drop	330.4	0.984	0.725	1.082	1.175	1.492	0.723	1.079
codec-P	P7.1	decode	retain	330.4	0.984	0.707	1.124	1.233	1.588	0.703	1.125
codec-P	P1.3	decode-read	drop	9001.5	1.341	1.395	1.963	2.030	1.408	1.421	2.002
codec-P	P1.3	decode-read	retain	9001.5	1.341	1.357	2.037	2.173	1.502	1.354	1.995
codec-P	P2.2	encode	drop	980920.3	1.030	0.234	0.410		1.752	0.246	0.463
codec-P	P2.2	encode	retain	980920.3	1.030	0.247	0.423		1.711	0.265	0.419
codec-P	P4.1	decode	drop	263611.1	1.018	0.834	1.184	1.134	1.418	0.839	1.184
codec-P	P4.1	decode	retain	263611.1	1.018	0.844	1.173	1.131	1.390	0.845	1.179
codec-P	P5.2	decode	drop	1717.9	0.051	0.982	1.024	1.043	1.043	0.848	0.889
codec-P	P5.2	decode	retain	1717.9	0.051	0.985	1.042	1.040	1.058	0.922	1.012
codec-P	P5.3	encode	drop	51700.2	0.927	0.904	0.857		0.948	0.926	0.892
codec-P	P5.3	encode	retain	51700.2	0.927	0.940	0.906		0.964	0.959	0.893
codec-P	P2.4	encode	drop	642599.6	1.014	0.324	0.543		1.678	0.309	0.531
codec-P	P2.4	encode	retain	642599.6	1.014	0.303	0.549		1.814	0.293	0.554
codec-P	P2.2/wide	decode-read	drop	2564935.5	1.010	0.885	1.461	1.424	1.650	0.889	1.497
codec-P	P2.2/wide	decode-read	retain	2564935.5	1.010	0.883	1.454	1.426	1.646	0.898	1.488
codec-P	P3.1	decode-read	drop	31494.1	1.005	0.765	1.106	1.122	1.446	0.864	1.247
codec-P	P3.1	decode-read	retain	31494.1	1.005	0.757	1.102	1.130	1.455	0.862	1.243
codec-P	P1.2/latin1	decode	drop	607099.9	0.937	0.805	1.235	1.244	1.534	0.808	1.235
codec-P	P1.2/latin1	decode	retain	607099.9	0.937	0.800	1.232	1.246	1.539	0.802	1.233
codec-P	P1.2	encode	drop	329665.1	1.050	0.180	0.323		1.796	0.181	0.327
codec-P	P1.2	encode	retain	329665.1	1.050	0.223	0.338		1.513	0.224	0.341
codec-P	P5.4	decode-read	drop	344471.9	0.000	1.006	1.002	1.009	0.997	0.995	1.019
codec-P	P5.4	decode-read	retain	344471.9	0.000	1.003	1.016	1.017	1.014	0.990	0.961
codec-P	P1.1	decode-read	drop	1351.0	1.035	0.876	1.311	1.317	1.495	0.868	1.294
codec-P	P1.1	decode-read	retain	1351.0	1.035	0.855	1.323	1.346	1.549	0.842	1.304
codec-P	P2.1	decode	drop	2254.3	0.963	0.799	1.541	1.535	1.929	0.685	1.496
codec-P	P2.1	decode	retain	2254.3	0.963	0.799	1.575	1.583	1.972	0.673	1.543
codec-P	P1.3	decode	drop	8447.3	1.413	1.385	2.086	2.222	1.506	1.392	2.096
codec-P	P1.3	decode	retain	8447.3	1.413	1.364	2.109	2.232	1.547	1.369	2.106
codec-P	P4.1	encode	drop	143677.9	1.003	0.193	0.415		2.149	0.194	0.413
codec-P	P4.1	encode	retain	143677.9	1.003	0.207	0.416		2.008	0.207	0.419
codec-P	P3.1	decode	drop	25310.7	1.171	0.888	1.321	1.345	1.488	0.895	1.323
codec-P	P3.1	decode	retain	25310.7	1.171	0.881	1.324	1.347	1.502	0.875	1.335
codec-P	P1.2/wide	encode	drop	333343.9	1.072	0.195	0.338		1.732	0.195	0.334
codec-P	P1.2/wide	encode	retain	333343.9	1.072	0.210	0.356		1.690	0.211	0.357
codec-P	P2.1	encode	drop	1401.6	1.016	0.191	0.415		2.170	0.191	0.414
codec-P	P2.1	encode	retain	1401.6	1.016	0.225	0.438		1.944	0.226	0.439
codec-P	P6.1	encode	drop	425652.1	1.006	0.172	0.203		1.179	0.175	0.205
codec-P	P6.1	encode	retain	425652.1	1.006	0.173	0.203		1.174	0.174	0.205
codec-P	P2.5	decode-read	drop	50082.9	1.001	0.828	1.414	1.353	1.707	0.828	1.547
codec-P	P2.5	decode-read	retain	50082.9	1.001	0.830	1.410	1.351	1.698	0.846	1.393
codec-P	P1.2	decode-read	drop	424383.4	0.900	0.807	1.125	1.131	1.394	0.795	1.119
codec-P	P1.2	decode-read	retain	424383.4	0.900	0.786	1.120	1.132	1.425	0.782	1.122
codec-P	P4.1	decode-read	drop	276377.9	1.033	0.890	1.192	1.133	1.340	0.883	1.183
codec-P	P4.1	decode-read	retain	276377.9	1.033	0.906	1.190	1.133	1.314	0.895	1.175
codec-P	P5.3	decode	drop	46784.4	0.002	0.992	1.002	1.003	1.010	1.011	1.012
