# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode	default	20	330.4	325.9	342.3	0.050	329.1	334.4
codec-P	P7.1	P7.1	ascii	armonik	decode	default	20	325.0	319.7	339.1	0.060	323.4	326.8
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	239.6	235.6	250.5	0.062	237.7	242.1
codec-P	P7.1	P7.1	ascii	core-ffi	decode	drop	20	357.4	351.8	378.6	0.075	355.3	359.7
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	drop	20	388.1	381.7	409.4	0.071	386.3	393.2
codec-P	P7.1	P7.1	ascii	core-native	decode	retain	20	233.7	229.0	244.6	0.067	231.2	235.8
codec-P	P7.1	P7.1	ascii	core-ffi	decode	retain	20	371.2	366.6	399.4	0.088	369.7	375.7
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	retain	20	407.3	403.3	466.4	0.155	405.4	410.7
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	9001.5	7138.4	9827.2	0.299	7485.4	9401.6
codec-P	P1.3	P1.3	ascii	armonik	decode-read	default	20	12068.2	9803.9	12938.3	0.260	10312.8	12695.7
codec-P	P1.3	P1.3	ascii	core-native	decode-read	drop	20	12553.1	10144.1	13262.0	0.248	10354.7	12742.8
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	drop	20	17669.8	14288.7	20192.1	0.334	14902.6	18387.7
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	drop	20	18271.1	15257.5	22189.3	0.379	16198.8	19706.7
codec-P	P1.3	P1.3	ascii	core-native	decode-read	retain	20	12211.7	9665.0	13510.6	0.315	10105.8	12823.7
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	retain	20	18338.5	14237.7	19995.3	0.314	14921.4	18603.0
