# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned-nounk	pinned	A	a	1	12	2385125.0	1964625.0	2644500.0	2710424.3	2222561.1	3334251.2
rpc-pinned-nounk	pinned	B	a	1	12	2477250.0	1957625.0	2675125.0	2757949.5	2212332.0	3269876.7
rpc-pinned-nounk	pinned	C-nounk	a	1	12	3154854.2	2916250.0	3371666.7	3443278.1	3187094.0	3951376.0
rpc-pinned-nounk	pinned	D-nounk	a	1	12	3126916.7	2861583.3	3536250.0	3575922.6	3127483.3	4044453.5
rpc-pinned-nounk	pinned	A	a	8	12	2852458.3	2443750.0	3074666.7	3000479.1	2485872.0	4003673.0
rpc-pinned-nounk	pinned	B	a	8	12	2880812.5	2320125.0	3152916.7	3108872.5	2348765.8	4126388.5
rpc-pinned-nounk	pinned	C-nounk	a	8	12	3628187.5	3521375.0	3906000.0	3903449.0	3675825.5	4493985.2
rpc-pinned-nounk	pinned	D-nounk	a	8	12	3617937.5	3222208.3	4006041.7	3779224.6	3266314.2	4348144.1
rpc-pinned-nounk	pinned	A	a	16	12	3110046.9	2753750.0	3551593.8	3147463.9	2828170.5	4432539.1
rpc-pinned-nounk	pinned	B	a	16	12	2804500.0	2363375.0	3173750.0	2876779.7	2399056.1	3466009.4
rpc-pinned-nounk	pinned	C-nounk	a	16	12	3743281.2	3164343.8	3967656.2	3765791.4	3213193.2	4419980.7
rpc-pinned-nounk	pinned	D-nounk	a	16	12	3645609.4	3040562.5	3931875.0	3713392.8	3076927.0	4250187.7
rpc-pinned-nounk	pinned	A	b	1	12	1890458.3	1739791.7	1956208.3	4479045.3	4035032.5	4735481.1
rpc-pinned-nounk	pinned	B	b	1	12	1254458.3	1200791.7	1310541.7	3922558.6	3561632.8	4313510.0
rpc-pinned-nounk	pinned	C-nounk	b	1	12	1120395.8	1036000.0	1184666.7	3643878.6	3384327.1	3972850.1
rpc-pinned-nounk	pinned	D-nounk	b	1	12	1149520.8	1092375.0	1174500.0	3671186.1	3412468.1	4166321.2
rpc-pinned-nounk	pinned	A	b	8	12	1983770.8	1608458.3	2382250.0	2401651.3	1836640.4	2656284.6
rpc-pinned-nounk	pinned	B	b	8	12	1264395.8	1142875.0	1597500.0	2274974.8	1631361.5	2632553.5
rpc-pinned-nounk	pinned	C-nounk	b	8	12	1115979.2	1019583.3	1313291.7	2108026.8	1995167.2	2497702.8
rpc-pinned-nounk	pinned	D-nounk	b	8	12	1204604.2	1062375.0	1509625.0	2163484.6	1830771.2	2852713.7
rpc-pinned-nounk	pinned	A	b	16	12	2071671.9	1943531.2	2453281.2	2354985.4	2102741.6	2568993.5
