# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P1.2	decode-read	drop	419239.5	0.818	0.801	1.093	1.099	1.364	0.806	1.106
codec-P	P1.2	decode-read	retain	419239.5	0.818	0.850	1.108	1.110	1.303	0.851	1.009
codec-P	P1.2/latin1	decode-read	drop	515166.9	1.157	1.014	1.431	1.446	1.412	1.056	1.491
codec-P	P1.2/latin1	decode-read	retain	515166.9	1.157	1.032	1.382	1.435	1.339	1.072	1.433
codec-P	P5.1	decode-read	drop	101.1	0.923	0.723	1.517	1.401	2.097	0.717	1.519
codec-P	P5.1	decode-read	retain	101.1	0.923	0.909	1.268	1.676	1.395	0.906	1.260
codec-P	P5.2	decode-read	drop	1710.7	0.056	0.986	1.027	1.021	1.042	1.006	1.054
codec-P	P5.2	decode-read	retain	1710.7	0.056	0.996	1.017	1.020	1.021	1.012	1.043
codec-P	P1.2	decode	drop	399753.8	0.911	0.801	1.137	1.117	1.420	0.802	1.110
codec-P	P1.2	decode	retain	399753.8	0.911	0.803	1.080	1.125	1.345	0.786	1.072
codec-P	P2.1	decode-read	drop	2044.7	0.961	0.781	1.534	1.203	1.965	0.781	1.565
codec-P	P2.1	decode-read	retain	2044.7	0.961	0.811	1.558	1.404	1.920	0.819	1.306
codec-P	P2.2	decode	drop	1457726.0	0.990	0.866	1.304	1.053	1.506	0.870	1.317
codec-P	P2.2	decode	retain	1457726.0	0.990	0.732	1.322	1.249	1.807	0.721	1.335
codec-P	P5.4	decode	drop	320654.3	0.000	1.133	1.002	0.969	0.884	1.116	1.002
codec-P	P5.4	decode	retain	320654.3	0.000	1.079	0.969	1.035	0.899	1.076	0.977
codec-P	P5.2	decode	drop	1599.7	0.046	1.030	1.091	1.095	1.059	1.006	1.061
codec-P	P5.2	decode	retain	1599.7	0.046	1.044	1.110	1.058	1.063	1.009	1.104
codec-P	P4.1	decode	drop	257949.1	0.798	0.963	1.176	0.955	1.221	0.952	1.195
codec-P	P4.1	decode	retain	257949.1	0.798	0.903	1.212	1.198	1.343	0.915	1.232
codec-P	P1.2/latin1	encode	drop	315833.6	1.012	0.184	0.336		1.829	0.191	0.358
codec-P	P1.2/latin1	encode	retain	315833.6	1.012	0.716	0.346		0.483	0.237	0.362
codec-P	P2.1	encode	drop	1274.1	1.032	0.544	0.444		0.816	0.547	0.553
codec-P	P2.1	encode	retain	1274.1	1.032	0.217	0.483		2.231	0.246	0.574
codec-P	P2.4	decode-read	drop	1757912.9	0.991	0.942	1.209	0.996	1.283	0.971	1.230
codec-P	P2.4	decode-read	retain	1757912.9	0.991	0.740	1.030	1.242	1.392	0.772	1.060
codec-P	P7.1	decode-read	drop	270.3	1.274	0.776	1.382	1.490	1.782	0.758	1.372
codec-P	P7.1	decode-read	retain	270.3	1.274	0.793	1.150	1.613	1.450	0.737	1.152
codec-P	P1.2/wide	decode-read	drop	736445.5	0.758	0.848	1.378	1.386	1.624	0.829	1.370
codec-P	P1.2/wide	decode-read	retain	736445.5	0.758	0.701	1.107	1.355	1.578	0.706	1.083
codec-P	P1.2/wide	decode	drop	561266.7	1.204	0.881	1.532	1.589	1.739	0.840	1.435
codec-P	P1.2/wide	decode	retain	561266.7	1.204	1.083	1.764	1.756	1.629	1.084	1.728
codec-P	P2.2	decode-read	drop	1210523.1	1.110	1.120	1.298	1.590	1.159	1.110	1.316
codec-P	P2.2	decode-read	retain	1210523.1	1.110	1.162	1.680	1.602	1.447	1.149	1.666
codec-P	P7.1	decode	drop	302.0	1.062	0.640	1.188	1.283	1.855	0.746	1.376
codec-P	P7.1	decode	retain	302.0	1.062	0.783	1.236	1.362	1.579	0.893	1.449
codec-P	P2.3	encode	drop	375786.1	1.005	0.324	0.665		2.054	0.302	0.668
codec-P	P2.3	encode	retain	375786.1	1.005	0.303	0.688		2.268	0.294	0.669
codec-P	P5.3	decode	drop	45437.7	0.002	1.000	0.943	0.931	0.942	0.994	0.947
codec-P	P5.3	decode	retain	45437.7	0.002	1.051	1.022	0.953	0.973	0.954	1.023
codec-P	P5.4	decode-read	drop	341016.5	0.000	0.997	0.998	0.974	1.001	0.929	1.007
codec-P	P5.4	decode-read	retain	341016.5	0.000	0.964	0.977	0.903	1.014	0.964	0.940
codec-P	P1.3	encode	drop	5333.3	1.222	0.322	0.920		2.856	0.317	0.907
codec-P	P1.3	encode	retain	5333.3	1.222	0.454	0.802		1.769	0.452	0.773
codec-P	P2.2/wide	decode	drop	2062962.2	0.964	1.050	1.603	1.675	1.526	1.087	1.508
codec-P	P2.2/wide	decode	retain	2062962.2	0.964	1.052	1.458	1.617	1.385	1.103	1.423
codec-P	P2.3	decode	drop	1256147.2	0.974	0.765	0.937	0.975	1.226	0.757	0.945
codec-P	P2.3	decode	retain	1256147.2	0.974	0.914	1.174	1.159	1.284	0.907	1.187
codec-P	P4.1	encode	drop	127723.8	0.853	0.201	0.460		2.285	0.202	0.462
codec-P	P4.1	encode	retain	127723.8	0.853	0.230	0.461		2.005	0.226	0.463
codec-P	P2.2	encode	drop	857134.0	0.895	0.243	0.467		1.918	0.222	0.462
codec-P	P2.2	encode	retain	857134.0	0.895	0.254	0.477		1.876	0.265	0.486
codec-P	P5.1	encode	drop	60.7	0.939	0.267	0.538		2.014	0.260	0.537
codec-P	P5.1	encode	retain	60.7	0.939	0.274	0.448		1.634	0.258	0.445
codec-P	P2.5	decode-read	drop	52794.3	0.944	0.849	0.959	1.182	1.129	0.760	0.979
codec-P	P2.5	decode-read	retain	52794.3	0.944	0.794	1.223	1.180	1.541	0.803	1.256
codec-P	P2.4	encode	drop	577648.3	0.935	0.312	0.486		1.559	0.317	0.507
codec-P	P2.4	encode	retain	577648.3	0.935	0.287	0.514		1.789	0.294	0.537
codec-P	P6.1	decode-nodrop	drop	304310.8	0.995	0.642	0.512		0.798	0.673	0.491
codec-P	P6.1	decode-nodrop	retain	304310.8	0.995	0.482	0.559		1.161	0.486	0.572
codec-P	P2.3	decode-read	drop	1265435.4	1.073	0.939	1.245	1.160	1.326	0.927	1.241
codec-P	P2.3	decode-read	retain	1265435.4	1.073	0.825	1.214	1.222	1.471	0.785	1.206
codec-P	P1.1	encode	drop	1137.8	0.990	0.160	0.325		2.033	0.156	0.325
codec-P	P1.1	encode	retain	1137.8	0.990	0.219	0.288		1.312	0.220	0.272
codec-P	P2.1	decode	drop	1503.7	1.224	1.017	1.659	2.027	1.632	1.016	1.590
codec-P	P2.1	decode	retain	1503.7	1.224	1.007	2.038	2.051	2.024	0.960	2.011
codec-P	P2.2/latin1	decode	drop	1635684.9	1.077	1.025	1.367	1.587	1.334	1.012	1.378
codec-P	P2.2/latin1	decode	retain	1635684.9	1.077	1.079	1.702	1.275	1.578	1.107	1.720
codec-P	P2.2/latin1	encode	drop	920791.9	1.004	0.259	0.424		1.635	0.263	0.435
codec-P	P2.2/latin1	encode	retain	920791.9	1.004	0.262	0.392		1.492	0.264	0.391
codec-P	P2.2	decode-nodrop	drop	894288.5	1.046	1.090	1.782		1.635	1.097	1.771
codec-P	P2.2	decode-nodrop	retain	894288.5	1.046	1.097	1.776		1.619	1.083	1.780
codec-P	P2.2/latin1	decode-read	drop	2116110.4	0.977	0.850	1.330	1.232	1.564	0.832	1.314
codec-P	P2.2/latin1	decode-read	retain	2116110.4	0.977	0.869	1.252	1.316	1.441	0.870	1.227
codec-P	P3.1	encode	drop	16174.5	1.304	0.232	0.505		2.171	0.234	0.504
codec-P	P3.1	encode	retain	16174.5	1.304	0.260	0.491		1.888	0.264	0.490
codec-P	P1.3	decode-read	drop	11675.1	1.199	1.441	1.655	1.764	1.148	1.437	1.640
codec-P	P1.3	decode-read	retain	11675.1	1.199	1.357	1.738	1.785	1.281	1.351	1.707
codec-P	P1.2/wide	encode	drop	299001.3	1.079	0.206	0.276		1.345	0.194	0.273
codec-P	P1.2/wide	encode	retain	299001.3	1.079	0.195	0.364		1.870	0.193	0.360
codec-P	P2.5	encode	drop	23874.8	1.084	0.229	0.481		2.102	0.235	0.496
codec-P	P2.5	encode	retain	23874.8	1.084	0.249	0.501		2.015	0.257	0.517
codec-P	P1.3	decode	drop	10163.8	1.348	1.458	1.637	1.839	1.123	1.464	1.643
codec-P	P1.3	decode	retain	10163.8	1.348	1.333	1.756	1.846	1.317	1.340	1.759
codec-P	P2.4	decode	drop	1674868.6	0.956	0.739	1.262	1.198	1.707	0.789	1.320
codec-P	P2.4	decode	retain	1674868.6	0.956	0.850	1.233	1.217	1.450	0.910	1.273
codec-P	P5.1	decode	drop	86.2	1.032	0.822	1.753	1.785	2.133	0.871	1.822
codec-P	P5.1	decode	retain	86.2	1.032	1.162	1.482	1.552	1.276	1.112	1.562
codec-P	P3.1	decode	drop	30723.0	0.961	0.608	1.118	1.193	1.840	0.600	0.966
codec-P	P3.1	decode	retain	30723.0	0.961	0.754	1.148	0.987	1.522	0.733	1.110
codec-P	P5.3	decode-read	drop	47501.7	0.002	0.851	0.886	0.879	1.041	0.853	0.845
codec-P	P5.3	decode-read	retain	47501.7	0.002	0.982	0.950	0.878	0.967	0.880	0.960
codec-P	P5.2	encode	drop	1682.7	0.965	0.909	0.933		1.027	0.916	0.917
codec-P	P5.2	encode	retain	1682.7	0.965	0.921	0.931		1.011	0.923	0.943
codec-P	P6.1	decode	drop	299272.5	1.089	0.689	0.484	0.465	0.702	0.885	0.617
codec-P	P6.1	decode	retain	299272.5	1.089	0.717	0.602	0.553	0.840	0.919	0.771
codec-P	P2.2/wide	decode-read	drop	2210639.2	1.178	1.054	1.633	1.614	1.550	1.087	1.697
codec-P	P2.2/wide	decode-read	retain	2210639.2	1.178	0.991	1.640	1.424	1.655	1.044	1.682
codec-P	P1.2	decode-nodrop	drop	342768.1	0.828	0.588	1.062		1.805	0.586	1.075
codec-P	P1.2	decode-nodrop	retain	342768.1	0.828	0.607	1.083		1.786	0.605	1.095
codec-P	P4.1	decode-nodrop	drop	213126.3	0.999	0.872	1.208		1.386	0.879	1.229
codec-P	P4.1	decode-nodrop	retain	213126.3	0.999	0.915	0.969		1.059	0.903	0.977
codec-P	P5.3	encode	drop	42100.7	0.944	0.996	1.096		1.101	1.031	1.144
codec-P	P5.3	encode	retain	42100.7	0.944	0.994	0.937		0.943	1.028	0.974
codec-P	P1.2	encode	drop	301021.5	1.066	0.200	0.369		1.849	0.200	0.359
codec-P	P1.2	encode	retain	301021.5	1.066	0.242	0.370		1.530	0.243	0.367
codec-P	P1.1	decode	drop	1035.8	1.319	1.001	1.559	1.589	1.557	0.975	1.564
codec-P	P1.1	decode	retain	1035.8	1.319	1.135	1.589	1.682	1.400	1.132	1.597
codec-P	P1.2/latin1	decode	drop	610749.0	0.967	0.830	1.172	1.184	1.413	0.825	1.173
codec-P	P1.2/latin1	decode	retain	610749.0	0.967	0.678	1.177	1.234	1.737	0.654	1.176
codec-P	P2.5	decode	drop	48637.4	0.785	0.842	1.100	1.228	1.306	0.822	1.065
codec-P	P2.5	decode	retain	48637.4	0.785	0.819	1.320	1.252	1.612	0.813	1.289
codec-P	P6.1	encode	drop	374556.9	1.019	0.193	0.230		1.190	0.189	0.227
codec-P	P6.1	encode	retain	374556.9	1.019	0.151	0.226		1.496	0.146	0.225
codec-P	P6.1	decode-read	drop	304827.3	1.046	0.779	0.684	0.599	0.878	0.779	0.662
codec-P	P6.1	decode-read	retain	304827.3	1.046	0.700	0.674	0.603	0.964	0.705	0.681
codec-P	P4.1	decode-read	drop	274809.6	1.011	0.920	1.216	0.973	1.322	0.937	1.217
codec-P	P4.1	decode-read	retain	274809.6	1.011	0.921	1.214	1.103	1.318	0.767	1.225
codec-P	P3.1	decode-read	drop	33041.0	0.937	0.691	1.091	0.960	1.579	0.577	1.078
codec-P	P3.1	decode-read	retain	33041.0	0.937	0.610	1.082	1.108	1.774	0.590	1.067
codec-P	P5.4	encode	drop	346121.2	0.954	1.021	0.954		0.934	0.896	0.923
codec-P	P5.4	encode	retain	346121.2	0.954	0.985	0.948		0.962	0.943	0.941
codec-P	P2.2/wide	encode	drop	883666.3	1.062	0.277	0.457		1.652	0.298	0.431
codec-P	P2.2/wide	encode	retain	883666.3	1.062	0.272	0.481		1.769	0.290	0.519
codec-P	P1.1	decode-read	drop	1153.6	0.980	0.971	1.186	1.467	1.222	1.042	1.253
codec-P	P1.1	decode-read	retain	1153.6	0.980	0.998	1.507	1.605	1.510	1.073	1.591
codec-U	U-leaf-u-varint	decode	drop	325.6	0.998	0.748	1.238	1.284	1.656	0.738	1.255
codec-U	U-leaf-u-varint	decode	retain	325.6	0.998	0.921	1.252	1.774	1.359	0.934	1.240
codec-U	U-deep-all	decode-read	drop	1955.6	0.771	0.767	1.109	1.374	1.445	0.773	1.117
codec-U	U-deep-all	decode-read	retain	1955.6	0.771	0.863	1.626	1.596	1.884	0.841	1.628
codec-U	U-oneof-member-alone	decode-read	drop	109.6	0.859	0.879	1.413	1.474	1.608	0.855	1.402
codec-U	U-oneof-member-alone	decode-read	retain	109.6	0.859	1.048	1.935	1.565	1.846	1.053	1.931
codec-U	U-nested-u-varint	decode-read	drop	313.6	1.075	1.037	1.333	1.389	1.285	1.038	1.321
codec-U	U-nested-u-varint	decode-read	retain	313.6	1.075	0.880	1.712	1.392	1.946	0.870	1.717
codec-U	U-wire-ListProbeResponse-probes-as-wt1	decode	drop						1.497		
codec-U	U-wire-ListProbeResponse-probes-as-wt1	decode	retain						2.210		
codec-U	U-oneof-u-repeated	decode-read	drop	142.1	1.059	0.699	1.188	1.237	1.700	0.709	1.198
