# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P1.2	P1.2	ascii	core-ffi	decode-read	drop	20	458266.3	454936.9	471931.0	0.037	456496.8	462331.8
codec-P	P1.2/latin1	P1.2	latin1	core-ffi	decode-read	retain	20	711945.9	703124.4	731460.9	0.040	706906.8	725166.8
codec-P	P5.1	P5.1	ascii	core-native	decode-read	retain	20	91.9	90.9	93.3	0.026	91.6	92.2
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode-read	retain	20	1744.3	1736.8	1770.0	0.019	1741.5	1749.7
codec-P	P1.2	P1.2	ascii	core-ffi	decode	retain	20	431787.0	424558.4	435178.8	0.025	430630.5	432859.3
codec-P	P2.1	P2.1	ascii	core-native	decode-read	drop	20	1596.3	1550.8	1644.0	0.058	1592.3	1633.5
codec-P	P2.2	P2.2	ascii	core-ffi	decode	drop	20	1901057.8	1882450.0	1929876.7	0.025	1891909.0	1911516.0
codec-P	P5.4	P5.4	ascii	core-ffi	decode	retain	20	310809.9	308453.1	313815.2	0.017	309173.4	311537.9
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	retain	20	1692.1	1683.9	1745.2	0.036	1687.9	1735.0
codec-P	P4.1	P4.1	ascii	core-ffi	decode	drop	20	303265.2	301245.4	314253.0	0.043	302328.4	304280.5
codec-P	P2.1	P2.1	ascii	armonik	decode-read	default	20	1964.6	1951.2	1985.6	0.017	1959.0	1972.3
codec-P	P1.2/latin1	P1.2	latin1	core-native	encode	drop	20	58021.4	56284.5	58689.0	0.041	56682.6	58298.7
codec-P	P2.1	P2.1	ascii	incumbent-prod	encode	default	20	1274.1	1002.7	1301.2	0.234	1021.6	1295.2
codec-P	P2.4	P2.4	ascii	core-native	decode-read	retain	20	1301563.0	1287604.9	1463440.9	0.135	1298229.2	1306822.8
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode-read	default	20	270.3	268.6	274.7	0.023	269.7	271.2
codec-P	P1.2/wide	P1.2	wide	core-native	decode-read	retain	20	516535.1	512897.6	541081.0	0.055	515110.3	522609.9
codec-P	P1.2/wide	P1.2	wide	core-ffi	decode	drop	20	859798.7	800449.8	880163.5	0.093	856794.8	866722.0
codec-P	P5.4	P5.4	ascii	core-ffi-pull	decode	retain	20	331896.0	328885.2	333639.5	0.014	330287.9	332616.9
codec-P	P2.2	P2.2	ascii	core-ffi	decode-read	drop	20	1570828.1	1556023.0	1761459.3	0.131	1561913.2	1609815.9
codec-P	P5.1	P5.1	ascii	core-ffi-pull	decode-read	drop	20	141.6	131.5	145.1	0.096	140.9	142.7
codec-P	P7.1	P7.1	ascii	core-ffi	decode-read	retain	20	310.8	309.4	315.7	0.020	310.2	312.7
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	193.4	191.1	196.3	0.027	192.2	194.1
codec-P	P2.3	P2.3	ascii	armonik	encode	default	20	377544.8	373503.9	403277.7	0.079	374907.7	381786.5
codec-P	P4.1	P4.1	ascii	armonik	decode	default	20	205730.0	204365.2	219319.1	0.073	205279.9	207037.7
