# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned-nounk	pinned	A	a	1	12	2316453.1	2108093.8	2469750.0	2586242.0	2372628.4	2921345.6
rpc-pinned-nounk	pinned	B	a	1	12	2004906.2	1843156.2	2722437.5	2257572.0	2177212.1	2981381.2
rpc-pinned-nounk	pinned	C-nounk	a	1	12	2616468.8	2381250.0	3562062.5	2882156.2	2634053.7	4149913.6
rpc-pinned-nounk	pinned	D-nounk	a	1	12	2595187.5	2217687.5	3486718.8	2835009.0	2494975.9	4104392.6
rpc-pinned-nounk	pinned	A	a	8	12	2752562.5	2324187.5	3010687.5	2840906.1	2470604.7	3410385.2
rpc-pinned-nounk	pinned	B	a	8	12	2758171.9	2307781.2	2928906.2	2819273.6	2433716.9	3583031.2
rpc-pinned-nounk	pinned	C-nounk	a	8	12	3614250.0	2890406.2	3788593.8	3777599.4	3014591.8	4224412.9
rpc-pinned-nounk	pinned	D-nounk	a	8	12	3521437.5	2820437.5	3600500.0	3619060.1	2903071.4	3772229.8
rpc-pinned-nounk	pinned	A	a	16	12	2973484.4	2592906.2	3128093.8	3029231.7	2612714.2	3515105.9
rpc-pinned-nounk	pinned	B	a	16	12	2848109.4	2384750.0	3020937.5	2879176.9	2475233.0	3318275.5
rpc-pinned-nounk	pinned	C-nounk	a	16	12	3591937.5	3280500.0	3947312.5	3712852.5	3427585.3	4382973.2
rpc-pinned-nounk	pinned	D-nounk	a	16	12	3573593.8	3122625.0	3922437.5	3604928.6	3147535.3	4210995.7
rpc-pinned-nounk	pinned	A	b	1	12	1832359.4	1683375.0	2001562.5	3765586.0	3517705.5	4081005.0
rpc-pinned-nounk	pinned	B	b	1	12	1195437.5	1126531.2	1279968.8	3145376.6	2999133.8	3419835.5
rpc-pinned-nounk	pinned	C-nounk	b	1	12	1049593.8	959968.8	1136062.5	3019628.1	2779229.5	3280413.2
rpc-pinned-nounk	pinned	D-nounk	b	1	12	1092671.9	995593.8	1207625.0	3014128.3	2814171.1	3188757.2
rpc-pinned-nounk	pinned	A	b	8	12	1769640.6	1600125.0	2315562.5	2132200.8	1861312.4	2782370.2
rpc-pinned-nounk	pinned	B	b	8	12	1160015.6	1045468.8	1520062.5	1961035.0	1567864.3	2245734.7
rpc-pinned-nounk	pinned	C-nounk	b	8	12	995968.8	896437.5	1092156.2	1768517.2	1575536.2	2028311.8
rpc-pinned-nounk	pinned	D-nounk	b	8	12	962359.4	915218.8	1255062.5	1700034.6	1553506.8	2528462.8
rpc-pinned-nounk	pinned	A	b	16	12	2024578.1	1825312.5	2530750.0	2391700.2	2002226.0	2651125.9
rpc-pinned-nounk	pinned	B	b	16	12	1266828.1	1161781.2	1389281.2	2035316.2	1907807.9	2344637.4
rpc-pinned-nounk	pinned	C-nounk	b	16	12	1098859.4	1024625.0	1352312.5	2238821.4	1860921.0	2446200.2
rpc-pinned-nounk	pinned	D-nounk	b	16	12	1155109.4	1076625.0	1195593.8	2071238.8	1757113.5	2602161.7
rpc-pinned	pinned	A	a	1	12	2284593.8	1877906.2	2580500.0	2586548.1	2121272.6	2861982.3
rpc-pinned	pinned	B	a	1	12	2032484.4	1623250.0	2775812.5	2274445.0	1801450.0	3039902.2
rpc-pinned	pinned	C-retain	a	1	12	2518015.6	2217312.5	2691781.2	2826256.2	2476693.9	3564099.7
rpc-pinned	pinned	C-drop	a	1	12	2486468.8	2334843.8	2654343.8	2783158.0	2577615.1	3328583.5
rpc-pinned	pinned	D-retain	a	1	12	2496218.8	2264250.0	2698468.8	2905147.3	2522294.8	3090153.2
rpc-pinned	pinned	D-drop	a	1	12	2444468.8	2120562.5	2817625.0	2718096.7	2370633.8	3078809.4
rpc-pinned	pinned	A	a	8	12	2680625.0	2235375.0	2875156.2	2730434.4	2266990.3	3148061.2
rpc-pinned	pinned	B	a	8	12	2668984.4	2308531.2	2924687.5	2718506.2	2323719.7	3072731.4
rpc-pinned	pinned	C-retain	a	8	12	2840656.2	2397093.8	3019218.8	2888086.6	2434022.8	3130424.6
rpc-pinned	pinned	C-drop	a	8	12	3210343.8	2756812.5	3531093.8	3222681.9	2765072.9	3615284.9
rpc-pinned	pinned	D-retain	a	8	12	2930453.1	2414312.5	3069968.8	2974653.9	2444481.2	3259352.3
rpc-pinned	pinned	D-drop	a	8	12	3289468.8	2795250.0	3494000.0	3374092.6	2806220.6	3706666.7
rpc-pinned	pinned	A	a	16	12	3019593.8	2605062.5	3135125.0	3076220.0	2664307.7	3375971.7
rpc-pinned	pinned	B	a	16	12	2910328.1	2424875.0	3374906.2	3047698.2	2461830.6	3497066.1
rpc-pinned	pinned	C-retain	a	16	12	3365546.9	3076875.0	3806937.5	3396842.0	3235049.6	4736373.9
rpc-pinned	pinned	C-drop	a	16	12	3559421.9	3363406.2	3918625.0	3614633.5	3381525.5	4318979.4
rpc-pinned	pinned	D-retain	a	16	12	3270843.8	2909125.0	3467750.0	3391411.7	3000197.9	3699557.5
