# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P1.2	decode-read	drop	427518.0	0.923	0.793	1.078	0.990	1.359	0.803	1.086
codec-P	P1.2	decode-read	retain	427518.0	0.923	0.854	0.959	1.097	1.123	0.857	0.868
codec-P	P1.2/latin1	decode-read	drop	590691.3	1.004	0.886	1.244	1.240	1.404	0.911	1.280
codec-P	P1.2/latin1	decode-read	retain	590691.3	1.004	0.805	1.231	1.284	1.529	0.757	1.270
codec-P	P5.1	decode-read	drop	101.8	0.906	0.904	1.512	1.564	1.673	0.906	1.514
codec-P	P5.1	decode-read	retain	101.8	0.906	0.897	1.595	1.647	1.779	0.900	1.599
codec-P	P5.2	decode-read	drop	1693.7	0.056	0.988	1.031	1.006	1.044	0.998	1.044
codec-P	P5.2	decode-read	retain	1693.7	0.056	0.957	1.041	1.039	1.087	0.963	1.054
codec-P	P1.2	decode	drop	319610.8	1.002	1.002	1.158	1.110	1.156	1.014	1.156
codec-P	P1.2	decode	retain	319610.8	1.002	0.866	1.112	1.399	1.283	0.836	1.081
codec-P	P2.1	decode-read	drop	2029.0	0.974	0.798	1.437	1.561	1.799	0.673	1.368
codec-P	P2.1	decode-read	retain	2029.0	0.974	0.811	1.589	1.600	1.959	0.790	1.560
codec-P	P2.2	decode	drop	1491327.4	0.978	0.843	1.297	1.199	1.538	0.858	1.309
codec-P	P2.2	decode	retain	1491327.4	0.978	0.890	1.261	1.229	1.416	0.902	1.256
codec-P	P5.4	decode	drop	310778.2	0.000	1.093	1.106	1.071	1.011	1.075	1.100
codec-P	P5.4	decode	retain	310778.2	0.000	1.016	1.003	1.070	0.988	1.009	0.992
codec-P	P5.2	decode	drop	1652.1	0.055	1.002	1.058	1.022	1.056	1.000	1.058
codec-P	P5.2	decode	retain	1652.1	0.055	1.007	1.052	1.059	1.045	1.006	1.054
codec-P	P4.1	decode	drop	218669.7	1.059	1.108	1.178	1.135	1.063	1.142	1.201
codec-P	P4.1	decode	retain	218669.7	1.059	1.110	1.119	1.405	1.009	1.142	1.173
codec-P	P1.2/latin1	encode	drop	296586.9	1.099	0.194	0.331		1.703	0.196	0.310
codec-P	P1.2/latin1	encode	retain	296586.9	1.099	0.239	0.369		1.543	0.236	0.370
codec-P	P2.1	encode	drop	1305.7	0.829	0.205	0.453		2.209	0.203	0.434
codec-P	P2.1	encode	retain	1305.7	0.829	0.189	0.465		2.463	0.188	0.453
codec-P	P2.4	decode-read	drop	1446932.8	1.007	1.124	1.251	1.450	1.114	1.131	1.269
codec-P	P2.4	decode-read	retain	1446932.8	1.007	1.090	1.504	1.510	1.380	1.118	1.526
codec-P	P7.1	decode-read	drop	344.5	0.919	0.760	0.916	0.967	1.206	0.757	0.896
codec-P	P7.1	decode-read	retain	344.5	0.919	0.744	1.153	1.239	1.548	0.742	1.147
codec-P	P1.2/wide	decode-read	drop	741794.0	0.789	0.693	1.341	1.343	1.935	0.665	1.301
codec-P	P1.2/wide	decode-read	retain	741794.0	0.789	0.843	1.343	1.108	1.594	0.817	1.203
codec-P	P1.2/wide	decode	drop	722251.4	0.949	0.833	1.318	1.351	1.582	0.847	1.227
codec-P	P1.2/wide	decode	retain	722251.4	0.949	0.840	1.351	1.352	1.609	0.856	1.375
codec-P	P2.2	decode-read	drop	1230885.2	1.211	1.082	1.650	1.539	1.525	1.103	1.661
codec-P	P2.2	decode-read	retain	1230885.2	1.211	1.147	1.650	1.589	1.439	1.148	1.696
codec-P	P7.1	decode	drop	330.6	0.796	0.766	1.091	1.180	1.425	0.757	1.100
codec-P	P7.1	decode	retain	330.6	0.796	0.590	1.130	1.240	1.915	0.578	1.129
codec-P	P2.3	encode	drop	464905.6	0.993	0.274	0.530		1.937	0.229	0.511
codec-P	P2.3	encode	retain	464905.6	0.993	0.282	0.523		1.856	0.282	0.517
codec-P	P5.3	decode	drop	37145.9	0.002	0.983	1.012	1.090	1.029	1.007	1.015
codec-P	P5.3	decode	retain	37145.9	0.002	1.077	0.982	1.040	0.912	1.099	1.000
codec-P	P5.4	decode-read	drop	344859.4	0.000	0.957	0.953	0.981	0.996	0.996	1.078
