# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned-nounk	pinned	A	a	1	12	2294437.5	2140250.0	2450750.0	2550445.2	2431228.4	2956770.8
rpc-pinned-nounk	pinned	B	a	1	12	2012406.2	1907125.0	2777750.0	2256614.7	2194721.4	3073318.8
rpc-pinned-nounk	pinned	C-nounk	a	1	12	2632703.1	2508468.8	3283468.8	2982784.5	2777285.5	4632871.4
rpc-pinned-nounk	pinned	D-nounk	a	1	12	2590562.5	2342562.5	3555156.2	2879810.6	2691740.9	3917798.4
rpc-pinned-nounk	pinned	A	a	8	12	2665218.8	2405531.2	2860906.2	2768693.5	2502336.5	3021274.9
rpc-pinned-nounk	pinned	B	a	8	12	2674203.1	2314218.8	2971843.8	2781908.6	2376209.4	3110165.2
rpc-pinned-nounk	pinned	C-nounk	a	8	12	3483609.4	3334656.2	3713843.8	3530167.9	3428650.5	3946693.2
rpc-pinned-nounk	pinned	D-nounk	a	8	12	3497218.8	2810250.0	3668718.8	3606743.4	2820688.7	4269002.0
rpc-pinned-nounk	pinned	A	a	16	12	3051093.8	2541687.5	3191406.2	3082752.0	2656207.7	3282749.4
rpc-pinned-nounk	pinned	B	a	16	12	2861203.1	2403843.8	3078781.2	3024407.0	2475685.5	4043571.1
rpc-pinned-nounk	pinned	C-nounk	a	16	12	3697140.6	3019906.2	3934375.0	3804791.2	3070184.1	4281803.3
rpc-pinned-nounk	pinned	D-nounk	a	16	12	3575046.9	2983437.5	3769500.0	3607343.6	3029235.4	3984415.2
rpc-pinned-nounk	pinned	A	b	1	12	1811781.2	1670625.0	1864031.2	3857303.2	3524645.9	4257659.5
rpc-pinned-nounk	pinned	B	b	1	12	1202359.4	1138375.0	1230906.2	3231254.6	2984046.8	3634168.3
rpc-pinned-nounk	pinned	C-nounk	b	1	12	1039937.5	1005250.0	1093031.2	2978384.4	2756881.4	3392655.2
rpc-pinned-nounk	pinned	D-nounk	b	1	12	1127937.5	1079250.0	1402031.2	3048526.6	2944253.4	3659166.6
rpc-pinned-nounk	pinned	A	b	8	12	1859843.8	1533593.8	2342187.5	2088259.8	1695870.7	3935208.8
rpc-pinned-nounk	pinned	B	b	8	12	1119312.5	1038218.8	1349843.8	1774863.7	1549249.6	2466110.3
rpc-pinned-nounk	pinned	C-nounk	b	8	12	989656.2	899718.8	1102625.0	1776077.0	1504963.5	2136599.8
rpc-pinned-nounk	pinned	D-nounk	b	8	12	1044593.8	961187.5	1113875.0	1858899.0	1553455.8	2288988.6
rpc-pinned-nounk	pinned	A	b	16	12	1852921.9	1718500.0	2124968.8	2043657.9	1788288.2	2325477.8
rpc-pinned-nounk	pinned	B	b	16	12	1216218.8	1150062.5	1508937.5	1994013.5	1663540.1	2316732.8
rpc-pinned-nounk	pinned	C-nounk	b	16	12	1126437.5	991937.5	1438375.0	1837276.3	1676146.2	2181415.4
rpc-pinned-nounk	pinned	D-nounk	b	16	12	1145375.0	1053437.5	1333562.5	1912485.1	1662127.7	2306815.3
rpc-pinned	pinned	A	a	1	12	2350375.0	1982312.5	2412593.8	2633923.0	2185279.4	3134871.3
rpc-pinned	pinned	B	a	1	12	2017453.1	1731750.0	2639250.0	2260434.7	1926699.2	2950924.1
rpc-pinned	pinned	C-retain	a	1	12	2479718.8	2301468.8	2616250.0	2830832.4	2512646.7	3011799.6
rpc-pinned	pinned	C-drop	a	1	12	2444984.4	2245843.8	3268156.2	2817766.5	2515133.5	4586394.7
rpc-pinned	pinned	D-retain	a	1	12	2552250.0	2351000.0	2605968.8	2942044.7	2611148.7	3284541.0
rpc-pinned	pinned	D-drop	a	1	12	2446109.4	2077468.8	3283093.8	2806175.1	2293446.0	3723749.4
rpc-pinned	pinned	A	a	8	12	2683640.6	2395656.2	2805000.0	2814121.7	2448817.5	3085335.3
rpc-pinned	pinned	B	a	8	12	2783468.8	2292343.8	3096312.5	2866435.2	2364680.4	3410337.4
rpc-pinned	pinned	C-retain	a	8	12	2945140.6	2440343.8	3140156.2	3025872.4	2516882.0	3489035.4
rpc-pinned	pinned	C-drop	a	8	12	3310296.9	2764781.2	3541031.2	3484020.5	2856316.9	3778687.8
rpc-pinned	pinned	D-retain	a	8	12	2862953.1	2545000.0	3006156.2	3024546.0	2640443.3	3119166.6
rpc-pinned	pinned	D-drop	a	8	12	3256484.4	2552750.0	3764750.0	3348619.2	2585793.3	4543174.5
rpc-pinned	pinned	A	a	16	12	3035140.6	2822093.8	3312875.0	3132264.6	2967538.8	3508800.1
rpc-pinned	pinned	B	a	16	12	2905500.0	2780843.8	3058750.0	2979182.6	2902993.2	3208935.9
rpc-pinned	pinned	C-retain	a	16	12	3199015.6	3072968.8	3441656.2	3368433.8	3136573.0	3564207.6
rpc-pinned	pinned	C-drop	a	16	12	3509250.0	3113750.0	3715343.8	3549160.4	3219203.5	4001966.5
rpc-pinned	pinned	D-retain	a	16	12	3333453.1	3087656.2	3468187.5	3449031.8	3125708.3	4185897.3
rpc-pinned	pinned	D-drop	a	16	12	3435781.2	3187031.2	3723625.0	3510773.1	3254351.0	4179437.0
rpc-pinned	pinned	A	b	1	12	1830437.5	1758593.8	1915468.8	3890924.6	3550233.5	4281103.1
rpc-pinned	pinned	B	b	1	12	1210531.2	1125218.8	1301593.8	3160174.2	2918784.9	4192844.4
rpc-pinned	pinned	C-retain	b	1	12	1060609.4	961000.0	1090375.0	3000213.6	2670244.0	3578799.9
rpc-pinned	pinned	C-drop	b	1	12	1069843.8	996218.8	1121968.8	2954395.5	2825613.6	3527415.8
rpc-pinned	pinned	D-retain	b	1	12	1116625.0	1017531.2	1191250.0	3072288.5	2791823.8	3532274.0
rpc-pinned	pinned	D-drop	b	1	12	1072828.1	984468.8	1150750.0	2990137.2	2710071.7	3469032.3
rpc-pinned	pinned	A	b	8	12	1946812.5	1650593.8	2338375.0	2190692.7	1924972.5	2633181.2
rpc-pinned	pinned	B	b	8	12	1246250.0	1097000.0	1563437.5	1935516.2	1578507.8	2808229.9
rpc-pinned	pinned	C-retain	b	8	12	1033703.1	940000.0	1480031.2	1754316.9	1551447.5	2106490.0
rpc-pinned	pinned	C-drop	b	8	12	1078796.9	960093.8	1297125.0	1836598.4	1434839.2	2056518.9
rpc-pinned	pinned	D-retain	b	8	12	1152109.4	972875.0	1589781.2	1919483.2	1671336.1	2080871.2
rpc-pinned	pinned	D-drop	b	8	12	1054453.1	995468.8	1416531.2	1840963.4	1473170.5	2103870.5
rpc-pinned	pinned	A	b	16	12	1986812.5	1871468.8	2275031.2	2110054.5	1947706.5	2476532.1
rpc-pinned	pinned	B	b	16	12	1390500.0	1123718.8	1530750.0	1984324.5	1828313.2	2467058.1
rpc-pinned	pinned	C-retain	b	16	12	1310500.0	1097281.2	1629312.5	1990603.1	1838654.1	2202720.1
rpc-pinned	pinned	C-drop	b	16	12	1334093.8	1059656.2	1550375.0	1983196.7	1744066.8	2373270.2
rpc-pinned	pinned	D-retain	b	16	12	1383453.1	1169500.0	1498093.8	1995277.8	1579335.3	2436980.8
