# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P7.1	decode	drop	286.9	1.069	0.737	1.096	1.204	1.486	0.754	1.088
codec-P	P7.1	decode	retain	286.9	1.069	0.740	1.162	1.285	1.570	0.728	1.148
codec-P	P1.3	decode-read	drop	7170.9	1.381	1.374	1.987	2.146	1.446	1.383	2.002
codec-P	P1.3	decode-read	retain	7170.9	1.381	1.345	2.077	2.139	1.544	1.356	2.089
codec-P	P2.2	encode	drop	978123.2	1.025	0.236	0.408		1.732	0.236	0.412
codec-P	P2.2	encode	retain	978123.2	1.025	0.245	0.428		1.749	0.246	0.428
codec-P	P4.1	decode	drop	260493.4	1.002	0.840	1.183	1.131	1.408	0.837	1.179
codec-P	P4.1	decode	retain	260493.4	1.002	0.850	1.180	1.130	1.388	0.844	1.172
codec-P	P5.2	decode	drop	1629.8	0.052	0.963	1.039	1.050	1.079	0.845	0.969
codec-P	P5.2	decode	retain	1629.8	0.052	0.990	1.054	1.055	1.065	0.990	1.055
codec-P	P5.3	encode	drop	42526.0	0.943	0.949	0.973		1.026	0.959	0.983
codec-P	P5.3	encode	retain	42526.0	0.943	0.964	0.909		0.942	0.973	0.914
codec-P	P2.4	encode	drop	639046.7	0.988	0.286	0.525		1.833	0.298	0.546
codec-P	P2.4	encode	retain	639046.7	0.988	0.272	0.527		1.936	0.279	0.549
codec-P	P2.2/wide	decode-read	drop	2521064.6	1.013	0.887	1.443	1.400	1.627	0.873	1.430
codec-P	P2.2/wide	decode-read	retain	2521064.6	1.013	0.895	1.446	1.400	1.614	0.894	1.436
codec-P	P3.1	decode-read	drop	26778.8	1.162	0.901	1.313	1.324	1.457	0.907	1.314
codec-P	P3.1	decode-read	retain	26778.8	1.162	0.906	1.309	1.332	1.444	0.913	1.315
codec-P	P1.2/latin1	decode	drop	598834.1	0.940	0.820	1.249	1.264	1.523	0.818	1.248
codec-P	P1.2/latin1	decode	retain	598834.1	0.940	0.812	1.250	1.262	1.539	0.812	1.247
codec-P	P1.2	encode	drop	332281.8	1.033	0.179	0.321		1.798	0.181	0.324
codec-P	P1.2	encode	retain	332281.8	1.033	0.221	0.337		1.524	0.220	0.347
codec-P	P5.4	decode-read	drop	332666.3	0.000	1.002	1.004	1.004	1.002	0.975	0.972
codec-P	P5.4	decode-read	retain	332666.3	0.000	0.994	1.003	1.002	1.010	0.955	0.970
codec-P	P1.1	decode-read	drop	1230.0	1.086	0.933	1.378	1.401	1.477	0.881	1.342
codec-P	P1.1	decode-read	retain	1230.0	1.086	0.910	1.433	1.440	1.574	0.877	1.362
codec-P	P2.1	decode	drop	2227.8	0.842	0.688	1.351	1.331	1.962	0.716	1.366
codec-P	P2.1	decode	retain	2227.8	0.842	0.687	1.370	1.360	1.996	0.671	1.363
codec-P	P1.3	decode	drop	8339.8	1.431	1.401	2.100	2.247	1.498	1.256	2.256
codec-P	P1.3	decode	retain	8339.8	1.431	1.378	2.198	2.236	1.595	1.446	2.323
codec-P	P4.1	encode	drop	119971.8	1.016	0.194	0.419		2.157	0.196	0.412
codec-P	P4.1	encode	retain	119971.8	1.016	0.209	0.410		1.959	0.208	0.406
codec-P	P3.1	decode	drop	21980.5	1.102	0.831	1.233	1.238	1.483	0.887	1.331
codec-P	P3.1	decode	retain	21980.5	1.102	0.814	1.334	1.353	1.639	0.890	1.323
codec-P	P1.2/wide	encode	drop	303689.4	1.067	0.185	0.346		1.868	0.193	0.352
codec-P	P1.2/wide	encode	retain	303689.4	1.067	0.207	0.342		1.648	0.208	0.349
codec-P	P2.1	encode	drop	1406.7	1.005	0.193	0.414		2.150	0.192	0.411
codec-P	P2.1	encode	retain	1406.7	1.005	0.228	0.430		1.890	0.225	0.429
codec-P	P6.1	encode	drop	428085.6	1.016	0.174	0.202		1.159	0.174	0.199
codec-P	P6.1	encode	retain	428085.6	1.016	0.174	0.203		1.167	0.142	0.165
codec-P	P2.5	decode-read	drop	50464.2	0.998	0.831	1.301	1.251	1.565	0.832	1.297
codec-P	P2.5	decode-read	retain	50464.2	0.998	0.834	1.288	1.247	1.545	0.828	1.287
codec-P	P1.2	decode-read	drop	416522.9	0.904	0.810	1.139	1.146	1.407	0.795	1.135
codec-P	P1.2	decode-read	retain	416522.9	0.904	0.800	1.138	1.150	1.423	0.785	1.143
