# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode	default	20	286.9	250.2	323.3	0.255	256.5	321.8
codec-P	P7.1	P7.1	ascii	armonik	decode	default	20	306.8	249.3	338.2	0.290	256.3	322.0
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	211.6	188.6	247.6	0.279	198.3	244.6
codec-P	P7.1	P7.1	ascii	core-ffi	decode	drop	20	314.4	272.3	356.3	0.267	277.7	350.3
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	drop	20	345.5	295.2	393.6	0.285	300.2	381.0
codec-P	P7.1	P7.1	ascii	core-native	decode	retain	20	212.2	182.1	246.8	0.305	186.0	232.8
codec-P	P7.1	P7.1	ascii	core-ffi	decode	retain	20	333.3	287.1	384.3	0.292	295.1	370.6
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	retain	20	368.7	318.1	429.9	0.303	327.7	410.2
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	7170.9	7046.3	9277.4	0.311	7098.6	7474.7
codec-P	P1.3	P1.3	ascii	armonik	decode-read	default	20	9905.4	9806.1	12647.6	0.287	9858.5	10440.5
codec-P	P1.3	P1.3	ascii	core-native	decode-read	drop	20	9853.6	9741.8	12544.5	0.284	9785.3	10399.1
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	drop	20	14246.8	14105.7	18807.6	0.330	14174.4	15201.8
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	drop	20	15388.6	15240.1	19969.7	0.307	15303.0	16547.3
codec-P	P1.3	P1.3	ascii	core-native	decode-read	retain	20	9644.6	9553.3	12375.0	0.293	9593.0	10192.6
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	retain	20	14890.6	14716.3	19028.2	0.290	14780.4	16184.0
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	retain	20	15341.0	15138.7	19824.1	0.305	15223.6	16054.1
codec-P	P2.2	P2.2	ascii	incumbent-prod	encode	default	20	978123.2	957251.2	1009179.4	0.053	973160.3	982801.8
codec-P	P2.2	P2.2	ascii	armonik	encode	default	20	1003006.8	992830.0	1084816.6	0.092	996914.4	1014023.3
codec-P	P2.2	P2.2	ascii	core-native	encode	drop	20	230357.9	225977.7	250773.0	0.108	228305.2	234114.7
codec-P	P2.2	P2.2	ascii	core-ffi	encode	drop	20	398952.0	394310.4	436734.8	0.106	396445.3	402860.9
codec-P	P2.2	P2.2	ascii	core-native	encode	retain	20	239160.9	235924.3	253965.2	0.075	237994.5	241133.7
codec-P	P2.2	P2.2	ascii	core-ffi	encode	retain	20	418219.4	410091.6	474470.5	0.154	416069.0	421209.1
codec-P	P4.1	P4.1	ascii	incumbent-prod	decode	default	20	260493.4	259020.0	266982.7	0.031	259725.2	261483.4
codec-P	P4.1	P4.1	ascii	armonik	decode	default	20	260921.0	258806.1	268647.7	0.038	259851.7	262113.5
codec-P	P4.1	P4.1	ascii	core-native	decode	drop	20	218850.0	216723.3	222738.1	0.027	217763.3	219614.3
codec-P	P4.1	P4.1	ascii	core-ffi	decode	drop	20	308130.5	305501.3	320508.6	0.049	307011.9	308797.5
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	drop	20	294548.4	292451.1	299772.7	0.025	293868.4	295819.9
codec-P	P4.1	P4.1	ascii	core-native	decode	retain	20	221324.0	218725.9	227803.3	0.041	220508.7	223481.7
codec-P	P4.1	P4.1	ascii	core-ffi	decode	retain	20	307300.9	303579.3	322077.4	0.060	306279.0	308139.2
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	retain	20	294460.5	292597.0	300038.4	0.025	293404.0	295332.5
codec-P	P5.2	P5.2	ascii	incumbent-prod	decode	default	20	1629.8	1622.4	1690.3	0.042	1627.9	1636.3
codec-P	P5.2	P5.2	ascii	armonik	decode	default	20	85.1	78.9	92.5	0.159	82.8	87.3
codec-P	P5.2	P5.2	ascii	core-native	decode	drop	20	1569.7	1370.2	1685.4	0.201	1492.8	1624.3
codec-P	P5.2	P5.2	ascii	core-ffi	decode	drop	20	1693.7	1572.7	1749.2	0.104	1689.9	1701.1
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	drop	20	1711.4	1705.9	1772.5	0.039	1708.2	1726.4
codec-P	P5.2	P5.2	ascii	core-native	decode	retain	20	1614.2	1605.8	1672.5	0.041	1612.0	1632.8
codec-P	P5.2	P5.2	ascii	core-ffi	decode	retain	20	1718.3	1711.6	1779.8	0.040	1716.6	1733.5
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	retain	20	1718.8	1714.5	1820.4	0.062	1717.2	1736.8
codec-P	P5.3	P5.3	ascii	incumbent-prod	encode	default	20	42526.0	40942.5	61945.3	0.494	41874.6	44509.4
codec-P	P5.3	P5.3	ascii	armonik	encode	default	20	40113.1	39283.8	60186.1	0.521	39885.9	40677.0
codec-P	P5.3	P5.3	ascii	core-native	encode	drop	20	40363.2	39262.1	47274.9	0.199	39887.7	41740.2
codec-P	P5.3	P5.3	ascii	core-ffi	encode	drop	20	41392.7	40228.8	56943.3	0.404	40912.9	42787.3
codec-P	P5.3	P5.3	ascii	core-native	encode	retain	20	41010.2	39841.3	59624.2	0.482	40684.6	41650.1
codec-P	P5.3	P5.3	ascii	core-ffi	encode	retain	20	38638.9	37437.9	62584.2	0.651	38284.0	42240.9
codec-P	P2.4	P2.4	ascii	incumbent-prod	encode	default	20	639046.7	604837.0	660175.9	0.087	619912.0	652942.9
codec-P	P2.4	P2.4	ascii	armonik	encode	default	20	631322.9	611048.1	669857.1	0.093	624445.5	662295.6
codec-P	P2.4	P2.4	ascii	core-native	encode	drop	20	183043.7	180411.6	192971.1	0.069	182216.5	184477.8
codec-P	P2.4	P2.4	ascii	core-ffi	encode	drop	20	335528.7	330081.0	342822.6	0.038	334821.0	338205.1
codec-P	P2.4	P2.4	ascii	core-native	encode	retain	20	173996.2	168695.6	177169.0	0.049	173546.5	174457.4
codec-P	P2.4	P2.4	ascii	core-ffi	encode	retain	20	336918.8	332056.4	339436.6	0.022	335484.8	338450.3
codec-P	P2.2/wide	P2.2	wide	incumbent-prod	decode-read	default	20	2521064.6	2496957.8	2639965.0	0.057	2503132.0	2535135.2
codec-P	P2.2/wide	P2.2	wide	armonik	decode-read	default	20	2552799.8	2510371.8	2773315.2	0.103	2533494.6	2568659.1
codec-P	P2.2/wide	P2.2	wide	core-native	decode-read	drop	20	2236861.4	2179822.6	2386442.0	0.092	2222196.7	2254815.1
codec-P	P2.2/wide	P2.2	wide	core-ffi	decode-read	drop	20	3638674.0	3571227.3	3893763.0	0.089	3619095.2	3754177.8
codec-P	P2.2/wide	P2.2	wide	core-ffi-pull	decode-read	drop	20	3529058.3	3498765.0	3803323.0	0.086	3511386.9	3563658.8
codec-P	P2.2/wide	P2.2	wide	core-native	decode-read	retain	20	2257462.3	2231231.2	2533521.8	0.134	2249152.2	2290770.0
codec-P	P2.2/wide	P2.2	wide	core-ffi	decode-read	retain	20	3644281.0	3586832.7	4049038.0	0.127	3610485.9	3724701.7
codec-P	P2.2/wide	P2.2	wide	core-ffi-pull	decode-read	retain	20	3529928.8	3482615.3	4292422.0	0.229	3510214.9	3578834.6
codec-P	P3.1	P3.1	ascii	incumbent-prod	decode-read	default	20	26778.8	26232.3	32174.3	0.222	26317.4	31313.6
codec-P	P3.1	P3.1	ascii	armonik	decode-read	default	20	31128.4	30765.1	32028.7	0.041	30976.6	31218.6
codec-P	P3.1	P3.1	ascii	core-native	decode-read	drop	20	24138.7	23800.0	25802.0	0.083	23959.7	24217.7
codec-P	P3.1	P3.1	ascii	core-ffi	decode-read	drop	20	35173.0	34458.1	61283.3	0.763	34951.0	35468.1
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode-read	drop	20	35444.4	34893.5	37710.4	0.079	35312.0	35507.5
codec-P	P3.1	P3.1	ascii	core-native	decode-read	retain	20	24271.7	23945.0	24491.8	0.023	24136.8	24392.9
codec-P	P3.1	P3.1	ascii	core-ffi	decode-read	retain	20	35058.5	34488.0	43293.0	0.251	34940.6	35386.7
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode-read	retain	20	35663.4	34945.8	40916.0	0.167	35436.4	35877.5
codec-P	P1.2/latin1	P1.2	latin1	incumbent-prod	decode	default	20	598834.1	594875.3	610246.2	0.026	598295.9	600207.3
codec-P	P1.2/latin1	P1.2	latin1	armonik	decode	default	20	563002.2	558142.3	589728.8	0.056	562470.4	564359.2
codec-P	P1.2/latin1	P1.2	latin1	core-native	decode	drop	20	490981.6	486503.0	545567.8	0.120	489323.4	491793.5
codec-P	P1.2/latin1	P1.2	latin1	core-ffi	decode	drop	20	747735.3	742478.3	1005190.5	0.351	745060.0	749193.4
codec-P	P1.2/latin1	P1.2	latin1	core-ffi-pull	decode	drop	20	756902.0	752483.0	1055237.4	0.400	754594.2	758326.8
codec-P	P1.2/latin1	P1.2	latin1	core-native	decode	retain	20	486049.5	483068.0	621751.6	0.285	484265.0	487937.2
codec-P	P1.2/latin1	P1.2	latin1	core-ffi	decode	retain	20	748252.8	741939.4	791946.2	0.067	745790.2	751773.8
codec-P	P1.2/latin1	P1.2	latin1	core-ffi-pull	decode	retain	20	755756.9	750656.5	771365.8	0.027	753840.3	758124.0
codec-P	P1.2	P1.2	ascii	incumbent-prod	encode	default	20	332281.8	257484.6	354541.9	0.292	326582.0	345406.0
codec-P	P1.2	P1.2	ascii	armonik	encode	default	20	343140.1	270201.8	364617.1	0.275	338839.9	348409.2
codec-P	P1.2	P1.2	ascii	core-native	encode	drop	20	59377.6	46505.1	62420.6	0.268	49031.0	60216.1
codec-P	P1.2	P1.2	ascii	core-ffi	encode	drop	20	106732.1	83521.4	112744.6	0.274	89420.1	107192.4
codec-P	P1.2	P1.2	ascii	core-native	encode	retain	20	73390.9	56630.8	79184.4	0.307	61706.5	74261.4
codec-P	P1.2	P1.2	ascii	core-ffi	encode	retain	20	111866.1	89277.0	133574.2	0.396	106226.9	113411.9
codec-P	P5.4	P5.4	ascii	incumbent-prod	decode-read	default	20	332666.3	306890.0	399809.1	0.279	329840.0	338629.1
codec-P	P5.4	P5.4	ascii	armonik	decode-read	default	20	95.0	88.9	97.3	0.089	94.5	95.9
codec-P	P5.4	P5.4	ascii	core-native	decode-read	drop	20	333398.4	299122.2	350217.0	0.153	327292.7	338821.8
codec-P	P5.4	P5.4	ascii	core-ffi	decode-read	drop	20	333917.2	298181.1	371253.4	0.219	330553.5	339869.1
codec-P	P5.4	P5.4	ascii	core-ffi-pull	decode-read	drop	20	334154.7	289865.7	353512.8	0.190	328605.9	337499.5
codec-P	P5.4	P5.4	ascii	core-native	decode-read	retain	20	330509.3	293220.9	355925.9	0.190	324963.6	340061.9
codec-P	P5.4	P5.4	ascii	core-ffi	decode-read	retain	20	333707.4	297640.7	349214.4	0.155	328039.7	341102.0
codec-P	P5.4	P5.4	ascii	core-ffi-pull	decode-read	retain	20	333379.0	293388.6	375149.7	0.245	328623.9	341391.0
codec-P	P1.1	P1.1	ascii	incumbent-prod	decode-read	default	20	1230.0	1016.5	1466.8	0.366	1027.2	1320.0
codec-P	P1.1	P1.1	ascii	armonik	decode-read	default	20	1336.3	1036.7	1645.1	0.455	1059.7	1348.3
codec-P	P1.1	P1.1	ascii	core-native	decode-read	drop	20	1147.4	895.2	1196.1	0.262	919.0	1170.1
codec-P	P1.1	P1.1	ascii	core-ffi	decode-read	drop	20	1695.0	1363.8	1962.7	0.353	1395.9	1769.4
codec-P	P1.1	P1.1	ascii	core-ffi-pull	decode-read	drop	20	1723.8	1369.4	1983.3	0.356	1392.7	1778.8
codec-P	P1.1	P1.1	ascii	core-native	decode-read	retain	20	1119.4	891.8	1245.6	0.316	905.0	1143.0
