# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned-nounk	pinned	A	a	1	12	2353000.0	2260375.0	2411083.3	2641551.2	2472189.2	2772506.6
rpc-pinned-nounk	pinned	B	a	1	12	2045041.7	1860458.3	2169125.0	2364251.9	2095557.6	2603741.4
rpc-pinned-nounk	pinned	C-nounk	a	1	12	2646625.0	2384208.3	2736291.7	2936461.0	2701588.6	3311653.1
rpc-pinned-nounk	pinned	D-nounk	a	1	12	2657458.3	2545250.0	2763625.0	2986411.7	2808287.8	3798548.2
rpc-pinned-nounk	pinned	A	a	8	12	2789187.5	2406958.3	3052166.7	2888991.8	2439664.1	3304781.7
rpc-pinned-nounk	pinned	B	a	8	12	2805125.0	2386083.3	3042541.7	2933772.2	2409039.8	3269195.2
rpc-pinned-nounk	pinned	C-nounk	a	8	12	3656958.3	3170583.3	3908541.7	3726168.2	3406330.2	4617099.8
rpc-pinned-nounk	pinned	D-nounk	a	8	12	3632812.5	3130458.3	3954666.7	3845669.1	3406183.0	4270218.2
rpc-pinned-nounk	pinned	A	a	16	12	3136640.6	2935625.0	3263656.2	3249128.1	3011051.4	3485479.2
rpc-pinned-nounk	pinned	B	a	16	12	2955296.9	2503968.8	3157531.2	3015271.8	2550525.7	3380298.1
rpc-pinned-nounk	pinned	C-nounk	a	16	12	3853640.6	3657375.0	3992593.8	3940367.9	3687325.8	4190500.2
rpc-pinned-nounk	pinned	D-nounk	a	16	12	3832703.1	3431625.0	4025843.8	4046362.0	3512468.8	4250659.7
rpc-pinned-nounk	pinned	A	b	1	12	1892041.7	1810000.0	2150375.0	4002609.5	3633732.0	4777626.3
rpc-pinned-nounk	pinned	B	b	1	12	1248354.2	1161916.7	1540250.0	3267719.5	2954137.8	3860229.5
rpc-pinned-nounk	pinned	C-nounk	b	1	12	1087166.7	979625.0	1151583.3	3085240.9	2691627.1	3814910.1
rpc-pinned-nounk	pinned	D-nounk	b	1	12	1185541.7	1056083.3	1233625.0	3174211.7	2765246.0	3519473.5
rpc-pinned-nounk	pinned	A	b	8	12	1846229.2	1695208.3	2016708.3	2074057.5	1834585.9	3136539.1
rpc-pinned-nounk	pinned	B	b	8	12	1153125.0	1073458.3	1250916.7	1878995.0	1634224.6	2440074.9
rpc-pinned-nounk	pinned	C-nounk	b	8	12	1012937.5	972500.0	1162500.0	1960951.1	1683694.2	2156773.7
rpc-pinned-nounk	pinned	D-nounk	b	8	12	1060250.0	986916.7	1163041.7	1895635.4	1682352.0	2390103.8
rpc-pinned-nounk	pinned	A	b	16	12	2052109.4	1749406.2	2355437.5	2177862.4	1853010.2	2466740.7
rpc-pinned-nounk	pinned	B	b	16	12	1296875.0	1126031.2	1521062.5	2126783.7	1771938.1	2353238.9
rpc-pinned-nounk	pinned	C-nounk	b	16	12	1178171.9	1054500.0	1451656.2	2065667.0	1766335.9	2378959.0
rpc-pinned-nounk	pinned	D-nounk	b	16	12	1183578.1	1082812.5	1319531.2	1972271.0	1666465.3	2181829.9
