# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode	default	20	332.3	328.1	452.2	0.373	330.1	335.6
codec-P	P7.1	P7.1	ascii	armonik	decode	default	20	331.0	327.0	441.2	0.345	328.9	334.8
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	245.5	242.3	302.9	0.247	244.0	248.8
codec-P	P7.1	P7.1	ascii	core-ffi	decode	drop	20	312.0	305.0	315.2	0.033	310.2	312.8
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	drop	20	336.9	331.9	391.1	0.175	334.2	340.0
codec-P	P7.1	P7.1	ascii	core-native	decode	retain	20	249.4	226.3	257.5	0.125	246.9	252.2
codec-P	P7.1	P7.1	ascii	core-ffi	decode	retain	20	317.6	269.6	326.1	0.178	315.7	320.2
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	retain	20	348.6	342.0	363.6	0.062	347.1	350.6
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	9091.9	8982.8	9492.8	0.056	9067.1	9311.3
codec-P	P1.3	P1.3	ascii	armonik	decode-read	default	20	13516.6	13356.6	14734.0	0.102	13391.5	13814.3
codec-P	P1.3	P1.3	ascii	core-native	decode-read	drop	20	13031.0	12853.3	13548.9	0.053	12944.5	13137.6
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	drop	20	18286.0	18110.0	19089.0	0.054	18171.9	18479.7
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	drop	20	19734.8	19362.2	23281.3	0.199	19556.8	20313.3
codec-P	P1.3	P1.3	ascii	core-native	decode-read	retain	20	12854.2	12695.4	15240.3	0.198	12811.0	12980.8
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	retain	20	17486.9	17290.9	19357.2	0.118	17430.2	17629.8
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	retain	20	18731.2	18111.2	21633.1	0.188	18652.9	18868.6
codec-P	P2.2	P2.2	ascii	incumbent-prod	encode	default	20	907129.2	744658.9	1166760.8	0.465	901751.7	918148.1
codec-P	P2.2	P2.2	ascii	armonik	encode	default	20	927280.3	743559.5	977608.5	0.252	921941.9	945547.4
codec-P	P2.2	P2.2	ascii	core-native	encode	drop	20	236054.2	198392.7	255008.3	0.240	234067.7	239077.3
codec-P	P2.2	P2.2	ascii	core-ffi	encode	drop	20	332671.1	274178.6	353318.0	0.238	330714.2	338349.1
codec-P	P2.2	P2.2	ascii	core-native	encode	retain	20	241410.2	199072.3	328284.3	0.535	237445.4	244654.9
codec-P	P2.2	P2.2	ascii	core-ffi	encode	retain	20	342427.2	286550.0	360974.1	0.217	337422.5	347528.3
codec-P	P4.1	P4.1	ascii	incumbent-prod	decode	default	20	262635.6	204304.3	274792.8	0.268	228975.1	263879.8
codec-P	P4.1	P4.1	ascii	armonik	decode	default	20	261372.8	205712.1	273250.2	0.258	217116.2	267893.2
codec-P	P4.1	P4.1	ascii	core-native	decode	drop	20	232273.0	184257.4	250510.3	0.285	192219.1	237342.9
codec-P	P4.1	P4.1	ascii	core-ffi	decode	drop	20	245998.4	191029.9	264798.8	0.300	216978.6	253629.3
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	drop	20	236772.9	183241.7	280737.5	0.412	223511.4	239971.4
codec-P	P4.1	P4.1	ascii	core-native	decode	retain	20	233701.5	183881.6	249456.0	0.281	197970.4	236492.2
codec-P	P4.1	P4.1	ascii	core-ffi	decode	retain	20	243690.5	190781.0	303121.5	0.461	206227.1	250110.4
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	retain	20	234591.7	187472.9	256375.5	0.294	193389.7	239335.3
codec-P	P5.2	P5.2	ascii	incumbent-prod	decode	default	20	1689.4	1674.0	1779.5	0.062	1680.4	1715.4
codec-P	P5.2	P5.2	ascii	armonik	decode	default	20	93.6	91.3	100.8	0.102	92.2	94.9
codec-P	P5.2	P5.2	ascii	core-native	decode	drop	20	1679.4	1591.4	2108.7	0.308	1669.0	1701.3
codec-P	P5.2	P5.2	ascii	core-ffi	decode	drop	20	1693.4	1640.3	1764.7	0.073	1684.2	1725.2
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	drop	20	1718.3	1633.6	1776.9	0.083	1703.8	1744.3
codec-P	P5.2	P5.2	ascii	core-native	decode	retain	20	1689.2	1603.3	1740.7	0.081	1664.3	1714.3
codec-P	P5.2	P5.2	ascii	core-ffi	decode	retain	20	1698.3	1646.8	1756.5	0.065	1690.3	1723.4
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	retain	20	1705.6	1685.9	1833.3	0.086	1698.9	1725.5
codec-P	P5.3	P5.3	ascii	incumbent-prod	encode	default	20	48128.9	42961.6	52516.8	0.199	47363.8	48912.4
codec-P	P5.3	P5.3	ascii	armonik	encode	default	20	46762.3	41760.4	48886.6	0.152	45806.1	47466.4
codec-P	P5.3	P5.3	ascii	core-native	encode	drop	20	41613.6	37672.5	49550.8	0.285	40671.3	43323.8
codec-P	P5.3	P5.3	ascii	core-ffi	encode	drop	20	45720.7	40974.7	48547.5	0.166	44502.0	46375.8
codec-P	P5.3	P5.3	ascii	core-native	encode	retain	20	46259.5	40976.0	56379.4	0.333	45350.9	47698.0
codec-P	P5.3	P5.3	ascii	core-ffi	encode	retain	20	49013.2	44062.8	51601.2	0.154	47838.7	49602.4
codec-P	P2.4	P2.4	ascii	incumbent-prod	encode	default	20	601602.1	505317.5	732998.9	0.378	587803.0	624162.8
codec-P	P2.4	P2.4	ascii	armonik	encode	default	20	591177.4	496559.6	707865.2	0.357	586773.2	595684.2
codec-P	P2.4	P2.4	ascii	core-native	encode	drop	20	196359.2	184098.4	222174.9	0.194	193056.2	205016.1
codec-P	P2.4	P2.4	ascii	core-ffi	encode	drop	20	260475.8	227452.1	302911.6	0.290	257182.3	264864.1
codec-P	P2.4	P2.4	ascii	core-native	encode	retain	20	184319.4	167092.4	197879.7	0.167	181411.6	187799.3
codec-P	P2.4	P2.4	ascii	core-ffi	encode	retain	20	261347.7	227288.6	343155.8	0.443	258529.7	264407.9
codec-P	P2.2/wide	P2.2	wide	incumbent-prod	decode-read	default	20	2558975.0	2081273.8	2731305.2	0.254	2487676.4	2611991.1
codec-P	P2.2/wide	P2.2	wide	armonik	decode-read	default	20	2618645.9	2141505.0	2702200.5	0.214	2588914.8	2652842.3
codec-P	P2.2/wide	P2.2	wide	core-native	decode-read	drop	20	2300628.0	1867691.4	2495710.6	0.273	2243442.7	2320828.2
codec-P	P2.2/wide	P2.2	wide	core-ffi	decode-read	drop	20	2590829.5	2107393.2	3926251.5	0.702	2523532.0	2644439.9
codec-P	P2.2/wide	P2.2	wide	core-ffi-pull	decode-read	drop	20	2483093.4	2087489.2	2787522.2	0.282	2412577.3	2532687.9
codec-P	P2.2/wide	P2.2	wide	core-native	decode-read	retain	20	2302065.9	1897592.0	2436354.0	0.234	2268403.4	2338842.1
codec-P	P2.2/wide	P2.2	wide	core-ffi	decode-read	retain	20	2569466.8	2034865.5	2687026.5	0.254	2497830.8	2591454.8
codec-P	P2.2/wide	P2.2	wide	core-ffi-pull	decode-read	retain	20	2464891.0	2117892.8	2584529.0	0.189	2421283.2	2500877.1
codec-P	P3.1	P3.1	ascii	incumbent-prod	decode-read	default	20	26767.6	21003.4	32960.2	0.447	23992.1	27129.5
codec-P	P3.1	P3.1	ascii	armonik	decode-read	default	20	31548.4	24504.0	33337.4	0.280	27717.1	32076.8
codec-P	P3.1	P3.1	ascii	core-native	decode-read	drop	20	24241.5	18691.1	25405.8	0.277	21573.0	24518.7
codec-P	P3.1	P3.1	ascii	core-ffi	decode-read	drop	20	25264.4	19330.0	26765.9	0.294	22418.2	25528.2
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode-read	drop	20	25747.2	20071.5	28003.8	0.308	21431.5	26642.8
codec-P	P3.1	P3.1	ascii	core-native	decode-read	retain	20	24154.6	18764.6	26101.6	0.304	19859.6	24425.5
codec-P	P3.1	P3.1	ascii	core-ffi	decode-read	retain	20	25140.7	19657.2	26060.3	0.255	23197.9	25461.3
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode-read	retain	20	26019.9	20194.9	27669.6	0.287	22900.5	26432.6
codec-P	P1.2/latin1	P1.2	latin1	incumbent-prod	decode	default	20	600566.2	560607.4	639372.1	0.131	596468.8	609025.3
codec-P	P1.2/latin1	P1.2	latin1	armonik	decode	default	20	582113.4	566569.1	607584.4	0.070	571250.8	587470.2
codec-P	P1.2/latin1	P1.2	latin1	core-native	decode	drop	20	500718.4	474983.5	556379.1	0.163	496691.3	513051.6
