# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P7.1	decode	drop	326.2	1.011	0.709	0.947	1.017	1.335	0.718	0.955
codec-P	P7.1	decode	retain	326.2	1.011	0.705	0.984	1.074	1.395	0.730	1.011
codec-P	P1.3	decode-read	drop	9422.5	1.438	1.421	1.928	1.995	1.357	1.397	1.934
codec-P	P1.3	decode-read	retain	9422.5	1.438	1.415	1.923	2.080	1.359	1.416	1.922
codec-P	P2.2	encode	drop	883827.2	1.000	0.249	0.377		1.511	0.260	0.386
codec-P	P2.2	encode	retain	883827.2	1.000	0.256	0.374		1.461	0.273	0.391
codec-P	P4.1	decode	drop	260856.6	1.007	0.859	0.948	0.895	1.103	0.894	0.994
codec-P	P4.1	decode	retain	260856.6	1.007	0.844	0.946	0.887	1.122	0.811	0.985
codec-P	P5.2	decode	drop	1705.3	0.057	0.984	0.983	0.997	0.999	0.954	0.993
codec-P	P5.2	decode	retain	1705.3	0.057	0.980	1.001	1.000	1.021	0.980	1.007
codec-P	P5.3	encode	drop	47679.3	0.875	0.943	0.934		0.991	0.941	0.928
codec-P	P5.3	encode	retain	47679.3	0.875	0.863	0.919		1.065	0.855	0.927
codec-P	P2.4	encode	drop	633022.0	0.986	0.329	0.444		1.351	0.316	0.438
codec-P	P2.4	encode	retain	633022.0	0.986	0.309	0.445		1.440	0.296	0.430
codec-P	P2.2/wide	decode-read	drop	2560819.1	1.017	0.907	1.012	0.979	1.116	0.912	1.000
codec-P	P2.2/wide	decode-read	retain	2560819.1	1.017	0.905	1.006	0.971	1.112	0.905	1.005
codec-P	P3.1	decode-read	drop	31387.7	0.986	0.754	0.800	0.825	1.060	0.893	0.939
codec-P	P3.1	decode-read	retain	31387.7	0.986	0.748	0.804	0.827	1.075	0.889	0.947
codec-P	P1.2/latin1	decode	drop	606941.7	0.951	0.823	0.831	0.850	1.011	0.779	0.751
codec-P	P1.2/latin1	decode	retain	606941.7	0.951	0.819	0.833	0.847	1.017	0.733	0.755
codec-P	P1.2	encode	drop	300542.1	1.080	0.206	0.296		1.439	0.207	0.299
codec-P	P1.2	encode	retain	300542.1	1.080	0.244	0.315		1.288	0.244	0.319
codec-P	P5.4	decode-read	drop	358132.6	0.000	1.017	0.992	1.013	0.975	0.998	1.026
codec-P	P5.4	decode-read	retain	358132.6	0.000	0.961	0.985	1.021	1.025	0.996	0.993
codec-P	P1.1	decode-read	drop	1445.6	1.080	0.939	0.968	0.952	1.030	0.907	0.927
codec-P	P1.1	decode-read	retain	1445.6	1.080	0.916	0.955	0.963	1.043	0.901	0.934
codec-P	P2.1	decode	drop	1937.8	0.990	0.778	1.129	1.107	1.452	0.741	1.088
codec-P	P2.1	decode	retain	1937.8	0.990	0.763	1.170	1.153	1.533	0.751	1.125
codec-P	P1.3	decode	drop	8786.5	1.470	1.434	1.982	2.063	1.382	1.441	2.007
codec-P	P1.3	decode	retain	8786.5	1.470	1.428	1.965	2.134	1.376	1.433	1.988
codec-P	P4.1	encode	drop	134069.1	1.009	0.209	0.362		1.729	0.210	0.347
codec-P	P4.1	encode	retain	134069.1	1.009	0.238	0.374		1.572	0.236	0.373
codec-P	P3.1	decode	drop	30016.2	1.151	0.822	0.906	0.936	1.102	0.852	0.915
codec-P	P3.1	decode	retain	30016.2	1.151	0.824	0.944	0.954	1.145	0.846	0.935
codec-P	P1.2/wide	encode	drop	314310.7	1.112	0.205	0.312		1.517	0.208	0.297
codec-P	P1.2/wide	encode	retain	314310.7	1.112	0.233	0.319		1.366	0.233	0.313
codec-P	P2.1	encode	drop	1302.8	0.992	0.206	0.373		1.812	0.187	0.372
