# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode	default	20	326.2	260.7	363.7	0.316	318.5	335.0
codec-P	P7.1	P7.1	ascii	armonik	decode	default	20	329.9	271.5	378.3	0.324	324.4	348.9
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	231.4	187.3	252.6	0.282	228.5	236.4
codec-P	P7.1	P7.1	ascii	core-ffi	decode	drop	20	308.9	249.1	475.5	0.733	295.3	324.6
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	drop	20	331.7	268.8	360.0	0.275	311.4	335.7
codec-P	P7.1	P7.1	ascii	core-native	decode	retain	20	230.1	190.2	312.4	0.531	215.8	239.9
codec-P	P7.1	P7.1	ascii	core-ffi	decode	retain	20	321.0	263.5	377.7	0.356	307.8	331.8
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	retain	20	350.4	303.6	402.0	0.281	341.0	354.5
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	9422.5	7280.9	11474.3	0.445	7429.0	9610.6
codec-P	P1.3	P1.3	ascii	armonik	decode-read	default	20	13551.8	10652.6	14574.4	0.289	10925.4	13841.3
codec-P	P1.3	P1.3	ascii	core-native	decode-read	drop	20	13391.3	10173.4	14038.5	0.289	10609.7	13695.1
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	drop	20	18169.7	14078.2	18867.7	0.264	14339.2	18581.2
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	drop	20	18796.5	14589.7	19770.6	0.276	15131.7	19321.5
codec-P	P1.3	P1.3	ascii	core-native	decode-read	retain	20	13332.9	10310.5	14668.2	0.327	11013.1	13688.8
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	retain	20	18115.4	13995.5	38391.4	1.347	14411.6	18423.1
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	retain	20	19602.8	15319.7	23039.7	0.394	15412.6	19891.1
codec-P	P2.2	P2.2	ascii	incumbent-prod	encode	default	20	883827.2	740189.5	1042749.3	0.342	791817.1	923607.8
codec-P	P2.2	P2.2	ascii	armonik	encode	default	20	884218.2	763254.8	992992.5	0.260	818419.1	923040.8
codec-P	P2.2	P2.2	ascii	core-native	encode	drop	20	220391.5	192513.6	245987.3	0.243	201981.0	226212.5
codec-P	P2.2	P2.2	ascii	core-ffi	encode	drop	20	333055.6	285551.9	381740.9	0.289	303984.8	337211.7
codec-P	P2.2	P2.2	ascii	core-native	encode	retain	20	226546.1	201722.2	273297.3	0.316	209164.5	241861.4
codec-P	P2.2	P2.2	ascii	core-ffi	encode	retain	20	330944.6	289253.1	385825.6	0.292	301400.3	349238.0
codec-P	P4.1	P4.1	ascii	incumbent-prod	decode	default	20	260856.6	245606.4	269928.6	0.093	259439.1	265726.1
codec-P	P4.1	P4.1	ascii	armonik	decode	default	20	262784.7	258016.8	280949.7	0.087	259690.5	267166.3
codec-P	P4.1	P4.1	ascii	core-native	decode	drop	20	224197.4	219629.1	371638.8	0.678	221616.3	232721.9
