# opt_compare  before=../../logs/rust/opt/baseline2  after=../../logs/rust/opt/s1-d1  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-P	P1.1	decode	drop	core-ffi-pull/inc	1.380	0.854	-38.1%	lower
codec-P	P1.1	decode	drop	core-ffi/core-native	1.545	1.051	-32.0%	lower
codec-P	P1.1	decode	drop	core-ffi/inc	1.390	0.847	-39.1%	lower
codec-P	P1.1	decode	retain	core-ffi-pull/inc	1.403	0.873	-37.8%	lower
codec-P	P1.1	decode	retain	core-ffi/core-native	1.588	1.079	-32.0%	lower
codec-P	P1.1	decode	retain	core-ffi/inc	1.396	0.862	-38.2%	lower
codec-P	P1.1	decode-read	drop	core-ffi-pull/inc	1.401	0.903	-35.6%	lower
codec-P	P1.1	decode-read	drop	core-ffi/core-native	1.477	1.018	-31.1%	lower
codec-P	P1.1	decode-read	drop	core-ffi/inc	1.378	0.898	-34.8%	lower
codec-P	P1.1	decode-read	retain	core-ffi-pull/inc	1.440	0.909	-36.9%	lower
codec-P	P1.1	decode-read	retain	core-ffi/inc	1.433	0.903	-37.0%	lower
codec-P	P1.1	encode	drop	core-native/inc	0.155	0.188	+21.4%	higher
codec-P	P1.2	decode	drop	core-ffi-pull/inc	1.151	0.782	-32.1%	lower
codec-P	P1.2	decode	drop	core-ffi/core-native	1.437	1.004	-30.1%	lower
codec-P	P1.2	decode	drop	core-ffi/inc	1.141	0.776	-32.0%	lower
codec-P	P1.2	decode	retain	core-ffi-pull/inc	1.146	0.779	-32.0%	lower
codec-P	P1.2	decode	retain	core-ffi/core-native	1.457	1.008	-30.8%	lower
codec-P	P1.2	decode	retain	core-ffi/inc	1.137	0.774	-32.0%	lower
codec-P	P1.2	decode-nodrop	drop	core-ffi/core-native	1.569	1.037	-33.9%	lower
codec-P	P1.2	decode-nodrop	drop	core-ffi/inc	1.178	0.737	-37.5%	lower
codec-P	P1.2	decode-nodrop	retain	core-ffi/core-native	1.591	1.042	-34.5%	lower
codec-P	P1.2	decode-nodrop	retain	core-ffi/inc	1.179	0.730	-38.1%	lower
codec-P	P1.2	decode-read	drop	core-ffi-pull/inc	1.146	0.806	-29.7%	lower
codec-P	P1.2	decode-read	drop	core-ffi/core-native	1.407	1.003	-28.7%	lower
codec-P	P1.2	decode-read	drop	core-ffi/inc	1.139	0.793	-30.4%	lower
codec-P	P1.2	decode-read	retain	core-ffi-pull/inc	1.150	0.808	-29.8%	lower
codec-P	P1.2	decode-read	retain	core-ffi/core-native	1.423	1.014	-28.8%	lower
codec-P	P1.2	decode-read	retain	core-ffi/inc	1.138	0.796	-30.0%	lower
codec-P	P1.2	encode	drop	core-ffi/inc	0.321	0.360	+12.1%	higher
codec-P	P1.2	encode	drop	core-native/inc	0.179	0.217	+21.3%	higher
codec-P	P1.2	encode	retain	core-ffi/inc	0.337	0.375	+11.3%	higher
codec-P	P1.2	encode	retain	core-native/inc	0.221	0.235	+6.6%	higher
codec-P	P1.2/latin1	decode	drop	core-ffi-pull/inc	1.264	0.837	-33.8%	lower
codec-P	P1.2/latin1	decode	drop	core-ffi/core-native	1.523	1.019	-33.1%	lower
codec-P	P1.2/latin1	decode	drop	core-ffi/inc	1.249	0.815	-34.7%	lower
