# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P7.1	decode	drop	319.6	1.057	0.715	0.961	1.050	1.345	0.715	0.969
codec-P	P7.1	decode	retain	319.6	1.057	0.745	0.988	1.087	1.327	0.733	0.990
codec-P	P1.3	decode-read	drop	7710.0	1.467	1.483	1.964	2.052	1.324	1.410	1.912
codec-P	P1.3	decode-read	retain	7710.0	1.467	1.449	1.932	2.151	1.333	1.427	1.900
codec-P	P2.2	encode	drop	937904.4	1.013	0.253	0.435		1.719	0.252	0.429
codec-P	P2.2	encode	retain	937904.4	1.013	0.257	0.445		1.735	0.259	0.461
codec-P	P4.1	decode	drop	262076.0	0.990	0.836	0.939	0.908	1.122	0.887	1.038
codec-P	P4.1	decode	retain	262076.0	0.990	0.854	0.934	0.901	1.093	0.968	1.061
codec-P	P5.2	decode	drop	1662.6	0.053	0.981	0.993	1.004	1.012	0.815	0.855
codec-P	P5.2	decode	retain	1662.6	0.053	0.986	1.018	1.016	1.033	0.989	0.956
codec-P	P5.3	encode	drop	46445.9	1.047	0.840	0.948		1.129	0.859	0.946
codec-P	P5.3	encode	retain	46445.9	1.047	0.998	0.967		0.968	0.988	0.969
codec-P	P2.4	encode	drop	585153.2	1.018	0.327	0.591		1.807	0.329	0.599
codec-P	P2.4	encode	retain	585153.2	1.018	0.308	0.588		1.906	0.311	0.593
codec-P	P2.2/wide	decode-read	drop	2498266.5	1.021	0.901	1.017	0.983	1.129	0.912	1.032
codec-P	P2.2/wide	decode-read	retain	2498266.5	1.021	0.895	1.012	0.978	1.131	0.932	1.039
codec-P	P3.1	decode-read	drop	31743.2	1.006	0.734	0.823	0.814	1.122	0.833	0.929
codec-P	P3.1	decode-read	retain	31743.2	1.006	0.764	0.818	0.813	1.070	0.850	0.905
codec-P	P1.2/latin1	decode	drop	616837.9	0.923	0.800	0.815	0.837	1.019	0.798	0.820
codec-P	P1.2/latin1	decode	retain	616837.9	0.923	0.805	0.826	0.827	1.027	0.789	0.810
codec-P	P1.2	encode	drop	300543.3	1.064	0.217	0.360		1.662	0.217	0.363
codec-P	P1.2	encode	retain	300543.3	1.064	0.235	0.375		1.591	0.237	0.378
codec-P	P5.4	decode-read	drop	317898.8	0.000	0.997	1.011	1.009	1.014	1.005	0.988
codec-P	P5.4	decode-read	retain	317898.8	0.000	1.028	1.014	1.009	0.986	0.980	1.002
codec-P	P1.1	decode-read	drop	1317.6	1.055	0.883	0.898	0.903	1.018	0.884	0.894
codec-P	P1.1	decode-read	retain	1317.6	1.055	0.867	0.903	0.909	1.041	0.874	0.908
codec-P	P2.1	decode	drop	2195.6	0.845	0.666	0.956	0.946	1.435	0.793	1.138
codec-P	P2.1	decode	retain	2195.6	0.845	0.671	0.959	0.954	1.428	0.792	1.163
codec-P	P1.3	decode	drop	8601.6	1.498	1.466	2.043	2.099	1.394	1.469	2.074
codec-P	P1.3	decode	retain	8601.6	1.498	1.466	2.019	2.205	1.377	1.451	2.030
codec-P	P4.1	encode	drop	120757.3	1.000	0.198	0.450		2.266	0.190	0.430
codec-P	P4.1	encode	retain	120757.3	1.000	0.228	0.440		1.930	0.230	0.446
codec-P	P3.1	decode	drop	25895.2	1.159	0.837	0.937	0.928	1.119	0.774	0.799
codec-P	P3.1	decode	retain	25895.2	1.159	0.866	0.929	0.932	1.072	0.749	0.794
codec-P	P1.2/wide	encode	drop	301260.7	1.086	0.218	0.373		1.709	0.220	0.371
codec-P	P1.2/wide	encode	retain	301260.7	1.086	0.238	0.385		1.615	0.240	0.388
codec-P	P2.1	encode	drop	1268.6	1.024	0.215	0.472		2.198	0.215	0.479
codec-P	P2.1	encode	retain	1268.6	1.024	0.245	0.490		1.997	0.248	0.485
codec-P	P6.1	encode	drop	343808.9	1.017	0.183	0.227		1.242	0.182	0.225
codec-P	P6.1	encode	retain	343808.9	1.017	0.200	0.226		1.132	0.194	0.222
codec-P	P2.5	decode-read	drop	50478.9	0.994	0.809	0.957	0.917	1.183	0.798	0.924
codec-P	P2.5	decode-read	retain	50478.9	0.994	0.822	0.962	0.932	1.171	0.804	0.934
codec-P	P1.2	decode-read	drop	415125.7	0.914	0.791	0.793	0.806	1.003	0.782	0.787
codec-P	P1.2	decode-read	retain	415125.7	0.914	0.786	0.796	0.808	1.014	0.775	0.784
codec-P	P4.1	decode-read	drop	273201.2	1.022	0.887	0.946	0.917	1.067	0.863	0.927
codec-P	P4.1	decode-read	retain	273201.2	1.022	0.899	0.937	0.899	1.043	0.905	0.931
codec-P	P5.3	decode	drop	40483.0	0.002	1.043	1.045	0.998	1.002	1.008	1.014
codec-P	P5.3	decode	retain	40483.0	0.002	1.034	0.994	1.006	0.961	1.006	1.010
codec-P	P1.3	encode	drop	5357.9	1.247	0.388	0.925		2.385	0.388	0.930
codec-P	P1.3	encode	retain	5357.9	1.247	0.410	1.027		2.504	0.402	1.029
codec-P	P1.2/latin1	encode	drop	296495.9	1.078	0.212	0.362		1.710	0.216	0.372
codec-P	P1.2/latin1	encode	retain	296495.9	1.078	0.231	0.383		1.658	0.237	0.389
codec-P	P5.2	encode	drop	1643.8	0.982	0.946	0.987		1.043	0.946	0.986
codec-P	P5.2	encode	retain	1643.8	0.982	0.983	0.960		0.976	0.983	0.958
codec-P	P1.2	decode	drop	396062.0	0.903	0.773	0.776	0.782	1.004	0.765	0.775
codec-P	P1.2	decode	retain	396062.0	0.903	0.767	0.774	0.779	1.008	0.757	0.780
codec-P	P4.1	decode-nodrop	drop	206677.6	1.012	0.852	0.926		1.086	0.834	0.887
codec-P	P4.1	decode-nodrop	retain	206677.6	1.012	0.864	0.919		1.064	0.839	0.877
