# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode	default	20	319.6	315.8	325.3	0.030	318.4	321.7
codec-P	P7.1	P7.1	ascii	armonik	decode	default	20	337.7	330.8	345.5	0.044	333.6	339.8
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	228.5	225.9	242.3	0.072	227.5	231.4
codec-P	P7.1	P7.1	ascii	core-ffi	decode	drop	20	307.3	306.0	317.6	0.038	306.9	308.9
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	drop	20	335.5	333.8	353.9	0.060	334.4	338.6
codec-P	P7.1	P7.1	ascii	core-native	decode	retain	20	238.1	231.5	245.5	0.059	236.1	240.8
codec-P	P7.1	P7.1	ascii	core-ffi	decode	retain	20	315.9	312.5	338.8	0.083	314.3	316.8
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	retain	20	347.4	345.3	363.7	0.053	346.8	347.7
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	7710.0	7391.3	9432.9	0.265	7670.9	8122.4
codec-P	P1.3	P1.3	ascii	armonik	decode-read	default	20	11310.1	10613.9	14179.6	0.315	11193.7	13592.8
codec-P	P1.3	P1.3	ascii	core-native	decode-read	drop	20	11435.1	10423.1	15706.7	0.462	10957.2	13322.7
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	drop	20	15143.9	14128.5	20135.4	0.397	14778.1	18345.0
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	drop	20	15824.4	14662.7	19859.2	0.328	15466.0	18805.6
codec-P	P1.3	P1.3	ascii	core-native	decode-read	retain	20	11171.8	10548.0	14309.0	0.337	10996.9	12235.8
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	retain	20	14896.2	14040.5	19767.5	0.384	14657.8	16616.9
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	retain	20	16586.0	15381.4	19869.1	0.271	16131.3	17923.3
codec-P	P2.2	P2.2	ascii	incumbent-prod	encode	default	20	937904.4	884790.2	1148585.4	0.281	906908.6	955318.5
codec-P	P2.2	P2.2	ascii	armonik	encode	default	20	950388.8	919026.0	1186658.1	0.282	934738.2	968806.7
codec-P	P2.2	P2.2	ascii	core-native	encode	drop	20	237592.3	223172.1	253566.8	0.128	232163.9	243757.3
codec-P	P2.2	P2.2	ascii	core-ffi	encode	drop	20	408338.2	379762.5	497157.9	0.287	397173.2	420400.2
codec-P	P2.2	P2.2	ascii	core-native	encode	retain	20	240625.6	229591.2	301739.7	0.300	236841.7	244092.5
codec-P	P2.2	P2.2	ascii	core-ffi	encode	retain	20	417521.4	408002.8	438086.1	0.072	414042.2	423113.3
codec-P	P4.1	P4.1	ascii	incumbent-prod	decode	default	20	262076.0	216546.5	269629.5	0.203	259107.1	266640.7
codec-P	P4.1	P4.1	ascii	armonik	decode	default	20	259539.9	228080.2	275238.3	0.182	257730.2	261312.3
codec-P	P4.1	P4.1	ascii	core-native	decode	drop	20	219167.2	192000.9	233381.5	0.189	216383.3	220934.9
codec-P	P4.1	P4.1	ascii	core-ffi	decode	drop	20	245998.5	224809.4	257812.8	0.134	244640.4	248509.5
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	drop	20	238053.1	222004.0	254782.5	0.138	235941.0	239621.9
codec-P	P4.1	P4.1	ascii	core-native	decode	retain	20	223916.3	209695.7	235114.3	0.114	221807.1	225439.2
codec-P	P4.1	P4.1	ascii	core-ffi	decode	retain	20	244756.0	229802.4	250720.6	0.085	243885.1	247679.9
