# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned-nounk	pinned	A	a	1	12	2389291.7	2142916.7	2508083.3	2712305.5	2606408.5	2972267.0
rpc-pinned-nounk	pinned	B	a	1	12	2048000.0	1744708.3	2157083.3	2296351.6	2038125.6	2485387.3
rpc-pinned-nounk	pinned	C-nounk	a	1	12	2173270.8	1885958.3	2257375.0	2465239.6	2161128.8	2740238.0
rpc-pinned-nounk	pinned	D-nounk	a	1	12	2169250.0	1938833.3	2280375.0	2553801.4	2222131.8	2905078.4
rpc-pinned-nounk	pinned	A	a	8	12	2961666.7	2433375.0	3331000.0	3002717.0	2460823.2	3663455.8
rpc-pinned-nounk	pinned	B	a	8	12	2812770.8	2332833.3	2999041.7	2857036.8	2345929.0	3170795.6
rpc-pinned-nounk	pinned	C-nounk	a	8	12	3215229.2	2583958.3	3371833.3	3295521.6	2633527.6	4175313.8
rpc-pinned-nounk	pinned	D-nounk	a	8	12	3210708.3	2504166.7	3378708.3	3465662.4	2512803.1	3666189.1
rpc-pinned-nounk	pinned	A	a	16	12	3219890.6	2631875.0	3429281.2	3316449.3	2672528.1	3923772.3
rpc-pinned-nounk	pinned	B	a	16	12	2913578.1	2449531.2	3379343.8	3002242.7	2632636.7	4213136.4
rpc-pinned-nounk	pinned	C-nounk	a	16	12	3411671.9	2953531.2	3853875.0	3619086.4	2964892.5	5552951.8
rpc-pinned-nounk	pinned	D-nounk	a	16	12	3332828.1	2728250.0	3515437.5	3488859.2	2747620.0	3874807.3
rpc-pinned-nounk	pinned	A	b	1	12	1861312.5	1806625.0	2006500.0	4422390.2	4081470.2	5153649.0
rpc-pinned-nounk	pinned	B	b	1	12	1240812.5	1172541.7	1271500.0	3727155.2	3569464.3	4540534.7
rpc-pinned-nounk	pinned	C-nounk	b	1	12	1079875.0	970208.3	1216583.3	3537667.9	3295783.2	4400779.0
rpc-pinned-nounk	pinned	D-nounk	b	1	12	1148083.3	1042666.7	1309333.3	3754862.6	3460279.2	4116113.0
