# opt_compare  before=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/baseline2  after=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s2-e1  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-P	P1.1	decode	drop	core-ffi-pull/inc	1.380	0.900	-34.8%	lower
codec-P	P1.1	decode	drop	core-ffi/core-native	1.545	1.070	-30.8%	lower
codec-P	P1.1	decode	drop	core-ffi/inc	1.390	0.886	-36.2%	lower
codec-P	P1.1	decode	retain	core-ffi-pull/inc	1.403	0.919	-34.5%	lower
codec-P	P1.1	decode	retain	core-ffi/core-native	1.588	1.100	-30.7%	lower
codec-P	P1.1	decode	retain	core-ffi/inc	1.396	0.895	-35.9%	lower
codec-P	P1.1	decode-read	drop	core-ffi-pull/inc	1.401	0.903	-35.6%	lower
codec-P	P1.1	decode-read	drop	core-ffi/core-native	1.477	1.053	-28.7%	lower
codec-P	P1.1	decode-read	drop	core-ffi/inc	1.378	0.886	-35.7%	lower
codec-P	P1.1	decode-read	retain	core-ffi-pull/inc	1.440	0.919	-36.2%	lower
codec-P	P1.1	decode-read	retain	core-ffi/core-native	1.574	1.084	-31.2%	lower
codec-P	P1.1	decode-read	retain	core-ffi/inc	1.433	0.910	-36.5%	lower
codec-P	P1.1	encode	drop	core-ffi/core-native	1.923	1.498	-22.1%	lower
codec-P	P1.1	encode	drop	core-native/inc	0.155	0.188	+21.0%	higher
codec-P	P1.1	encode	retain	core-ffi/core-native	1.626	1.363	-16.1%	lower
codec-P	P1.1	encode	retain	core-ffi/inc	0.313	0.293	-6.3%	lower
codec-P	P1.2	decode	drop	core-ffi-pull/inc	1.151	0.751	-34.8%	lower
codec-P	P1.2	decode	drop	core-ffi/core-native	1.437	1.039	-27.7%	lower
codec-P	P1.2	decode	drop	core-ffi/inc	1.141	0.758	-33.6%	lower
codec-P	P1.2	decode	retain	core-ffi-pull/inc	1.146	0.789	-31.1%	lower
codec-P	P1.2	decode	retain	core-ffi/core-native	1.457	1.115	-23.5%	lower
codec-P	P1.2	decode	retain	core-ffi/inc	1.137	0.796	-30.0%	lower
codec-P	P1.2	decode-nodrop	drop	core-ffi/core-native	1.569	1.044	-33.5%	lower
codec-P	P1.2	decode-nodrop	drop	core-ffi/inc	1.178	0.742	-37.1%	lower
codec-P	P1.2	decode-nodrop	retain	core-ffi/core-native	1.591	1.047	-34.2%	lower
codec-P	P1.2	decode-nodrop	retain	core-ffi/inc	1.179	0.742	-37.1%	lower
codec-P	P1.2	decode-read	drop	core-ffi-pull/inc	1.146	0.808	-29.5%	lower
codec-P	P1.2	decode-read	drop	core-ffi/core-native	1.407	1.023	-27.3%	lower
codec-P	P1.2	decode-read	drop	core-ffi/inc	1.139	0.794	-30.3%	lower
codec-P	P1.2	decode-read	retain	core-ffi-pull/inc	1.150	0.811	-29.5%	lower
codec-P	P1.2	decode-read	retain	core-ffi/core-native	1.423	1.018	-28.4%	lower
codec-P	P1.2	decode-read	retain	core-ffi/inc	1.138	0.788	-30.7%	lower
codec-P	P1.2	encode	drop	core-ffi/core-native	1.798	1.326	-26.2%	lower
codec-P	P1.2	encode	drop	core-native/inc	0.179	0.219	+22.8%	higher
codec-P	P1.2	encode	retain	core-ffi/core-native	1.524	1.278	-16.1%	lower
codec-P	P1.2	encode	retain	core-ffi/inc	0.337	0.303	-10.1%	lower
codec-P	P1.2	encode	retain	core-native/inc	0.221	0.237	+7.2%	higher
codec-P	P1.2/latin1	decode	drop	core-ffi-pull/inc	1.264	0.842	-33.4%	lower
codec-P	P1.2/latin1	decode	drop	core-ffi/core-native	1.523	1.037	-31.9%	lower
codec-P	P1.2/latin1	decode	drop	core-ffi/inc	1.249	0.825	-33.9%	lower
codec-P	P1.2/latin1	decode	retain	core-ffi-pull/inc	1.262	0.847	-32.9%	lower
codec-P	P1.2/latin1	decode	retain	core-ffi/core-native	1.539	1.036	-32.7%	lower
codec-P	P1.2/latin1	decode	retain	core-ffi/inc	1.250	0.830	-33.6%	lower
