# opt_compare  before=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s1-d1  after=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s2-e1  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-P	P1.1	encode	drop	core-ffi/core-native	1.759	1.498	-14.8%	lower
codec-P	P1.1	encode	drop	core-ffi/inc	0.331	0.281	-15.1%	lower
codec-P	P1.1	encode	retain	core-ffi/core-native	1.665	1.363	-18.1%	lower
codec-P	P1.1	encode	retain	core-ffi/inc	0.352	0.293	-16.8%	lower
codec-P	P1.2	encode	drop	core-ffi/core-native	1.662	1.326	-20.2%	lower
codec-P	P1.2	encode	drop	core-ffi/inc	0.360	0.291	-19.2%	lower
codec-P	P1.2	encode	retain	core-ffi/core-native	1.591	1.278	-19.6%	lower
codec-P	P1.2	encode	retain	core-ffi/inc	0.375	0.303	-19.2%	lower
codec-P	P1.2/latin1	encode	drop	core-ffi/core-native	1.710	1.397	-18.3%	lower
codec-P	P1.2/latin1	encode	drop	core-ffi/inc	0.362	0.294	-18.9%	lower
codec-P	P1.2/latin1	encode	retain	core-ffi/core-native	1.658	1.314	-20.7%	lower
codec-P	P1.2/latin1	encode	retain	core-ffi/inc	0.383	0.304	-20.6%	lower
codec-P	P1.2/wide	encode	drop	core-ffi/core-native	1.709	1.329	-22.2%	lower
codec-P	P1.2/wide	encode	drop	core-ffi/inc	0.373	0.296	-20.5%	lower
codec-P	P1.2/wide	encode	retain	core-ffi/core-native	1.615	1.395	-13.6%	lower
codec-P	P1.2/wide	encode	retain	core-ffi/inc	0.385	0.312	-18.9%	lower
codec-P	P1.2/wide	encode	retain	core-native/inc	0.238	0.224	-6.1%	lower
codec-P	P2.1	encode	drop	core-ffi/core-native	2.198	1.771	-19.4%	lower
codec-P	P2.1	encode	drop	core-ffi/inc	0.472	0.375	-20.6%	lower
codec-P	P2.1	encode	retain	core-ffi/core-native	1.997	1.597	-20.0%	lower
codec-P	P2.1	encode	retain	core-ffi/inc	0.490	0.393	-19.7%	lower
codec-P	P2.2	encode	drop	core-ffi/core-native	1.719	1.448	-15.8%	lower
codec-P	P2.2	encode	drop	core-ffi/inc	0.435	0.370	-15.0%	lower
codec-P	P2.2	encode	retain	core-ffi/core-native	1.735	1.442	-16.9%	lower
codec-P	P2.2	encode	retain	core-ffi/inc	0.445	0.385	-13.4%	lower
codec-P	P2.2/latin1	encode	drop	core-ffi/core-native	1.639	1.401	-14.5%	lower
codec-P	P2.2/latin1	encode	drop	core-ffi/inc	0.426	0.363	-14.8%	lower
codec-P	P2.2/latin1	encode	retain	core-ffi/core-native	1.689	1.431	-15.3%	lower
codec-P	P2.2/latin1	encode	retain	core-ffi/inc	0.443	0.379	-14.4%	lower
codec-P	P2.2/wide	encode	drop	core-ffi/core-native	1.540	1.261	-18.1%	lower
codec-P	P2.2/wide	encode	retain	core-ffi/core-native	1.562	1.316	-15.8%	lower
codec-P	P2.2/wide	encode	retain	core-ffi/inc	0.437	0.377	-13.7%	lower
codec-P	P2.3	encode	drop	core-ffi/core-native	2.022	1.532	-24.3%	lower
codec-P	P2.3	encode	drop	core-ffi/inc	0.538	0.430	-20.1%	lower
codec-P	P2.3	encode	retain	core-ffi/core-native	2.021	1.507	-25.4%	lower
codec-P	P2.3	encode	retain	core-ffi/inc	0.545	0.430	-21.1%	lower
codec-P	P2.4	encode	drop	core-ffi/core-native	1.807	1.359	-24.8%	lower
codec-P	P2.4	encode	drop	core-ffi/inc	0.591	0.472	-20.1%	lower
codec-P	P2.4	encode	retain	core-ffi/core-native	1.906	1.450	-24.0%	lower
codec-P	P2.4	encode	retain	core-ffi/inc	0.588	0.478	-18.6%	lower
codec-P	P2.5	encode	drop	core-ffi/core-native	2.044	1.629	-20.3%	lower
codec-P	P2.5	encode	drop	core-ffi/inc	0.450	0.364	-19.1%	lower
codec-P	P2.5	encode	retain	core-ffi/core-native	1.980	1.597	-19.4%	lower
codec-P	P2.5	encode	retain	core-ffi/inc	0.470	0.386	-17.9%	lower
codec-P	P3.1	encode	drop	core-ffi/core-native	2.165	1.796	-17.1%	lower
codec-P	P3.1	encode	drop	core-ffi/inc	0.396	0.338	-14.8%	lower
codec-P	P3.1	encode	retain	core-ffi/core-native	1.972	1.610	-18.3%	lower
codec-P	P3.1	encode	retain	core-ffi/inc	0.403	0.345	-14.2%	lower
codec-P	P4.1	encode	drop	core-ffi/core-native	2.266	1.800	-20.6%	lower
codec-P	P4.1	encode	drop	core-ffi/inc	0.450	0.352	-21.7%	lower
codec-P	P4.1	encode	retain	core-ffi/core-native	1.930	1.580	-18.1%	lower
codec-P	P4.1	encode	retain	core-ffi/inc	0.440	0.365	-17.1%	lower
codec-P	P5.1	encode	drop	core-ffi/core-native	2.212	1.872	-15.4%	lower
codec-P	P5.1	encode	drop	core-ffi/inc	0.570	0.466	-18.3%	lower
codec-P	P5.1	encode	retain	core-ffi/core-native	1.808	1.523	-15.8%	lower
codec-P	P5.1	encode	retain	core-ffi/inc	0.577	0.478	-17.1%	lower
codec-P	P5.3	encode	drop	core-ffi/core-native	1.129	0.918	-18.7%	lower
codec-P	P5.3	encode	drop	core-native/inc	0.840	1.032	+22.9%	higher
codec-P	P6.1	decode-nodrop	drop	core-ffi/core-native	0.910	1.091	+19.9%	higher
codec-P	P6.1	decode-nodrop	drop	core-ffi/inc	0.596	0.662	+11.1%	higher
codec-P	P6.1	decode-nodrop	drop	core-native/inc	0.654	0.607	-7.3%	lower
codec-P	P6.1	decode-nodrop	retain	core-ffi/core-native	0.913	1.106	+21.1%	higher
codec-P	P6.1	decode-nodrop	retain	core-ffi/inc	0.595	0.663	+11.4%	higher
codec-P	P6.1	decode-nodrop	retain	core-native/inc	0.651	0.599	-8.0%	lower
codec-U	U-deep-all	decode	drop	core-ffi/core-native	1.256	1.578	+25.7%	higher
codec-U	U-deep-all	decode	drop	core-ffi/inc	0.964	1.190	+23.5%	higher
codec-U	U-deep-all	decode	retain	core-ffi/core-native	1.373	1.640	+19.5%	higher
codec-U	U-deep-all	decode	retain	core-ffi/inc	1.172	1.424	+21.5%	higher
codec-U	U-deep-all	decode-read	drop	core-ffi/core-native	1.264	1.568	+24.0%	higher
codec-U	U-deep-all	decode-read	drop	core-ffi/inc	0.992	1.219	+22.8%	higher
codec-U	U-deep-all	decode-read	retain	core-ffi/core-native	1.352	1.743	+28.9%	higher
codec-U	U-deep-all	decode-read	retain	core-ffi/inc	1.176	1.506	+28.1%	higher
codec-U	U-deep-all	encode	retain	core-ffi/core-native	1.933	1.593	-17.6%	lower
codec-U	U-deep-all	encode	retain	core-ffi/inc	0.467	0.393	-15.8%	lower
codec-U	U-deep-u-fixed32	decode	drop	core-ffi/core-native	1.244	1.554	+25.0%	higher
codec-U	U-deep-u-fixed32	decode	drop	core-ffi/inc	0.955	1.209	+26.6%	higher
codec-U	U-deep-u-fixed32	decode	retain	core-ffi/core-native	1.271	1.670	+31.4%	higher
codec-U	U-deep-u-fixed32	decode	retain	core-ffi/inc	1.048	1.376	+31.3%	higher
codec-U	U-deep-u-fixed32	decode-read	drop	core-ffi/core-native	1.311	1.618	+23.4%	higher
codec-U	U-deep-u-fixed32	decode-read	drop	core-ffi/inc	1.023	1.263	+23.6%	higher
codec-U	U-deep-u-fixed32	decode-read	retain	core-ffi/core-native	1.372	1.779	+29.7%	higher
