# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P7.1	decode	drop	318.8	1.004	0.710	0.962	1.065	1.355	0.703	0.965
codec-P	P7.1	decode	retain	318.8	1.004	0.742	0.989	1.088	1.332	0.773	0.981
codec-P	P1.3	decode-read	drop	9349.4	1.451	1.421	1.933	2.006	1.361	1.428	1.939
codec-P	P1.3	decode-read	retain	9349.4	1.451	1.429	1.917	2.108	1.341	1.431	1.928
codec-P	P2.2	encode	drop	918932.8	1.026	0.256	0.370		1.448	0.232	0.374
codec-P	P2.2	encode	retain	918932.8	1.026	0.267	0.385		1.442	0.268	0.388
codec-P	P4.1	decode	drop	260578.3	0.992	0.825	0.933	0.894	1.131	0.827	0.935
codec-P	P4.1	decode	retain	260578.3	0.992	0.844	0.931	0.894	1.103	0.848	0.935
codec-P	P5.2	decode	drop	1666.3	0.054	0.993	0.996	1.005	1.004	0.993	0.998
codec-P	P5.2	decode	retain	1666.3	0.054	0.987	1.012	1.017	1.025	0.988	1.014
codec-P	P5.3	encode	drop	48450.5	0.900	1.032	0.947		0.918	1.034	0.896
codec-P	P5.3	encode	retain	48450.5	0.900	1.005	0.962		0.957	1.034	0.937
codec-P	P2.4	encode	drop	582971.1	1.041	0.347	0.472		1.359	0.345	0.464
codec-P	P2.4	encode	retain	582971.1	1.041	0.330	0.478		1.450	0.325	0.465
codec-P	P2.2/wide	decode-read	drop	2569849.5	1.009	0.905	1.009	0.976	1.114	0.906	0.969
codec-P	P2.2/wide	decode-read	retain	2569849.5	1.009	0.917	1.006	0.976	1.097	0.914	0.992
codec-P	P3.1	decode-read	drop	32141.6	0.983	0.722	0.795	0.813	1.101	0.715	0.768
codec-P	P3.1	decode-read	retain	32141.6	0.983	0.746	0.789	0.813	1.057	0.736	0.777
codec-P	P1.2/latin1	decode	drop	611331.7	0.928	0.796	0.825	0.842	1.037	0.800	0.834
codec-P	P1.2/latin1	decode	retain	611331.7	0.928	0.801	0.830	0.847	1.036	0.801	0.826
codec-P	P1.2	encode	drop	298475.2	1.076	0.219	0.291		1.326	0.219	0.289
codec-P	P1.2	encode	retain	298475.2	1.076	0.237	0.303		1.278	0.235	0.296
codec-P	P5.4	decode-read	drop	343709.1	0.000	1.008	0.993	0.998	0.985	1.023	1.033
codec-P	P5.4	decode-read	retain	343709.1	0.000	0.995	0.999	1.000	1.004	1.005	0.977
codec-P	P1.1	decode-read	drop	1315.5	1.047	0.841	0.886	0.903	1.053	0.849	0.919
codec-P	P1.1	decode-read	retain	1315.5	1.047	0.840	0.910	0.919	1.084	0.837	0.918
codec-P	P2.1	decode	drop	2213.9	0.852	0.670	0.953	0.947	1.422	0.667	0.956
codec-P	P2.1	decode	retain	2213.9	0.852	0.680	0.987	0.973	1.452	0.665	0.983
codec-P	P1.3	decode	drop	8486.9	1.510	1.474	2.042	2.102	1.385	1.481	2.035
codec-P	P1.3	decode	retain	8486.9	1.510	1.482	2.023	2.210	1.365	1.489	2.056
codec-P	P4.1	encode	drop	132077.0	1.001	0.196	0.352		1.800	0.194	0.342
codec-P	P4.1	encode	retain	132077.0	1.001	0.231	0.365		1.580	0.232	0.361
codec-P	P3.1	decode	drop	25531.9	1.164	0.835	0.908	0.931	1.087	0.837	0.883
codec-P	P3.1	decode	retain	25531.9	1.164	0.860	0.908	0.935	1.056	0.860	0.911
codec-P	P1.2/wide	encode	drop	298384.7	1.088	0.223	0.296		1.329	0.219	0.289
codec-P	P1.2/wide	encode	retain	298384.7	1.088	0.224	0.312		1.395	0.217	0.302
codec-P	P2.1	encode	drop	1269.0	1.020	0.212	0.375		1.771	0.212	0.374
codec-P	P2.1	encode	retain	1269.0	1.020	0.246	0.393		1.597	0.245	0.391
codec-P	P6.1	encode	drop	385505.5	1.013	0.183	0.215		1.176	0.181	0.214
codec-P	P6.1	encode	retain	385505.5	1.013	0.194	0.215		1.106	0.194	0.216
codec-P	P2.5	decode-read	drop	43862.6	0.965	0.804	0.890	0.911	1.107	0.805	0.956
codec-P	P2.5	decode-read	retain	43862.6	0.965	0.812	0.945	0.925	1.164	0.819	0.953
codec-P	P1.2	decode-read	drop	421909.1	0.894	0.777	0.794	0.808	1.023	0.779	0.833
codec-P	P1.2	decode-read	retain	421909.1	0.894	0.774	0.788	0.811	1.018	0.773	0.825
codec-P	P4.1	decode-read	drop	256076.6	1.062	0.919	1.002	0.899	1.091	0.855	0.919
codec-P	P4.1	decode-read	retain	256076.6	1.062	0.848	0.891	0.940	1.051	0.861	0.904
codec-P	P5.3	decode	drop	41645.4	0.002	0.960	0.984	1.006	1.025	0.981	0.985
codec-P	P5.3	decode	retain	41645.4	0.002	0.986	1.038	1.001	1.052	0.994	1.007
codec-P	P1.3	encode	drop	5375.6	1.264	0.388	0.930		2.399	0.390	0.904
codec-P	P1.3	encode	retain	5375.6	1.264	0.424	1.030		2.431	0.420	1.024
codec-P	P1.2/latin1	encode	drop	296629.5	1.079	0.210	0.294		1.397	0.208	0.285
codec-P	P1.2/latin1	encode	retain	296629.5	1.079	0.231	0.304		1.314	0.224	0.295
codec-P	P5.2	encode	drop	1660.8	0.979	0.939	0.934		0.995	0.942	0.937
codec-P	P5.2	encode	retain	1660.8	0.979	0.954	0.941		0.987	0.956	0.944
codec-P	P1.2	decode	drop	395393.5	0.866	0.730	0.758	0.751	1.039	0.751	0.753
codec-P	P1.2	decode	retain	395393.5	0.866	0.714	0.796	0.789	1.115	0.724	0.796
codec-P	P4.1	decode-nodrop	drop	210645.5	1.007	0.828	0.916		1.106	0.832	0.934
