# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned-nounk	pinned	A	a	1	12	2372312.5	2162958.3	2579416.7	2805220.9	2515115.5	3096965.9
rpc-pinned-nounk	pinned	B	a	1	12	2030458.3	1798708.3	2149333.3	2319012.9	2064561.0	2733376.0
rpc-pinned-nounk	pinned	C-nounk	a	1	12	2213229.2	1941750.0	2475583.3	2514482.0	2150111.9	2918138.5
rpc-pinned-nounk	pinned	D-nounk	a	1	12	2246208.3	2067125.0	2393416.7	2645858.5	2283037.2	2914629.1
rpc-pinned-nounk	pinned	A	a	8	12	2863479.2	2518416.7	3067791.7	2914283.1	2602386.1	3702026.2
rpc-pinned-nounk	pinned	B	a	8	12	2704645.8	2500916.7	2863500.0	2763635.1	2553248.7	2985319.3
rpc-pinned-nounk	pinned	C-nounk	a	8	12	3047520.8	2920583.3	3368750.0	3120783.5	2941392.2	4049538.3
rpc-pinned-nounk	pinned	D-nounk	a	8	12	3048250.0	2865083.3	4156375.0	3097224.0	2896359.8	4834412.8
rpc-pinned-nounk	pinned	A	a	16	12	3118062.5	2728937.5	3287812.5	3242685.0	2761295.1	3974605.5
rpc-pinned-nounk	pinned	B	a	16	12	2928031.2	2783250.0	3127968.8	3082893.4	2872050.3	3521819.8
rpc-pinned-nounk	pinned	C-nounk	a	16	12	3348484.4	2935031.2	3489750.0	3470980.5	3014210.9	3772155.6
rpc-pinned-nounk	pinned	D-nounk	a	16	12	3338265.6	2851468.8	3536781.2	3462008.1	2873140.5	3781210.9
rpc-pinned-nounk	pinned	A	b	1	12	1778583.3	1584875.0	1857625.0	3724888.2	3159692.0	4220449.8
rpc-pinned-nounk	pinned	B	b	1	12	1226958.3	1159041.7	1453458.3	3088560.2	2896744.5	3897741.2
rpc-pinned-nounk	pinned	C-nounk	b	1	12	997062.5	899541.7	1069166.7	2880218.6	2526081.7	3926959.8
rpc-pinned-nounk	pinned	D-nounk	b	1	12	1018937.5	937583.3	1131000.0	2857482.7	2547634.0	3073355.4
rpc-pinned-nounk	pinned	A	b	8	12	1801979.2	1645750.0	2183708.3	2152247.1	1828719.3	2720844.6
rpc-pinned-nounk	pinned	B	b	8	12	1235895.8	1166375.0	1380666.7	2065555.6	1671242.9	3180997.2
rpc-pinned-nounk	pinned	C-nounk	b	8	12	986270.8	934250.0	1145291.7	1852062.2	1586800.1	2218221.7
rpc-pinned-nounk	pinned	D-nounk	b	8	12	1045395.8	949791.7	1153791.7	1917617.2	1435509.2	2521833.5
rpc-pinned-nounk	pinned	A	b	16	12	2207000.0	1739843.8	2467656.2	2347171.0	1918812.6	2648482.3
rpc-pinned-nounk	pinned	B	b	16	12	1285906.2	1175468.8	1503625.0	2218404.0	1852739.9	2594052.1
rpc-pinned-nounk	pinned	C-nounk	b	16	12	1083015.6	946906.2	1207968.8	1995255.2	1649671.7	2507226.1
rpc-pinned-nounk	pinned	D-nounk	b	16	12	1161437.5	1000593.8	1347531.2	2105756.7	1793271.9	2633081.1
rpc-pinned	pinned	A	a	1	12	2428395.8	2296458.3	2513458.3	2841957.0	2589661.0	3259640.1
rpc-pinned	pinned	B	a	1	12	2118750.0	1947416.7	2864708.3	2492161.9	2151352.2	3384638.5
rpc-pinned	pinned	C-retain	a	1	12	2220979.2	1990541.7	2387375.0	2617581.1	2243631.4	3759794.2
rpc-pinned	pinned	C-drop	a	1	12	2242604.2	2105875.0	2946333.3	2609388.7	2388541.5	3381105.9
rpc-pinned	pinned	D-retain	a	1	12	2224541.7	2009208.3	2349250.0	2586803.7	2338593.6	2963313.6
rpc-pinned	pinned	D-drop	a	1	12	2180375.0	2067791.7	3057083.3	2545678.9	2313919.2	4055591.9
rpc-pinned	pinned	A	a	8	12	2687979.2	2391208.3	2811791.7	2742585.8	2583846.0	2930633.4
rpc-pinned	pinned	B	a	8	12	2740604.2	2300208.3	2864250.0	2767089.1	2347861.0	3106123.1
rpc-pinned	pinned	C-retain	a	8	12	2667333.3	2270791.7	2810041.7	2700270.3	2315978.7	3261832.2
rpc-pinned	pinned	C-drop	a	8	12	2938354.2	2614125.0	3331083.3	3100879.4	2751410.3	3566224.7
rpc-pinned	pinned	D-retain	a	8	12	2631187.5	2292291.7	2907625.0	2691145.2	2308637.4	3035649.8
rpc-pinned	pinned	D-drop	a	8	12	2988958.3	2785916.7	3192208.3	3102220.3	2807299.3	3428031.0
rpc-pinned	pinned	A	a	16	12	2997843.8	2621843.8	3093125.0	3064453.6	2694931.5	3567283.5
rpc-pinned	pinned	B	a	16	12	2826750.0	2491281.2	3008625.0	2946277.9	2806055.4	3383956.9
rpc-pinned	pinned	C-retain	a	16	12	2957968.8	2613312.5	3218031.2	3176910.8	2644412.4	4085336.2
rpc-pinned	pinned	C-drop	a	16	12	3121625.0	2881531.2	3338718.8	3223000.6	2948931.7	4298414.7
rpc-pinned	pinned	D-retain	a	16	12	2902828.1	2657500.0	3153000.0	2967349.6	2752758.8	3455129.5
rpc-pinned	pinned	D-drop	a	16	12	3123656.2	2810437.5	3248718.8	3257580.5	2850505.6	3713815.0
rpc-pinned	pinned	A	b	1	12	1947916.7	1815750.0	2106750.0	3920176.1	3732666.2	4170266.5
rpc-pinned	pinned	B	b	1	12	1274270.8	1099208.3	1351416.7	3198740.9	2641379.2	3415714.3
rpc-pinned	pinned	C-retain	b	1	12	978479.2	866791.7	1042500.0	2889562.7	2412531.3	3163165.8
rpc-pinned	pinned	C-drop	b	1	12	1019145.8	907041.7	1113500.0	2895932.6	2546070.5	3285846.0
rpc-pinned	pinned	D-retain	b	1	12	1060041.7	930166.7	1142833.3	3030854.5	2529471.2	3318566.1
rpc-pinned	pinned	D-drop	b	1	12	1049354.2	892333.3	1072541.7	2951000.7	2477029.0	3484747.3
rpc-pinned	pinned	A	b	8	12	1944291.7	1837375.0	2386500.0	2179117.7	1963144.9	2600607.7
rpc-pinned	pinned	B	b	8	12	1232625.0	1124583.3	1405458.3	1879101.3	1596564.4	2056018.0
rpc-pinned	pinned	C-retain	b	8	12	952625.0	920750.0	1146416.7	1872224.2	1410743.2	2173727.5
rpc-pinned	pinned	C-drop	b	8	12	1053062.5	912750.0	1189083.3	1810322.2	1663720.2	2313361.0
rpc-pinned	pinned	D-retain	b	8	12	993958.3	912000.0	1154166.7	1897632.8	1595024.1	2223217.7
rpc-pinned	pinned	D-drop	b	8	12	1017354.2	915500.0	1331166.7	1844037.8	1590593.6	2024821.2
rpc-pinned	pinned	A	b	16	12	2188296.9	2046218.8	2563656.2	2479241.7	2154912.6	2749586.7
rpc-pinned	pinned	B	b	16	12	1327609.4	1216406.2	1629375.0	2234384.5	1902946.6	2398071.2
rpc-pinned	pinned	C-retain	b	16	12	1134531.2	966875.0	1237968.8	2055309.8	1818120.3	2345497.5
rpc-pinned	pinned	C-drop	b	16	12	1260843.8	1024593.8	1433000.0	1953740.2	1718991.4	2544579.9
rpc-pinned	pinned	D-retain	b	16	12	1168984.4	1073375.0	1341187.5	1983512.5	1666600.4	2211013.3
rpc-pinned	pinned	D-drop	b	16	12	1094921.9	1001375.0	1178812.5	1937193.7	1697750.2	2295656.1
rpc-shipped-nounk	shipped	A	a	1	12	2346791.7	1961208.3	2560083.3	2663205.6	2494127.7	3001092.1
rpc-shipped-nounk	shipped	B	a	1	12	2040520.8	1946916.7	2097583.3	2325074.5	2215831.5	2475563.0
rpc-shipped-nounk	shipped	C-nounk	a	1	12	2232541.7	2052666.7	2424416.7	2648952.2	2294451.4	2822525.2
rpc-shipped-nounk	shipped	D-nounk	a	1	12	2217291.7	1920041.7	2380333.3	2546426.3	2183351.0	4611629.9
rpc-shipped-nounk	shipped	A	a	8	12	2826187.5	2409208.3	3026708.3	2873558.2	2420842.9	3584481.5
rpc-shipped-nounk	shipped	B	a	8	12	2759208.3	2286083.3	3034208.3	2814854.8	2372359.9	3994294.2
rpc-shipped-nounk	shipped	C-nounk	a	8	12	2989541.7	2471958.3	3165458.3	3027683.9	2513248.2	3227520.9
rpc-shipped-nounk	shipped	D-nounk	a	8	12	3054125.0	2658125.0	3337958.3	3086669.5	2666618.1	3506366.5
rpc-shipped-nounk	shipped	A	a	16	12	3108000.0	2499218.8	3259500.0	3203176.4	2572893.6	3579453.8
rpc-shipped-nounk	shipped	B	a	16	12	2754718.8	2335687.5	2994031.2	2886823.8	2362920.7	3364149.2
rpc-shipped-nounk	shipped	C-nounk	a	16	12	3291593.8	2678781.2	3541375.0	3390756.1	2728621.6	3662689.4
rpc-shipped-nounk	shipped	D-nounk	a	16	12	3311078.1	2660343.8	3489968.8	3399028.9	2742839.6	3754415.9
rpc-shipped-nounk	shipped	A	b	1	12	1757958.3	1582583.3	1868125.0	3824407.3	3234090.5	4526825.4
rpc-shipped-nounk	shipped	B	b	1	12	1219812.5	1147958.3	1303916.7	3215587.8	2714296.6	3740821.0
rpc-shipped-nounk	shipped	C-nounk	b	1	12	998145.8	933791.7	1076458.3	2999428.8	2789237.8	3365298.9
rpc-shipped-nounk	shipped	D-nounk	b	1	12	1072041.7	1012958.3	1136500.0	3127311.4	2914108.6	3432340.9
rpc-shipped-nounk	shipped	A	b	8	12	1966666.7	1757000.0	2494375.0	2392007.5	2219837.2	2879282.2
rpc-shipped-nounk	shipped	B	b	8	12	1306541.7	1199083.3	1501375.0	2369942.3	1925597.4	2875247.5
rpc-shipped-nounk	shipped	C-nounk	b	8	12	1070458.3	987625.0	1408750.0	2247534.2	1883510.9	2659008.6
rpc-shipped-nounk	shipped	D-nounk	b	8	12	1142083.3	1008875.0	1280583.3	2170442.2	1909745.3	2909932.6
rpc-shipped-nounk	shipped	A	b	16	12	2063171.9	1865625.0	2463125.0	2569933.8	2177576.8	3114767.5
rpc-shipped-nounk	shipped	B	b	16	12	1522343.8	1338156.2	1593906.2	2563667.4	2290222.1	2720921.2
rpc-shipped-nounk	shipped	C-nounk	b	16	12	1185187.5	1122937.5	1328187.5	2537722.6	2215777.4	2940719.5
rpc-shipped-nounk	shipped	D-nounk	b	16	12	1229687.5	1130687.5	1420250.0	2414723.9	2125814.6	2754893.5
rpc-shipped	shipped	A	a	1	12	2335395.8	2001291.7	2708666.7	2605713.3	2500193.2	3899521.2
rpc-shipped	shipped	B	a	1	12	2101875.0	1725000.0	2439791.7	2413795.2	1967938.2	2924818.7
rpc-shipped	shipped	C-retain	a	1	12	2184395.8	1904958.3	2362500.0	2504181.2	2385622.8	2749577.2
