# opt_compare  before=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s2-e1  after=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s3-e2  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-P	P1.1	decode-read	drop	core-native/inc	0.841	0.908	+8.0%	higher
codec-P	P1.1	encode	drop	core-ffi/inc	0.281	0.253	-10.1%	lower
codec-P	P1.1	encode	drop	core-native/inc	0.188	0.159	-15.1%	lower
codec-P	P1.1	encode	retain	core-ffi/core-native	1.363	1.248	-8.4%	lower
codec-P	P1.1	encode	retain	core-ffi/inc	0.293	0.245	-16.4%	lower
codec-P	P1.1	encode	retain	core-native/inc	0.215	0.196	-8.7%	lower
codec-P	P1.2	encode	drop	core-ffi/inc	0.291	0.259	-11.1%	lower
codec-P	P1.2	encode	drop	core-native/inc	0.219	0.185	-15.8%	lower
codec-P	P1.2	encode	retain	core-ffi/inc	0.303	0.267	-11.7%	lower
codec-P	P1.2	encode	retain	core-native/inc	0.237	0.217	-8.3%	lower
codec-P	P1.2/latin1	encode	drop	core-ffi/inc	0.294	0.262	-10.9%	lower
codec-P	P1.2/latin1	encode	drop	core-native/inc	0.210	0.181	-13.8%	lower
codec-P	P1.2/latin1	encode	retain	core-ffi/inc	0.304	0.269	-11.3%	lower
codec-P	P1.2/latin1	encode	retain	core-native/inc	0.231	0.206	-10.9%	lower
codec-P	P1.2/wide	encode	drop	core-ffi/inc	0.296	0.264	-11.0%	lower
codec-P	P1.2/wide	encode	drop	core-native/inc	0.223	0.196	-12.0%	lower
codec-P	P1.2/wide	encode	retain	core-ffi/core-native	1.395	1.240	-11.1%	lower
codec-P	P1.2/wide	encode	retain	core-ffi/inc	0.312	0.275	-12.0%	lower
codec-P	P1.3	encode	drop	core-ffi/core-native	2.399	2.080	-13.3%	lower
codec-P	P1.3	encode	drop	core-ffi/inc	0.930	0.636	-31.6%	lower
codec-P	P1.3	encode	drop	core-native/inc	0.388	0.306	-21.1%	lower
codec-P	P1.3	encode	retain	core-ffi/core-native	2.431	1.675	-31.1%	lower
codec-P	P1.3	encode	retain	core-ffi/inc	1.030	0.650	-36.9%	lower
codec-P	P1.3	encode	retain	core-native/inc	0.424	0.388	-8.4%	lower
codec-P	P2.1	encode	drop	core-ffi/inc	0.375	0.327	-12.9%	lower
codec-P	P2.1	encode	drop	core-native/inc	0.212	0.185	-12.5%	lower
codec-P	P2.1	encode	retain	core-ffi/inc	0.393	0.337	-14.2%	lower
codec-P	P2.1	encode	retain	core-native/inc	0.246	0.215	-12.8%	lower
codec-P	P2.2	decode-nodrop	retain	core-native/inc	0.813	0.881	+8.4%	higher
codec-P	P2.2	encode	drop	core-ffi/inc	0.370	0.324	-12.4%	lower
codec-P	P2.2	encode	drop	core-native/inc	0.256	0.222	-13.3%	lower
codec-P	P2.2	encode	retain	core-ffi/inc	0.385	0.332	-13.7%	lower
codec-P	P2.2	encode	retain	core-native/inc	0.267	0.230	-14.1%	lower
codec-P	P2.2/wide	encode	drop	core-ffi/inc	0.367	0.320	-12.9%	lower
codec-P	P2.2/wide	encode	drop	core-native/inc	0.291	0.238	-18.4%	lower
codec-P	P2.2/wide	encode	retain	core-native/inc	0.287	0.252	-12.1%	lower
codec-P	P2.4	encode	drop	core-ffi/inc	0.472	0.383	-18.9%	lower
codec-P	P2.4	encode	drop	core-native/inc	0.347	0.283	-18.4%	lower
