# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode	default	20	326.0	313.2	383.1	0.214	321.3	334.4
codec-P	P7.1	P7.1	ascii	armonik	decode	default	20	326.2	311.1	351.1	0.123	321.8	328.3
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	236.7	225.2	247.7	0.095	234.8	239.6
codec-P	P7.1	P7.1	ascii	core-ffi	decode	drop	20	303.9	288.4	327.6	0.129	301.5	307.4
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	drop	20	328.4	316.5	360.1	0.133	326.5	330.1
codec-P	P7.1	P7.1	ascii	core-native	decode	retain	20	231.8	222.9	256.2	0.144	229.2	233.2
codec-P	P7.1	P7.1	ascii	core-ffi	decode	retain	20	314.9	303.0	339.5	0.116	313.3	319.6
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	retain	20	347.5	335.7	373.5	0.109	344.2	350.9
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	9368.7	9276.3	9698.0	0.045	9315.0	9475.0
codec-P	P1.3	P1.3	ascii	armonik	decode-read	default	20	13650.6	13485.9	14034.8	0.040	13530.1	13711.8
codec-P	P1.3	P1.3	ascii	core-native	decode-read	drop	20	13371.4	13216.0	14432.2	0.091	13306.0	13487.4
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	drop	20	18128.7	18049.4	19389.7	0.074	18102.9	18187.7
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	drop	20	18834.9	18677.7	19600.4	0.049	18756.7	18982.9
codec-P	P1.3	P1.3	ascii	core-native	decode-read	retain	20	13457.6	13306.5	13854.5	0.041	13382.9	13625.0
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	retain	20	17944.0	17728.1	18370.7	0.036	17892.7	18011.7
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	retain	20	19686.4	19562.3	20040.9	0.024	19633.9	19869.7
codec-P	P2.2	P2.2	ascii	incumbent-prod	encode	default	20	997155.1	952038.9	1053372.9	0.102	987342.8	1008791.1
codec-P	P2.2	P2.2	ascii	armonik	encode	default	20	1014226.4	942500.2	1055899.7	0.112	1001066.4	1028010.6
codec-P	P2.2	P2.2	ascii	core-native	encode	drop	20	221038.8	210713.1	250681.8	0.181	217685.7	230797.4
codec-P	P2.2	P2.2	ascii	core-ffi	encode	drop	20	323341.3	303064.5	364451.6	0.190	321127.9	330064.9
codec-P	P2.2	P2.2	ascii	core-native	encode	retain	20	228879.6	218274.8	245508.9	0.119	227470.8	234417.4
codec-P	P2.2	P2.2	ascii	core-ffi	encode	retain	20	331535.7	310712.7	367751.0	0.172	328464.2	339922.4
codec-P	P4.1	P4.1	ascii	incumbent-prod	decode	default	20	257528.4	253953.6	340650.9	0.337	256026.0	259075.6
codec-P	P4.1	P4.1	ascii	armonik	decode	default	20	258478.7	255567.5	272666.6	0.066	256650.9	260035.3
codec-P	P4.1	P4.1	ascii	core-native	decode	drop	20	219075.8	216795.6	230256.4	0.061	218452.5	219983.5
codec-P	P4.1	P4.1	ascii	core-ffi	decode	drop	20	243370.7	239997.1	287729.2	0.196	242229.4	247355.8
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	drop	20	234057.7	231880.8	275224.0	0.185	233250.4	238543.4
codec-P	P4.1	P4.1	ascii	core-native	decode	retain	20	224115.6	222376.5	355403.0	0.594	223386.3	226480.8
codec-P	P4.1	P4.1	ascii	core-ffi	decode	retain	20	244072.3	240676.1	251287.8	0.043	243003.8	245710.0
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	retain	20	234187.6	231982.4	239754.4	0.033	233296.6	235334.1
codec-P	P5.2	P5.2	ascii	incumbent-prod	decode	default	20	1684.6	1675.7	1787.7	0.067	1678.0	1688.7
codec-P	P5.2	P5.2	ascii	armonik	decode	default	20	89.8	73.8	99.4	0.286	89.6	90.7
codec-P	P5.2	P5.2	ascii	core-native	decode	drop	20	1669.6	1655.1	1807.2	0.091	1661.0	1686.3
codec-P	P5.2	P5.2	ascii	core-ffi	decode	drop	20	1671.2	1396.5	1694.7	0.178	1667.4	1673.8
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	drop	20	1678.6	1666.2	1734.2	0.040	1674.2	1683.4
codec-P	P5.2	P5.2	ascii	core-native	decode	retain	20	1651.4	1646.8	1732.9	0.052	1649.7	1660.6
codec-P	P5.2	P5.2	ascii	core-ffi	decode	retain	20	1679.2	1668.3	1755.7	0.052	1671.1	1682.0
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	retain	20	1684.4	1657.2	1725.3	0.040	1682.5	1693.9
codec-P	P5.3	P5.3	ascii	incumbent-prod	encode	default	20	43065.4	41301.3	48090.7	0.158	42285.3	44800.5
codec-P	P5.3	P5.3	ascii	armonik	encode	default	20	42809.6	42131.0	50779.1	0.202	42457.7	44730.2
codec-P	P5.3	P5.3	ascii	core-native	encode	drop	20	40270.3	39391.7	49900.8	0.261	39785.1	41066.1
codec-P	P5.3	P5.3	ascii	core-ffi	encode	drop	20	46064.9	44598.2	55267.1	0.232	45614.5	48055.4
codec-P	P5.3	P5.3	ascii	core-native	encode	retain	20	39701.1	38870.7	49300.1	0.263	39428.2	41159.6
codec-P	P5.3	P5.3	ascii	core-ffi	encode	retain	20	45656.1	44484.5	52875.5	0.184	45422.4	46881.5
codec-P	P2.4	P2.4	ascii	incumbent-prod	encode	default	20	665869.7	647603.2	696064.4	0.073	652364.0	674645.2
codec-P	P2.4	P2.4	ascii	armonik	encode	default	20	661354.2	655437.8	686530.4	0.047	657280.4	673705.7
codec-P	P2.4	P2.4	ascii	core-native	encode	drop	20	188753.7	185801.5	191269.3	0.029	188438.2	189943.7
codec-P	P2.4	P2.4	ascii	core-ffi	encode	drop	20	255051.3	251665.7	259059.7	0.029	254240.8	255978.3
codec-P	P2.4	P2.4	ascii	core-native	encode	retain	20	179911.5	178175.6	184019.9	0.032	179036.1	180400.2
codec-P	P2.4	P2.4	ascii	core-ffi	encode	retain	20	257423.3	249194.4	260379.4	0.043	256357.8	258911.6
codec-P	P2.2/wide	P2.2	wide	incumbent-prod	decode-read	default	20	2450537.8	2432187.8	2667382.5	0.096	2445363.1	2465102.3
codec-P	P2.2/wide	P2.2	wide	armonik	decode-read	default	20	2478797.8	2422721.2	2554289.2	0.053	2472318.4	2494000.2
codec-P	P2.2/wide	P2.2	wide	core-native	decode-read	drop	20	2194508.0	2133403.4	2617158.8	0.220	2186550.3	2207278.3
codec-P	P2.2/wide	P2.2	wide	core-ffi	decode-read	drop	20	2502102.0	2448753.0	2708990.2	0.104	2491787.1	2507588.6
codec-P	P2.2/wide	P2.2	wide	core-ffi-pull	decode-read	drop	20	2397689.2	2333902.2	2437788.0	0.043	2384883.7	2418406.8
codec-P	P2.2/wide	P2.2	wide	core-native	decode-read	retain	20	2225532.6	2203539.2	2285063.0	0.037	2217563.4	2239670.8
codec-P	P2.2/wide	P2.2	wide	core-ffi	decode-read	retain	20	2493007.6	2468934.0	2520545.0	0.021	2483868.3	2505187.5
codec-P	P2.2/wide	P2.2	wide	core-ffi-pull	decode-read	retain	20	2398085.8	2336836.8	2646894.8	0.129	2383890.1	2413802.0
codec-P	P3.1	P3.1	ascii	incumbent-prod	decode-read	default	20	26369.2	26113.9	34661.0	0.324	26172.3	31481.6
codec-P	P3.1	P3.1	ascii	armonik	decode-read	default	20	31183.3	30743.7	36767.1	0.193	30956.5	31365.3
codec-P	P3.1	P3.1	ascii	core-native	decode-read	drop	20	23937.9	23009.1	26211.2	0.134	23791.7	24062.1
codec-P	P3.1	P3.1	ascii	core-ffi	decode-read	drop	20	25252.7	24473.8	27731.3	0.129	25159.5	25434.4
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode-read	drop	20	26007.3	25093.2	28840.4	0.144	25804.3	26229.3
codec-P	P3.1	P3.1	ascii	core-native	decode-read	retain	20	23370.2	23026.7	24955.1	0.083	23164.2	23499.4
codec-P	P3.1	P3.1	ascii	core-ffi	decode-read	retain	20	25270.7	23723.4	26667.1	0.116	25005.1	25451.6
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode-read	retain	20	25980.9	25226.2	26954.8	0.067	25669.2	26172.6
codec-P	P1.2/latin1	P1.2	latin1	incumbent-prod	decode	default	20	594255.6	553057.2	808842.0	0.430	589953.9	600679.5
codec-P	P1.2/latin1	P1.2	latin1	armonik	decode	default	20	564262.3	528868.2	607352.6	0.139	562770.4	572866.5
codec-P	P1.2/latin1	P1.2	latin1	core-native	decode	drop	20	505311.9	494387.0	541644.1	0.094	498113.0	519733.1
codec-P	P1.2/latin1	P1.2	latin1	core-ffi	decode	drop	20	506255.5	457862.9	547755.6	0.178	498540.2	516372.7
codec-P	P1.2/latin1	P1.2	latin1	core-ffi-pull	decode	drop	20	520631.0	483469.6	550959.6	0.130	511376.5	530799.4
codec-P	P1.2/latin1	P1.2	latin1	core-native	decode	retain	20	496690.0	458776.0	534598.1	0.153	489644.8	503463.5
codec-P	P1.2/latin1	P1.2	latin1	core-ffi	decode	retain	20	502982.5	481238.3	530955.9	0.099	499157.1	515482.8
codec-P	P1.2/latin1	P1.2	latin1	core-ffi-pull	decode	retain	20	514511.1	507885.6	545561.1	0.073	512341.0	526903.4
codec-P	P1.2	P1.2	ascii	incumbent-prod	encode	default	20	338569.8	330545.0	349432.2	0.056	337052.9	342963.4
codec-P	P1.2	P1.2	ascii	armonik	encode	default	20	358892.1	348525.6	380876.6	0.090	353431.7	360806.9
codec-P	P1.2	P1.2	ascii	core-native	encode	drop	20	62537.0	60742.4	67385.8	0.106	61948.9	63438.2
codec-P	P1.2	P1.2	ascii	core-ffi	encode	drop	20	87573.2	85368.0	97959.0	0.144	86354.6	89235.5
codec-P	P1.2	P1.2	ascii	core-native	encode	retain	20	73469.6	71531.4	88179.4	0.227	72833.9	75244.5
codec-P	P1.2	P1.2	ascii	core-ffi	encode	retain	20	90491.0	88455.2	93985.4	0.061	89612.4	91419.0
codec-P	P5.4	P5.4	ascii	incumbent-prod	decode-read	default	20	322403.0	313064.6	334761.2	0.067	319435.9	324249.0
codec-P	P5.4	P5.4	ascii	armonik	decode-read	default	20	96.0	92.3	109.7	0.181	95.2	96.7
codec-P	P5.4	P5.4	ascii	core-native	decode-read	drop	20	320998.1	313716.4	350247.0	0.114	319315.4	328437.7
codec-P	P5.4	P5.4	ascii	core-ffi	decode-read	drop	20	319033.8	313616.1	345125.9	0.099	315273.6	323901.0
codec-P	P5.4	P5.4	ascii	core-ffi-pull	decode-read	drop	20	321381.0	313495.6	338172.7	0.077	315499.8	326290.0
codec-P	P5.4	P5.4	ascii	core-native	decode-read	retain	20	323242.6	313767.6	337665.3	0.074	316150.9	327972.8
codec-P	P5.4	P5.4	ascii	core-ffi	decode-read	retain	20	319753.5	309364.2	333275.1	0.075	317037.7	325980.9
codec-P	P5.4	P5.4	ascii	core-ffi-pull	decode-read	retain	20	322975.2	313437.6	335576.4	0.069	319237.1	326476.0
codec-P	P1.1	P1.1	ascii	incumbent-prod	decode-read	default	20	1274.0	1160.1	1518.5	0.281	1206.3	1299.4
codec-P	P1.1	P1.1	ascii	armonik	decode-read	default	20	1362.4	1214.4	1435.9	0.163	1321.2	1382.2
codec-P	P1.1	P1.1	ascii	core-native	decode-read	drop	20	1157.4	1034.7	1231.0	0.170	1138.3	1194.5
codec-P	P1.1	P1.1	ascii	core-ffi	decode-read	drop	20	1165.0	1048.0	1295.2	0.212	1138.8	1204.5
codec-P	P1.1	P1.1	ascii	core-ffi-pull	decode-read	drop	20	1178.8	1086.9	1243.2	0.133	1155.7	1218.2
codec-P	P1.1	P1.1	ascii	core-native	decode-read	retain	20	1132.6	1050.4	1201.0	0.133	1113.6	1158.4
codec-P	P1.1	P1.1	ascii	core-ffi	decode-read	retain	20	1183.3	1074.5	1279.8	0.173	1149.9	1217.6
codec-P	P1.1	P1.1	ascii	core-ffi-pull	decode-read	retain	20	1207.6	1094.3	1336.4	0.201	1146.2	1248.1
codec-P	P2.1	P2.1	ascii	incumbent-prod	decode	default	20	1927.4	1549.5	2241.0	0.359	1746.6	2038.7
codec-P	P2.1	P2.1	ascii	armonik	decode	default	20	1676.5	1433.6	2081.4	0.386	1537.2	1979.9
codec-P	P2.1	P2.1	ascii	core-native	decode	drop	20	1276.0	1149.0	1674.7	0.412	1208.5	1597.0
codec-P	P2.1	P2.1	ascii	core-ffi	decode	drop	20	1850.2	1632.9	2098.5	0.252	1738.9	1942.4
codec-P	P2.1	P2.1	ascii	core-ffi-pull	decode	drop	20	1858.7	1617.5	2095.1	0.257	1720.8	1956.1
codec-P	P2.1	P2.1	ascii	core-native	decode	retain	20	1378.4	1192.3	1701.2	0.369	1265.0	1652.5
codec-P	P2.1	P2.1	ascii	core-ffi	decode	retain	20	1892.3	1700.2	2179.6	0.253	1778.4	2022.7
codec-P	P2.1	P2.1	ascii	core-ffi-pull	decode	retain	20	1913.8	1692.3	2320.7	0.328	1761.3	2022.7
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode	default	20	8521.9	6688.4	8804.3	0.248	6724.3	8582.8
codec-P	P1.3	P1.3	ascii	armonik	decode	default	20	12753.7	9988.7	13549.3	0.279	10449.7	12832.1
codec-P	P1.3	P1.3	ascii	core-native	decode	drop	20	12662.8	9876.1	12846.9	0.235	10285.5	12710.4
codec-P	P1.3	P1.3	ascii	core-ffi	decode	drop	20	17406.8	13602.0	19897.5	0.362	14157.8	17483.1
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode	drop	20	17842.5	13864.2	20976.5	0.399	14427.9	17999.6
codec-P	P1.3	P1.3	ascii	core-native	decode	retain	20	12756.0	9957.8	14401.6	0.348	10340.0	12868.5
codec-P	P1.3	P1.3	ascii	core-ffi	decode	retain	20	17184.1	13418.3	18265.3	0.282	13487.8	17265.6
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode	retain	20	18624.7	14415.3	18778.3	0.234	14605.8	18692.6
codec-P	P4.1	P4.1	ascii	incumbent-prod	encode	default	20	146900.0	128076.2	154880.2	0.182	133422.4	149963.2
codec-P	P4.1	P4.1	ascii	armonik	encode	default	20	145009.4	130331.5	155628.5	0.174	132236.3	148109.2
codec-P	P4.1	P4.1	ascii	core-native	encode	drop	20	27174.4	23238.5	30015.7	0.249	24735.4	27828.4
codec-P	P4.1	P4.1	ascii	core-ffi	encode	drop	20	45403.1	38685.9	48924.5	0.226	41414.8	46408.0
codec-P	P4.1	P4.1	ascii	core-native	encode	retain	20	30501.8	26329.5	32942.3	0.217	27938.5	31063.4
codec-P	P4.1	P4.1	ascii	core-ffi	encode	retain	20	47339.7	40131.9	50416.4	0.217	42712.6	48547.1
codec-P	P3.1	P3.1	ascii	incumbent-prod	decode	default	20	25124.0	24967.2	25437.8	0.019	25045.2	25214.8
codec-P	P3.1	P3.1	ascii	armonik	decode	default	20	29067.7	28427.7	30403.4	0.068	28855.1	29258.2
codec-P	P3.1	P3.1	ascii	core-native	decode	drop	20	22456.9	22166.2	23096.7	0.041	22263.7	22618.6
codec-P	P3.1	P3.1	ascii	core-ffi	decode	drop	20	23488.1	23304.5	24254.0	0.040	23357.9	23617.4
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode	drop	20	24211.6	23592.7	24785.3	0.049	24037.2	24391.3
codec-P	P3.1	P3.1	ascii	core-native	decode	retain	20	21744.6	21463.6	23401.4	0.089	21655.2	22013.4
codec-P	P3.1	P3.1	ascii	core-ffi	decode	retain	20	23396.8	23126.0	24256.2	0.048	23306.1	23745.4
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode	retain	20	24119.9	23530.3	25608.1	0.086	23997.2	24280.5
codec-P	P1.2/wide	P1.2	wide	incumbent-prod	encode	default	20	337960.4	332321.5	344084.8	0.035	336056.2	341490.1
codec-P	P1.2/wide	P1.2	wide	armonik	encode	default	20	368243.9	360161.1	386225.1	0.071	364695.5	374166.4
codec-P	P1.2/wide	P1.2	wide	core-native	encode	drop	20	66330.2	64791.1	72725.6	0.120	65591.8	67153.4
codec-P	P1.2/wide	P1.2	wide	core-ffi	encode	drop	20	89055.6	87158.5	91655.9	0.051	88030.6	89924.9
codec-P	P1.2/wide	P1.2	wide	core-native	encode	retain	20	74794.7	73887.6	76684.9	0.037	74274.7	75215.0
codec-P	P1.2/wide	P1.2	wide	core-ffi	encode	retain	20	92772.5	90994.9	105923.3	0.161	91683.0	94086.4
codec-P	P2.1	P2.1	ascii	incumbent-prod	encode	default	20	1442.9	1403.7	1510.4	0.074	1439.5	1458.3
codec-P	P2.1	P2.1	ascii	armonik	encode	default	20	1445.7	1410.7	1576.0	0.114	1438.7	1496.7
codec-P	P2.1	P2.1	ascii	core-native	encode	drop	20	267.2	256.2	314.2	0.217	264.6	269.9
codec-P	P2.1	P2.1	ascii	core-ffi	encode	drop	20	471.2	449.1	557.2	0.229	466.2	477.6
codec-P	P2.1	P2.1	ascii	core-native	encode	retain	20	309.8	304.4	326.9	0.073	307.2	314.4
