# opt_compare  before=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/baseline2  after=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s4-e4n1  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-P	P1.1	decode	drop	core-ffi-pull/inc	1.380	0.925	-32.9%	lower
codec-P	P1.1	decode	drop	core-ffi/core-native	1.545	1.062	-31.3%	lower
codec-P	P1.1	decode	drop	core-ffi/inc	1.390	0.903	-35.0%	lower
codec-P	P1.1	decode	retain	core-ffi-pull/inc	1.403	0.933	-33.5%	lower
codec-P	P1.1	decode	retain	core-ffi/core-native	1.588	1.077	-32.2%	lower
codec-P	P1.1	decode	retain	core-ffi/inc	1.396	0.923	-33.9%	lower
codec-P	P1.1	decode-read	drop	core-ffi-pull/inc	1.401	0.968	-31.0%	lower
codec-P	P1.1	decode-read	drop	core-ffi/core-native	1.477	1.029	-30.4%	lower
codec-P	P1.1	decode-read	drop	core-ffi/inc	1.378	0.949	-31.2%	lower
codec-P	P1.1	decode-read	retain	core-ffi-pull/inc	1.440	0.979	-32.0%	lower
codec-P	P1.1	decode-read	retain	core-ffi/core-native	1.574	1.057	-32.8%	lower
codec-P	P1.1	decode-read	retain	core-ffi/inc	1.433	0.974	-32.0%	lower
codec-P	P1.1	encode	drop	core-ffi/core-native	1.923	1.484	-22.8%	lower
codec-P	P1.1	encode	drop	core-ffi/inc	0.298	0.276	-7.5%	lower
codec-P	P1.1	encode	drop	core-native/inc	0.155	0.186	+19.9%	higher
codec-P	P1.1	encode	retain	core-ffi/core-native	1.626	1.269	-21.9%	lower
codec-P	P1.1	encode	retain	core-ffi/inc	0.313	0.274	-12.4%	lower
codec-P	P1.1	encode	retain	core-native/inc	0.192	0.216	+12.2%	higher
codec-P	P1.2	decode	drop	core-ffi-pull/inc	1.151	0.835	-27.5%	lower
codec-P	P1.2	decode	drop	core-ffi/core-native	1.437	1.028	-28.5%	lower
codec-P	P1.2	decode	drop	core-ffi/inc	1.141	0.834	-26.9%	lower
codec-P	P1.2	decode	retain	core-ffi-pull/inc	1.146	0.815	-28.9%	lower
codec-P	P1.2	decode	retain	core-ffi/core-native	1.457	1.003	-31.1%	lower
codec-P	P1.2	decode	retain	core-ffi/inc	1.137	0.816	-28.2%	lower
codec-P	P1.2	decode-nodrop	drop	core-ffi/core-native	1.569	1.042	-33.6%	lower
codec-P	P1.2	decode-nodrop	drop	core-ffi/inc	1.178	0.748	-36.5%	lower
codec-P	P1.2	decode-nodrop	retain	core-ffi/core-native	1.591	1.035	-34.9%	lower
codec-P	P1.2	decode-nodrop	retain	core-ffi/inc	1.179	0.753	-36.2%	lower
codec-P	P1.2	decode-read	drop	core-ffi-pull/inc	1.146	0.839	-26.9%	lower
codec-P	P1.2	decode-read	drop	core-ffi/core-native	1.407	1.011	-28.1%	lower
codec-P	P1.2	decode-read	drop	core-ffi/inc	1.139	0.822	-27.8%	lower
codec-P	P1.2	decode-read	retain	core-ffi-pull/inc	1.150	0.839	-27.0%	lower
codec-P	P1.2	decode-read	retain	core-ffi/core-native	1.423	1.010	-29.0%	lower
codec-P	P1.2	decode-read	retain	core-ffi/inc	1.138	0.820	-28.0%	lower
codec-P	P1.2	encode	drop	core-ffi/core-native	1.798	1.339	-25.5%	lower
codec-P	P1.2	encode	drop	core-native/inc	0.179	0.214	+20.0%	higher
codec-P	P1.2	encode	retain	core-ffi/core-native	1.524	1.245	-18.3%	lower
codec-P	P1.2	encode	retain	core-ffi/inc	0.337	0.295	-12.5%	lower
codec-P	P1.2	encode	retain	core-native/inc	0.221	0.237	+7.1%	higher
codec-P	P1.2/latin1	decode	drop	core-ffi-pull/inc	1.264	0.857	-32.2%	lower
codec-P	P1.2/latin1	decode	drop	core-ffi/core-native	1.523	1.019	-33.1%	lower
codec-P	P1.2/latin1	decode	drop	core-ffi/inc	1.249	0.837	-33.0%	lower
codec-P	P1.2/latin1	decode	retain	core-ffi-pull/inc	1.262	0.853	-32.4%	lower
codec-P	P1.2/latin1	decode	retain	core-ffi/core-native	1.539	1.027	-33.3%	lower
codec-P	P1.2/latin1	decode	retain	core-ffi/inc	1.250	0.842	-32.6%	lower
codec-P	P1.2/latin1	decode-read	drop	core-ffi-pull/inc	1.291	0.886	-31.3%	lower
codec-P	P1.2/latin1	decode-read	drop	core-ffi/core-native	1.506	1.050	-30.3%	lower
codec-P	P1.2/latin1	decode-read	drop	core-ffi/inc	1.257	0.843	-33.0%	lower
codec-P	P1.2/latin1	decode-read	retain	core-ffi-pull/inc	1.265	0.918	-27.4%	lower
codec-P	P1.2/latin1	decode-read	retain	core-ffi/core-native	1.506	1.013	-32.7%	lower
codec-P	P1.2/latin1	decode-read	retain	core-ffi/inc	1.248	0.882	-29.3%	lower
codec-P	P1.2/latin1	encode	drop	core-ffi/core-native	1.742	1.392	-20.1%	lower
codec-P	P1.2/latin1	encode	drop	core-ffi/inc	0.322	0.294	-8.5%	lower
codec-P	P1.2/latin1	encode	drop	core-native/inc	0.185	0.211	+14.4%	higher
codec-P	P1.2/latin1	encode	retain	core-ffi/core-native	1.607	1.314	-18.3%	lower
codec-P	P1.2/latin1	encode	retain	core-ffi/inc	0.336	0.305	-9.0%	lower
codec-P	P1.2/latin1	encode	retain	core-native/inc	0.209	0.233	+11.3%	higher
codec-P	P1.2/wide	decode	drop	core-ffi-pull/inc	1.416	0.871	-38.5%	lower
codec-P	P1.2/wide	decode	drop	core-ffi/core-native	1.638	1.008	-38.5%	lower
codec-P	P1.2/wide	decode	drop	core-ffi/inc	1.405	0.851	-39.4%	lower
codec-P	P1.2/wide	decode	retain	core-ffi-pull/inc	1.399	0.870	-37.8%	lower
codec-P	P1.2/wide	decode	retain	core-ffi/core-native	1.678	1.008	-39.9%	lower
codec-P	P1.2/wide	decode	retain	core-ffi/inc	1.412	0.850	-39.8%	lower
codec-P	P1.2/wide	decode-read	drop	core-ffi-pull/inc	1.379	0.905	-34.4%	lower
codec-P	P1.2/wide	decode-read	drop	core-ffi/core-native	1.622	1.017	-37.3%	lower
codec-P	P1.2/wide	decode-read	drop	core-ffi/inc	1.371	0.875	-36.1%	lower
codec-P	P1.2/wide	decode-read	retain	core-ffi-pull/inc	1.394	0.887	-36.4%	lower
codec-P	P1.2/wide	decode-read	retain	core-ffi/core-native	1.639	1.026	-37.4%	lower
codec-P	P1.2/wide	decode-read	retain	core-ffi/inc	1.394	0.881	-36.8%	lower
codec-P	P1.3	decode	drop	core-ffi/core-native	1.498	1.368	-8.7%	lower
codec-P	P1.3	decode	retain	core-ffi/core-native	1.595	1.433	-10.2%	lower
