# opt_compare  before=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s3-e2  after=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s4-e4n1  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-P	P1.1	encode	drop	core-ffi/inc	0.253	0.276	+9.1%	higher
codec-P	P1.1	encode	drop	core-native/inc	0.159	0.186	+16.6%	higher
codec-P	P1.1	encode	retain	core-ffi/inc	0.245	0.274	+11.9%	higher
codec-P	P1.1	encode	retain	core-native/inc	0.196	0.216	+10.0%	higher
codec-P	P1.2	encode	drop	core-ffi/inc	0.259	0.287	+11.0%	higher
codec-P	P1.2	encode	drop	core-native/inc	0.185	0.214	+16.1%	higher
codec-P	P1.2	encode	retain	core-ffi/inc	0.267	0.295	+10.3%	higher
codec-P	P1.2	encode	retain	core-native/inc	0.217	0.237	+9.0%	higher
codec-P	P1.2/latin1	encode	drop	core-ffi/inc	0.262	0.294	+12.4%	higher
codec-P	P1.2/latin1	encode	drop	core-native/inc	0.181	0.211	+16.5%	higher
codec-P	P1.2/latin1	encode	retain	core-ffi/inc	0.269	0.305	+13.4%	higher
codec-P	P1.2/latin1	encode	retain	core-native/inc	0.206	0.233	+12.9%	higher
codec-P	P1.2/wide	encode	drop	core-ffi/inc	0.264	0.310	+17.6%	higher
codec-P	P1.2/wide	encode	drop	core-native/inc	0.196	0.218	+11.0%	higher
codec-P	P1.2/wide	encode	retain	core-ffi/inc	0.275	0.315	+14.6%	higher
codec-P	P1.2/wide	encode	retain	core-native/inc	0.221	0.237	+7.0%	higher
codec-P	P1.3	encode	drop	core-ffi/core-native	2.080	1.754	-15.7%	lower
codec-P	P1.3	encode	drop	core-native/inc	0.306	0.384	+25.5%	higher
codec-P	P2.1	encode	drop	core-ffi/inc	0.327	0.362	+10.7%	higher
codec-P	P2.1	encode	drop	core-native/inc	0.185	0.210	+13.2%	higher
codec-P	P2.1	encode	retain	core-ffi/inc	0.337	0.379	+12.4%	higher
codec-P	P2.1	encode	retain	core-native/inc	0.215	0.244	+13.6%	higher
codec-P	P2.2	encode	drop	core-ffi/inc	0.324	0.367	+13.1%	higher
codec-P	P2.2	encode	drop	core-native/inc	0.222	0.259	+16.9%	higher
codec-P	P2.2	encode	retain	core-ffi/inc	0.332	0.375	+12.8%	higher
codec-P	P2.2	encode	retain	core-native/inc	0.230	0.264	+15.1%	higher
codec-P	P2.2/wide	encode	drop	core-ffi/inc	0.320	0.374	+16.9%	higher
codec-P	P2.2/wide	encode	drop	core-native/inc	0.238	0.293	+23.5%	higher
codec-P	P2.2/wide	encode	retain	core-ffi/inc	0.331	0.380	+15.0%	higher
codec-P	P2.2/wide	encode	retain	core-native/inc	0.252	0.296	+17.5%	higher
codec-P	P2.4	encode	drop	core-ffi/inc	0.383	0.433	+13.1%	higher
codec-P	P2.4	encode	drop	core-native/inc	0.283	0.320	+12.9%	higher
codec-P	P2.4	encode	retain	core-ffi/inc	0.387	0.436	+12.8%	higher
codec-P	P2.4	encode	retain	core-native/inc	0.270	0.302	+11.8%	higher
codec-P	P2.5	encode	drop	core-ffi/inc	0.309	0.343	+10.9%	higher
codec-P	P2.5	encode	drop	core-native/inc	0.192	0.216	+12.6%	higher
codec-P	P2.5	encode	retain	core-ffi/inc	0.323	0.353	+9.5%	higher
codec-P	P2.5	encode	retain	core-native/inc	0.214	0.236	+10.5%	higher
codec-P	P3.1	decode	drop	core-native/inc	0.894	0.767	-14.2%	lower
codec-P	P3.1	decode	retain	core-ffi-pull/inc	0.960	0.822	-14.4%	lower
codec-P	P3.1	encode	drop	core-ffi/core-native	1.767	1.625	-8.1%	lower
codec-P	P3.1	encode	drop	core-ffi/inc	0.276	0.298	+8.1%	higher
codec-P	P3.1	encode	drop	core-native/inc	0.156	0.183	+17.6%	higher
codec-P	P3.1	encode	retain	core-ffi/inc	0.269	0.291	+8.4%	higher
codec-P	P3.1	encode	retain	core-native/inc	0.195	0.217	+11.1%	higher
codec-P	P5.1	decode-read	drop	core-native/inc	0.836	0.902	+8.0%	higher
codec-P	P5.1	encode	drop	armonik/inc	1.007	1.089	+8.1%	higher
codec-P	P5.1	encode	drop	core-ffi/inc	0.407	0.478	+17.5%	higher
codec-P	P5.1	encode	drop	core-native/inc	0.232	0.262	+12.8%	higher
codec-P	P5.1	encode	retain	armonik/inc	1.007	1.089	+8.1%	higher
codec-P	P5.1	encode	retain	core-ffi/inc	0.416	0.491	+18.0%	higher
codec-P	P5.1	encode	retain	core-native/inc	0.284	0.320	+12.8%	higher
codec-P	P5.3	decode	drop	armonik/inc	0.002	0.002	+17.2%	higher
codec-P	P5.3	decode	retain	armonik/inc	0.002	0.002	+17.2%	higher
codec-P	P5.3	decode-read	drop	armonik/inc	0.002	0.002	-6.8%	lower
codec-P	P5.3	decode-read	retain	armonik/inc	0.002	0.002	-6.8%	lower
codec-P	P5.3	encode	drop	core-ffi/core-native	1.144	0.958	-16.3%	lower
codec-P	P5.3	encode	drop	core-native/inc	0.935	1.038	+11.0%	higher
codec-P	P5.3	encode	retain	core-ffi/core-native	1.150	0.929	-19.3%	lower
codec-P	P5.3	encode	retain	core-native/inc	0.922	1.058	+14.8%	higher
codec-P	P5.4	decode-read	drop	armonik/inc	0.000	0.000	+12.0%	higher
codec-P	P5.4	decode-read	retain	armonik/inc	0.000	0.000	+12.0%	higher
codec-P	P6.1	decode	drop	core-ffi/core-native	0.928	1.557	+67.9%	higher
codec-P	P6.1	decode	drop	core-native/inc	0.622	0.440	-29.3%	lower
codec-P	P6.1	decode	retain	core-ffi/core-native	0.947	1.492	+57.6%	higher
codec-P	P6.1	decode	retain	core-native/inc	0.607	0.457	-24.7%	lower
codec-P	P6.1	decode-nodrop	drop	armonik/inc	1.129	1.018	-9.8%	lower
codec-P	P6.1	decode-nodrop	drop	core-ffi/core-native	0.939	1.561	+66.3%	higher
codec-P	P6.1	decode-nodrop	drop	core-native/inc	0.643	0.367	-42.9%	lower
codec-P	P6.1	decode-nodrop	retain	armonik/inc	1.129	1.018	-9.8%	lower
codec-P	P6.1	decode-nodrop	retain	core-ffi/core-native	0.931	1.544	+65.8%	higher
codec-P	P6.1	decode-nodrop	retain	core-native/inc	0.645	0.371	-42.5%	lower
codec-P	P6.1	decode-read	drop	core-ffi/core-native	0.921	1.397	+51.6%	higher
codec-P	P6.1	decode-read	drop	core-native/inc	0.661	0.460	-30.4%	lower
codec-P	P6.1	decode-read	retain	core-ffi/core-native	0.908	1.375	+51.5%	higher
