# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P7.1	decode	drop	361.3	1.034	0.746	0.893	0.967	1.197	0.723	0.902
codec-P	P7.1	decode	retain	361.3	1.034	0.714	0.950	1.004	1.330	0.732	0.921
codec-P	P1.3	decode-read	drop	9834.4	1.460	1.489	1.930	2.128	1.296	1.436	1.920
codec-P	P1.3	decode-read	retain	9834.4	1.460	1.494	2.106	2.300	1.410	1.448	2.015
codec-P	P2.2	encode	drop	921426.0	1.010	0.259	0.367		1.415	0.253	0.363
codec-P	P2.2	encode	retain	921426.0	1.010	0.264	0.375		1.420	0.262	0.370
codec-P	P4.1	decode	drop	260283.6	1.003	0.889	0.942	0.905	1.060	0.886	0.941
codec-P	P4.1	decode	retain	260283.6	1.003	0.898	0.939	0.901	1.045	0.893	0.940
codec-P	P5.2	decode	drop	1667.9	0.055	0.996	0.999	1.007	1.003	0.997	1.001
codec-P	P5.2	decode	retain	1667.9	0.055	0.992	1.007	1.012	1.015	0.993	1.008
codec-P	P5.3	encode	drop	45219.0	1.087	1.038	0.994		0.958	1.043	0.994
codec-P	P5.3	encode	retain	45219.0	1.087	1.058	0.983		0.929	1.081	0.989
codec-P	P2.4	encode	drop	583373.6	1.007	0.320	0.433		1.354	0.321	0.437
codec-P	P2.4	encode	retain	583373.6	1.007	0.302	0.436		1.445	0.303	0.434
codec-P	P2.2/wide	decode-read	drop	2497427.2	1.038	0.897	1.023	0.985	1.140	0.888	1.016
codec-P	P2.2/wide	decode-read	retain	2497427.2	1.038	0.917	1.022	0.986	1.114	0.907	1.009
codec-P	P3.1	decode-read	drop	27908.6	1.108	0.847	0.899	0.911	1.061	0.723	0.788
codec-P	P3.1	decode-read	retain	27908.6	1.108	0.859	0.896	0.919	1.043	0.739	0.753
codec-P	P1.2/latin1	decode	drop	601448.6	0.946	0.821	0.837	0.857	1.019	0.810	0.843
codec-P	P1.2/latin1	decode	retain	601448.6	0.946	0.821	0.842	0.853	1.027	0.823	0.861
codec-P	P1.2	encode	drop	304113.9	1.072	0.214	0.287		1.339	0.245	0.317
codec-P	P1.2	encode	retain	304113.9	1.072	0.237	0.295		1.245	0.246	0.287
codec-P	P5.4	decode-read	drop	291408.5	0.000	1.009	1.011	1.002	1.002	1.023	1.020
codec-P	P5.4	decode-read	retain	291408.5	0.000	0.994	1.002	1.008	1.008	1.012	1.012
codec-P	P1.1	decode-read	drop	1272.4	1.103	0.922	0.949	0.968	1.028	0.915	0.903
codec-P	P1.1	decode-read	retain	1272.4	1.103	0.921	0.974	0.979	1.057	0.909	0.950
codec-P	P2.1	decode	drop	1940.9	0.989	0.794	1.147	1.120	1.445	0.790	1.124
codec-P	P2.1	decode	retain	1940.9	0.989	0.821	1.189	1.162	1.448	0.816	1.178
codec-P	P1.3	decode	drop	8408.9	1.503	1.466	2.005	2.190	1.368	1.463	2.039
codec-P	P1.3	decode	retain	8408.9	1.503	1.454	2.083	2.182	1.433	1.440	2.100
codec-P	P4.1	encode	drop	134069.9	1.005	0.202	0.336		1.663	0.202	0.338
codec-P	P4.1	encode	retain	134069.9	1.005	0.228	0.348		1.525	0.232	0.344
codec-P	P3.1	decode	drop	29145.0	1.017	0.767	0.798	0.825	1.041	0.842	0.753
codec-P	P3.1	decode	retain	29145.0	1.017	0.780	0.803	0.822	1.030	0.753	0.779
codec-P	P1.2/wide	encode	drop	290090.8	1.118	0.218	0.310		1.423	0.237	0.313
codec-P	P1.2/wide	encode	retain	290090.8	1.118	0.237	0.315		1.329	0.246	0.329
codec-P	P2.1	encode	drop	1287.1	1.008	0.210	0.362		1.725	0.208	0.324
codec-P	P2.1	encode	retain	1287.1	1.008	0.244	0.379		1.553	0.217	0.335
codec-P	P6.1	encode	drop	374142.6	1.027	0.198	0.203		1.023	0.197	0.203
codec-P	P6.1	encode	retain	374142.6	1.027	0.204	0.204		0.998	0.199	0.203
codec-P	P2.5	decode-read	drop	50269.0	1.028	0.832	0.973	0.925	1.169	0.817	0.958
codec-P	P2.5	decode-read	retain	50269.0	1.028	0.847	0.961	0.921	1.135	0.841	0.953
codec-P	P1.2	decode-read	drop	412504.2	0.923	0.813	0.822	0.839	1.011	0.763	0.765
codec-P	P1.2	decode-read	retain	412504.2	0.923	0.811	0.820	0.839	1.010	0.822	0.813
codec-P	P4.1	decode-read	drop	274836.0	1.023	0.918	0.940	0.910	1.024	0.932	0.962
codec-P	P4.1	decode-read	retain	274836.0	1.023	0.939	0.942	0.902	1.004	0.951	0.961
codec-P	P5.3	decode	drop	38315.8	0.002	1.006	1.012	1.006	1.005	1.003	1.005
codec-P	P5.3	decode	retain	38315.8	0.002	1.001	1.008	1.005	1.007	0.994	1.003
codec-P	P1.3	encode	drop	5450.7	1.277	0.384	0.673		1.754	0.398	0.686
codec-P	P1.3	encode	retain	5450.7	1.277	0.408	0.681		1.669	0.410	0.700
codec-P	P1.2/latin1	encode	drop	299824.0	1.090	0.211	0.294		1.392	0.211	0.296
codec-P	P1.2/latin1	encode	retain	299824.0	1.090	0.233	0.305		1.314	0.230	0.303
codec-P	P5.2	encode	drop	1644.6	0.984	0.949	0.951		1.002	0.952	0.949
codec-P	P5.2	encode	retain	1644.6	0.984	0.945	0.956		1.012	0.946	0.957
codec-P	P1.2	decode	drop	311605.8	0.907	0.811	0.834	0.835	1.028	0.792	0.814
codec-P	P1.2	decode	retain	311605.8	0.907	0.813	0.816	0.815	1.003	0.796	0.807
codec-P	P4.1	decode-nodrop	drop	168271.2	1.024	0.908	0.922		1.016	0.906	0.921
codec-P	P4.1	decode-nodrop	retain	168271.2	1.024	0.918	0.924		1.006	0.921	0.906
codec-P	P6.1	decode	drop	218256.8	1.083	0.440	0.685	0.587	1.557	0.442	0.686
codec-P	P6.1	decode	retain	218256.8	1.083	0.457	0.682	0.596	1.492	0.462	0.679
codec-P	P6.1	decode-nodrop	drop	282039.5	1.018	0.367	0.573		1.561	0.373	0.584
codec-P	P6.1	decode-nodrop	retain	282039.5	1.018	0.371	0.573		1.544	0.374	0.578
codec-P	P2.4	decode-read	drop	1793493.5	1.027	0.923	0.785	0.772	0.851	0.938	0.779
codec-P	P2.4	decode-read	retain	1793493.5	1.027	0.947	0.788	0.765	0.832	0.943	0.770
codec-P	P1.1	decode	drop	1230.8	1.068	0.851	0.903	0.925	1.062	0.845	0.898
codec-P	P1.1	decode	retain	1230.8	1.068	0.857	0.923	0.933	1.077	0.858	0.906
codec-P	P2.2	decode	drop	1450549.4	0.998	0.871	1.013	0.976	1.163	0.869	0.993
codec-P	P2.2	decode	retain	1450549.4	0.998	0.898	1.020	0.980	1.137	0.858	1.012
codec-P	P2.2/wide	encode	drop	826076.0	1.002	0.293	0.374		1.274	0.293	0.374
codec-P	P2.2/wide	encode	retain	826076.0	1.002	0.296	0.380		1.283	0.301	0.381
codec-P	P5.1	decode-read	drop	103.1	0.889	0.902	0.923	0.986	1.023	0.901	0.922
codec-P	P5.1	decode-read	retain	103.1	0.889	0.892	1.011	1.076	1.133	0.891	1.008
codec-P	P5.4	encode	drop	364279.8	1.002	1.010	0.967		0.957	0.998	0.975
codec-P	P5.4	encode	retain	364279.8	1.002	1.005	0.958		0.953	1.004	0.977
codec-P	P2.2/latin1	decode-read	drop	2069835.0	1.032	0.878	0.998	0.962	1.137	0.858	0.992
codec-P	P2.2/latin1	decode-read	retain	2069835.0	1.032	0.899	0.996	0.948	1.109	0.899	0.995
codec-P	P2.4	decode	drop	1660884.6	1.020	0.917	0.781	0.767	0.852	0.918	0.791
codec-P	P2.4	decode	retain	1660884.6	1.020	0.947	0.778	0.759	0.821	0.959	0.766
codec-P	P2.5	decode	drop	49157.6	1.015	0.831	0.956	0.922	1.151	0.821	0.953
