# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode	default	20	361.3	265.2	422.1	0.434	305.8	387.3
codec-P	P7.1	P7.1	ascii	armonik	decode	default	20	373.5	258.2	498.7	0.644	302.0	396.8
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	269.5	191.7	332.1	0.521	224.9	284.5
codec-P	P7.1	P7.1	ascii	core-ffi	decode	drop	20	322.6	239.2	460.3	0.685	288.6	359.6
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	drop	20	349.3	263.1	541.0	0.796	306.0	387.8
codec-P	P7.1	P7.1	ascii	core-native	decode	retain	20	257.9	194.1	300.4	0.412	225.0	280.2
codec-P	P7.1	P7.1	ascii	core-ffi	decode	retain	20	343.1	244.3	502.2	0.751	279.9	367.1
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	retain	20	362.8	270.3	431.1	0.443	317.2	407.6
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	9834.4	8899.5	11216.5	0.236	9130.4	10958.2
codec-P	P1.3	P1.3	ascii	armonik	decode-read	default	20	14355.3	13012.9	17192.1	0.291	13475.9	16268.4
codec-P	P1.3	P1.3	ascii	core-native	decode-read	drop	20	14644.3	12781.4	16837.9	0.277	13089.7	15580.9
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	drop	20	18977.5	17084.1	21877.3	0.253	17389.2	20808.8
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	drop	20	20925.9	19030.3	25284.0	0.299	19286.4	22984.6
codec-P	P1.3	P1.3	ascii	core-native	decode-read	retain	20	14688.2	12883.9	16397.9	0.239	12995.8	15482.9
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	retain	20	20709.9	17934.1	23238.3	0.256	18200.4	21724.0
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	retain	20	22617.1	18422.4	24932.7	0.288	19133.7	23293.5
codec-P	P2.2	P2.2	ascii	incumbent-prod	encode	default	20	921426.0	906703.3	966708.5	0.065	916560.2	924323.5
codec-P	P2.2	P2.2	ascii	armonik	encode	default	20	930450.0	910409.0	983738.4	0.079	924853.4	945148.9
codec-P	P2.2	P2.2	ascii	core-native	encode	drop	20	238868.6	229259.6	247182.1	0.075	237477.1	241956.7
codec-P	P2.2	P2.2	ascii	core-ffi	encode	drop	20	337954.1	329447.9	356953.8	0.081	334967.7	341503.7
codec-P	P2.2	P2.2	ascii	core-native	encode	retain	20	243464.3	237512.7	250803.2	0.055	241390.1	246845.0
codec-P	P2.2	P2.2	ascii	core-ffi	encode	retain	20	345608.6	335447.8	370009.9	0.100	342629.0	349825.5
codec-P	P4.1	P4.1	ascii	incumbent-prod	decode	default	20	260283.6	257461.0	305792.6	0.186	258671.0	261989.5
codec-P	P4.1	P4.1	ascii	armonik	decode	default	20	260941.2	258772.2	322093.4	0.243	260374.6	263726.5
codec-P	P4.1	P4.1	ascii	core-native	decode	drop	20	231377.2	228227.7	236016.6	0.034	229221.3	232654.1
codec-P	P4.1	P4.1	ascii	core-ffi	decode	drop	20	245241.3	242379.6	292947.0	0.206	243592.3	246648.4
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	drop	20	235438.0	233044.4	259357.1	0.112	234475.2	237932.8
codec-P	P4.1	P4.1	ascii	core-native	decode	retain	20	233863.3	229784.3	261160.7	0.134	232054.3	235041.1
codec-P	P4.1	P4.1	ascii	core-ffi	decode	retain	20	244455.4	241928.6	251402.4	0.039	243114.5	245868.5
codec-P	P4.1	P4.1	ascii	core-ffi-pull	decode	retain	20	234550.4	232782.0	240654.2	0.034	233904.7	235339.8
codec-P	P5.2	P5.2	ascii	incumbent-prod	decode	default	20	1667.9	1660.1	1681.1	0.013	1664.5	1671.7
codec-P	P5.2	P5.2	ascii	armonik	decode	default	20	91.9	90.6	94.3	0.040	91.5	92.0
codec-P	P5.2	P5.2	ascii	core-native	decode	drop	20	1661.8	1655.3	1667.7	0.007	1659.2	1664.6
codec-P	P5.2	P5.2	ascii	core-ffi	decode	drop	20	1666.7	1661.8	1697.8	0.022	1664.7	1669.5
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	drop	20	1679.9	1674.6	1794.0	0.071	1677.4	1684.0
codec-P	P5.2	P5.2	ascii	core-native	decode	retain	20	1654.6	1648.7	1830.2	0.110	1652.4	1658.0
codec-P	P5.2	P5.2	ascii	core-ffi	decode	retain	20	1679.5	1673.0	1698.7	0.015	1676.0	1681.5
codec-P	P5.2	P5.2	ascii	core-ffi-pull	decode	retain	20	1687.1	1681.1	1710.5	0.017	1684.7	1689.9
codec-P	P5.3	P5.3	ascii	incumbent-prod	encode	default	20	45219.0	39739.2	49945.5	0.226	44331.6	46450.8
codec-P	P5.3	P5.3	ascii	armonik	encode	default	20	49147.7	43153.6	52507.8	0.190	47642.4	50037.2
codec-P	P5.3	P5.3	ascii	core-native	encode	drop	20	46941.2	41454.4	58113.6	0.355	45415.1	48401.7
codec-P	P5.3	P5.3	ascii	core-ffi	encode	drop	20	44960.1	39516.5	46739.6	0.161	43628.1	45793.2
codec-P	P5.3	P5.3	ascii	core-native	encode	retain	20	47858.7	42967.3	60269.2	0.362	47035.2	49030.0
codec-P	P5.3	P5.3	ascii	core-ffi	encode	retain	20	44439.9	39300.2	52794.9	0.304	43999.5	44987.4
codec-P	P2.4	P2.4	ascii	incumbent-prod	encode	default	20	583373.6	568304.9	639387.1	0.122	579379.3	616495.4
codec-P	P2.4	P2.4	ascii	armonik	encode	default	20	587632.5	578547.7	644436.8	0.112	583880.3	610410.5
codec-P	P2.4	P2.4	ascii	core-native	encode	drop	20	186645.6	182523.5	223385.1	0.219	185017.7	209988.6
codec-P	P2.4	P2.4	ascii	core-ffi	encode	drop	20	252668.9	248319.2	303778.4	0.219	250168.6	274433.3
codec-P	P2.4	P2.4	ascii	core-native	encode	retain	20	176169.3	172232.9	204623.6	0.184	175408.3	198168.7
codec-P	P2.4	P2.4	ascii	core-ffi	encode	retain	20	254508.3	246604.2	314517.1	0.267	250844.6	275791.0
codec-P	P2.2/wide	P2.2	wide	incumbent-prod	decode-read	default	20	2497427.2	2427977.8	2859828.8	0.173	2450179.2	2519201.3
codec-P	P2.2/wide	P2.2	wide	armonik	decode-read	default	20	2592943.5	2504050.5	2905788.2	0.155	2513715.6	2634343.8
codec-P	P2.2/wide	P2.2	wide	core-native	decode-read	drop	20	2239587.3	2155802.4	2494831.6	0.151	2185355.0	2277296.7
codec-P	P2.2/wide	P2.2	wide	core-ffi	decode-read	drop	20	2553933.4	2466739.8	2811929.0	0.135	2495958.6	2596777.6
codec-P	P2.2/wide	P2.2	wide	core-ffi-pull	decode-read	drop	20	2459546.2	2364514.5	2694972.5	0.134	2419444.2	2536380.9
codec-P	P2.2/wide	P2.2	wide	core-native	decode-read	retain	20	2291113.0	2200976.6	3698582.4	0.654	2221782.2	2325066.0
codec-P	P2.2/wide	P2.2	wide	core-ffi	decode-read	retain	20	2551465.4	2449410.0	4022167.8	0.616	2502488.1	2604986.0
codec-P	P2.2/wide	P2.2	wide	core-ffi-pull	decode-read	retain	20	2462241.8	2380404.8	2620786.0	0.098	2397907.1	2540160.1
codec-P	P3.1	P3.1	ascii	incumbent-prod	decode-read	default	20	27908.6	25513.7	35026.1	0.341	26240.7	31681.3
codec-P	P3.1	P3.1	ascii	armonik	decode-read	default	20	30928.4	24010.9	34298.9	0.333	25537.4	31428.7
codec-P	P3.1	P3.1	ascii	core-native	decode-read	drop	20	23637.7	18445.6	24461.4	0.255	19748.5	23781.1
codec-P	P3.1	P3.1	ascii	core-ffi	decode-read	drop	20	25089.3	20104.5	29706.1	0.383	20494.2	25490.3
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode-read	drop	20	25424.2	20055.8	27502.6	0.293	20851.5	26084.5
codec-P	P3.1	P3.1	ascii	core-native	decode-read	retain	20	23982.4	18849.4	24614.0	0.240	19681.8	24260.4
codec-P	P3.1	P3.1	ascii	core-ffi	decode-read	retain	20	25018.5	19207.1	27771.0	0.342	23605.9	25294.6
codec-P	P3.1	P3.1	ascii	core-ffi-pull	decode-read	retain	20	25657.0	20716.2	27838.0	0.278	22217.0	25843.0
codec-P	P1.2/latin1	P1.2	latin1	incumbent-prod	decode	default	20	601448.6	504206.8	638596.3	0.223	539316.6	604653.8
