# opt_compare  before=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/baseline2  after=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s5-u1u2  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-P	P1.1	decode	drop	core-ffi-pull/inc	1.380	0.944	-31.6%	lower
codec-P	P1.1	decode	drop	core-ffi/core-native	1.545	1.034	-33.0%	lower
codec-P	P1.1	decode	drop	core-ffi/inc	1.390	0.927	-33.3%	lower
codec-P	P1.1	decode	retain	core-ffi-pull/inc	1.403	0.952	-32.1%	lower
codec-P	P1.1	decode	retain	core-ffi/core-native	1.588	1.054	-33.6%	lower
codec-P	P1.1	decode	retain	core-ffi/inc	1.396	0.939	-32.7%	lower
codec-P	P1.1	decode-read	drop	core-ffi-pull/inc	1.401	0.894	-36.2%	lower
codec-P	P1.1	decode-read	drop	core-ffi/core-native	1.477	1.020	-31.0%	lower
codec-P	P1.1	decode-read	drop	core-ffi/inc	1.378	0.865	-37.2%	lower
codec-P	P1.1	decode-read	retain	core-ffi-pull/inc	1.440	0.901	-37.5%	lower
codec-P	P1.1	decode-read	retain	core-ffi/core-native	1.574	1.049	-33.4%	lower
codec-P	P1.1	decode-read	retain	core-ffi/inc	1.433	0.887	-38.1%	lower
codec-P	P1.1	encode	drop	core-ffi/core-native	1.923	1.583	-17.7%	lower
codec-P	P1.1	encode	drop	core-ffi/inc	0.298	0.242	-18.9%	lower
codec-P	P1.1	encode	retain	core-ffi/core-native	1.626	1.226	-24.6%	lower
codec-P	P1.1	encode	retain	core-ffi/inc	0.313	0.249	-20.5%	lower
codec-P	P1.2	decode	drop	core-ffi-pull/inc	1.151	0.813	-29.4%	lower
codec-P	P1.2	decode	drop	core-ffi/core-native	1.437	0.991	-31.0%	lower
codec-P	P1.2	decode	drop	core-ffi/inc	1.141	0.795	-30.3%	lower
codec-P	P1.2	decode	retain	core-ffi-pull/inc	1.146	0.805	-29.7%	lower
codec-P	P1.2	decode	retain	core-ffi/core-native	1.457	1.000	-31.3%	lower
codec-P	P1.2	decode	retain	core-ffi/inc	1.137	0.786	-30.9%	lower
codec-P	P1.2	decode-nodrop	drop	core-ffi/core-native	1.569	1.047	-33.2%	lower
codec-P	P1.2	decode-nodrop	drop	core-ffi/inc	1.178	0.771	-34.5%	lower
codec-P	P1.2	decode-nodrop	retain	core-ffi/core-native	1.591	1.039	-34.7%	lower
codec-P	P1.2	decode-nodrop	retain	core-ffi/inc	1.179	0.771	-34.7%	lower
codec-P	P1.2	decode-read	drop	armonik/inc	0.904	0.975	+7.9%	higher
codec-P	P1.2	decode-read	drop	core-ffi-pull/inc	1.146	0.831	-27.6%	lower
