# opt_compare  before=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s4-e4n1  after=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s5-u1u2  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-P	P1.1	decode-read	drop	core-native/inc	0.922	0.849	-8.0%	lower
codec-P	P1.1	encode	drop	armonik/inc	1.066	1.024	-3.9%	lower
codec-P	P1.1	encode	drop	core-ffi/inc	0.276	0.242	-12.4%	lower
codec-P	P1.1	encode	drop	core-native/inc	0.186	0.153	-17.9%	lower
codec-P	P1.1	encode	retain	armonik/inc	1.066	1.024	-3.9%	lower
codec-P	P1.1	encode	retain	core-ffi/inc	0.274	0.249	-9.3%	lower
codec-P	P1.1	encode	retain	core-native/inc	0.216	0.203	-6.1%	lower
codec-P	P1.2	encode	drop	core-ffi/core-native	1.339	1.454	+8.6%	higher
codec-P	P1.2	encode	drop	core-ffi/inc	0.287	0.255	-11.1%	lower
codec-P	P1.2	encode	drop	core-native/inc	0.214	0.176	-18.1%	lower
codec-P	P1.2	encode	retain	core-ffi/inc	0.295	0.266	-9.7%	lower
codec-P	P1.2	encode	retain	core-native/inc	0.237	0.218	-7.9%	lower
codec-P	P1.2/latin1	encode	drop	core-ffi/inc	0.294	0.261	-11.4%	lower
codec-P	P1.2/latin1	encode	drop	core-native/inc	0.211	0.178	-15.9%	lower
codec-P	P1.2/latin1	encode	retain	core-ffi/inc	0.305	0.273	-10.8%	lower
codec-P	P1.2/wide	encode	drop	core-ffi/inc	0.310	0.271	-12.6%	lower
codec-P	P1.2/wide	encode	drop	core-native/inc	0.218	0.185	-15.3%	lower
codec-P	P1.2/wide	encode	retain	core-ffi/inc	0.315	0.267	-15.3%	lower
codec-P	P1.2/wide	encode	retain	core-native/inc	0.237	0.204	-13.6%	lower
codec-P	P1.3	encode	drop	armonik/inc	1.277	1.222	-4.3%	lower
codec-P	P1.3	encode	drop	core-ffi/core-native	1.754	1.993	+13.7%	higher
codec-P	P1.3	encode	drop	core-ffi/inc	0.673	0.595	-11.5%	lower
codec-P	P1.3	encode	drop	core-native/inc	0.384	0.299	-22.1%	lower
codec-P	P1.3	encode	retain	armonik/inc	1.277	1.222	-4.3%	lower
codec-P	P1.3	encode	retain	core-ffi/core-native	1.669	1.558	-6.6%	lower
codec-P	P1.3	encode	retain	core-ffi/inc	0.681	0.612	-10.1%	lower
codec-P	P2.1	encode	drop	core-ffi/inc	0.362	0.324	-10.5%	lower
codec-P	P2.1	encode	drop	core-native/inc	0.210	0.187	-10.8%	lower
codec-P	P2.1	encode	retain	core-ffi/inc	0.379	0.335	-11.7%	lower
codec-P	P2.1	encode	retain	core-native/inc	0.244	0.226	-7.4%	lower
codec-P	P2.2	encode	drop	core-ffi/inc	0.367	0.333	-9.2%	lower
codec-P	P2.2	encode	drop	core-native/inc	0.259	0.231	-11.1%	lower
codec-P	P2.2	encode	retain	core-ffi/inc	0.375	0.338	-9.8%	lower
codec-P	P2.2	encode	retain	core-native/inc	0.264	0.240	-9.1%	lower
codec-P	P2.2/latin1	encode	drop	core-ffi/inc	0.366	0.324	-11.6%	lower
