# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P7.1	decode	drop	330.3	1.012	0.720	0.960	1.057	1.333	0.724	0.980
codec-P	P7.1	decode	retain	330.3	1.012	0.693	0.999	1.067	1.440	0.715	1.030
codec-P	P1.3	decode-read	drop	8523.7	1.341	1.344	1.844	1.992	1.372	1.311	1.902
codec-P	P1.3	decode-read	retain	8523.7	1.341	1.287	1.909	2.042	1.483	1.306	1.837
codec-P	P2.2	encode	drop	997636.3	1.018	0.231	0.333		1.444	0.246	0.357
codec-P	P2.2	encode	retain	997636.3	1.018	0.240	0.338		1.409	0.263	0.344
codec-P	P4.1	decode	drop	268661.2	0.989	0.880	0.955	0.922	1.085	0.890	0.960
codec-P	P4.1	decode	retain	268661.2	0.989	0.878	0.952	0.916	1.084	0.888	0.958
codec-P	P5.2	decode	drop	1689.7	0.056	1.002	1.005	1.007	1.002	0.972	0.993
codec-P	P5.2	decode	retain	1689.7	0.056	0.998	1.023	1.012	1.026	0.984	1.003
codec-P	P5.3	encode	drop	49704.4	0.943	0.971	0.848		0.873	0.972	0.876
codec-P	P5.3	encode	retain	49704.4	0.943	0.966	0.893		0.925	0.978	0.930
codec-P	P2.4	encode	drop	647444.5	0.980	0.293	0.398		1.357	0.339	0.427
codec-P	P2.4	encode	retain	647444.5	0.980	0.278	0.402		1.447	0.318	0.434
codec-P	P2.2/wide	decode-read	drop	2541371.0	1.025	0.889	1.012	0.982	1.138	0.881	0.985
codec-P	P2.2/wide	decode-read	retain	2541371.0	1.025	0.897	1.002	0.971	1.117	0.865	0.982
codec-P	P3.1	decode-read	drop	26800.6	1.196	0.902	0.969	0.990	1.074	0.891	0.961
codec-P	P3.1	decode-read	retain	26800.6	1.196	0.907	0.968	0.987	1.067	0.910	0.951
codec-P	P1.2/latin1	decode	drop	603712.2	0.976	0.825	0.831	0.853	1.007	0.826	0.828
codec-P	P1.2/latin1	decode	retain	603712.2	0.976	0.819	0.835	0.850	1.019	0.823	0.834
codec-P	P1.2	encode	drop	336463.0	1.051	0.176	0.255		1.454	0.174	0.248
codec-P	P1.2	encode	retain	336463.0	1.051	0.218	0.266		1.222	0.212	0.260
codec-P	P5.4	decode-read	drop	334819.5	0.000	1.005	1.008	1.004	1.003	1.003	1.007
codec-P	P5.4	decode-read	retain	334819.5	0.000	1.002	0.999	0.999	0.997	0.995	1.002
codec-P	P1.1	decode-read	drop	1277.7	1.114	0.849	0.865	0.895	1.020	0.849	0.868
codec-P	P1.1	decode-read	retain	1277.7	1.114	0.846	0.887	0.901	1.049	0.851	0.887
codec-P	P2.1	decode	drop	1907.9	1.049	0.781	1.121	1.104	1.436	0.781	1.095
codec-P	P2.1	decode	retain	1907.9	1.049	0.774	1.152	1.134	1.490	0.754	1.135
codec-P	P1.3	decode	drop	8384.0	1.376	1.369	1.925	2.107	1.406	1.366	1.918
codec-P	P1.3	decode	retain	8384.0	1.376	1.342	1.963	2.068	1.463	1.343	1.954
codec-P	P4.1	encode	drop	146898.6	1.006	0.187	0.312		1.670	0.188	0.308
codec-P	P4.1	encode	retain	146898.6	1.006	0.206	0.321		1.558	0.208	0.319
codec-P	P3.1	decode	drop	30073.7	0.995	0.730	0.778	0.798	1.067	0.726	0.770
codec-P	P3.1	decode	retain	30073.7	0.995	0.741	0.777	0.804	1.049	0.731	0.772
codec-P	P1.2/wide	encode	drop	345763.1	1.081	0.185	0.271		1.468	0.182	0.272
codec-P	P1.2/wide	encode	retain	345763.1	1.081	0.204	0.267		1.303	0.203	0.269
codec-P	P2.1	encode	drop	1450.7	1.008	0.187	0.324		1.731	0.187	0.324
codec-P	P2.1	encode	retain	1450.7	1.008	0.226	0.335		1.480	0.224	0.334
codec-P	P6.1	encode	drop	417366.5	1.019	0.177	0.182		1.027	0.167	0.174
codec-P	P6.1	encode	retain	417366.5	1.019	0.169	0.185		1.094	0.158	0.172
codec-P	P2.5	decode-read	drop	49495.1	1.072	0.829	0.961	0.922	1.160	0.826	0.963
codec-P	P2.5	decode-read	retain	49495.1	1.072	0.825	0.961	0.924	1.165	0.823	0.969
codec-P	P1.2	decode-read	drop	411155.8	0.975	0.803	0.816	0.831	1.017	0.790	0.799
codec-P	P1.2	decode-read	retain	411155.8	0.975	0.807	0.809	0.827	1.002	0.789	0.802
codec-P	P4.1	decode-read	drop	254744.6	1.007	0.913	0.965	0.930	1.057	0.909	0.955
codec-P	P4.1	decode-read	retain	254744.6	1.007	0.938	0.964	0.927	1.028	0.912	0.990
codec-P	P5.3	decode	drop	47312.2	0.002	0.994	0.997	0.992	1.002	0.977	1.001
codec-P	P5.3	decode	retain	47312.2	0.002	0.990	1.000	1.002	1.010	1.039	1.007
codec-P	P1.3	encode	drop	6127.5	1.222	0.299	0.595		1.994	0.296	0.589
codec-P	P1.3	encode	retain	6127.5	1.222	0.393	0.612		1.558	0.392	0.610
codec-P	P1.2/latin1	encode	drop	343077.4	1.062	0.178	0.261		1.466	0.180	0.262
codec-P	P1.2/latin1	encode	retain	343077.4	1.062	0.218	0.273		1.250	0.231	0.282
codec-P	P5.2	encode	drop	1643.9	0.994	0.945	0.952		1.008	0.939	0.940
codec-P	P5.2	encode	retain	1643.9	0.994	0.950	0.956		1.007	0.939	0.950
codec-P	P1.2	decode	drop	402736.1	0.957	0.802	0.795	0.813	0.991	0.804	0.808
codec-P	P1.2	decode	retain	402736.1	0.957	0.786	0.786	0.805	1.000	0.772	0.777
codec-P	P4.1	decode-nodrop	drop	207775.6	1.024	0.855	0.916		1.070	0.865	0.913
codec-P	P4.1	decode-nodrop	retain	207775.6	1.024	0.852	0.908		1.066	0.872	0.927
codec-P	P6.1	decode	drop	274055.1	1.044	0.416	0.644	0.559	1.549	0.412	0.647
codec-P	P6.1	decode	retain	274055.1	1.044	0.414	0.644	0.564	1.554	0.422	0.647
codec-P	P6.1	decode-nodrop	drop	298544.6	0.981	0.350	0.538		1.539	0.349	0.538
codec-P	P6.1	decode-nodrop	retain	298544.6	0.981	0.349	0.534		1.530	0.347	0.538
codec-P	P2.4	decode-read	drop	1846667.2	1.078	0.917	0.793	0.776	0.865	0.911	0.815
codec-P	P2.4	decode-read	retain	1846667.2	1.078	0.936	0.795	0.768	0.850	0.922	0.807
codec-P	P1.1	decode	drop	1257.3	1.155	0.896	0.927	0.943	1.034	0.912	0.885
codec-P	P1.1	decode	retain	1257.3	1.155	0.891	0.939	0.952	1.054	0.893	0.907
codec-P	P2.2	decode	drop	1423469.1	1.027	0.862	1.014	0.978	1.176	0.848	1.026
codec-P	P2.2	decode	retain	1423469.1	1.027	0.867	1.022	0.984	1.179	0.849	1.011
codec-P	P2.2/wide	encode	drop	1088051.9	1.020	0.247	0.327		1.327	0.249	0.334
codec-P	P2.2/wide	encode	retain	1088051.9	1.020	0.244	0.338		1.382	0.259	0.331
codec-P	P5.1	decode-read	drop	105.5	0.887	0.878	0.918	0.994	1.045	0.877	0.920
codec-P	P5.1	decode-read	retain	105.5	0.887	0.940	0.990	1.041	1.054	0.927	0.988
codec-P	P5.4	encode	drop	373181.3	0.979	0.992	0.985		0.993	0.994	0.976
codec-P	P5.4	encode	retain	373181.3	0.979	0.988	0.968		0.980	0.979	0.968
codec-P	P2.2/latin1	decode-read	drop	1938809.8	1.100	0.922	1.054	1.019	1.144	0.882	1.008
codec-P	P2.2/latin1	decode-read	retain	1938809.8	1.100	0.890	1.047	1.011	1.177	0.898	1.013
codec-P	P2.4	decode	drop	1694153.6	1.076	0.901	0.785	0.761	0.871	0.938	0.819
codec-P	P2.4	decode	retain	1694153.6	1.076	0.906	0.779	0.771	0.860	0.940	0.792
codec-P	P2.5	decode	drop	44131.3	1.066	0.827	0.956	0.920	1.156	0.836	0.964
codec-P	P2.5	decode	retain	44131.3	1.066	0.806	0.963	0.933	1.195	0.807	0.965
codec-P	P5.4	decode	drop	332705.9	0.000	1.024	1.016	1.001	0.993	1.049	1.029
codec-P	P5.4	decode	retain	332705.9	0.000	1.002	1.003	0.996	1.001	1.001	1.006
codec-P	P1.2	decode-nodrop	drop	317512.5	0.932	0.736	0.771		1.047	0.725	0.761
codec-P	P1.2	decode-nodrop	retain	317512.5	0.932	0.742	0.771		1.039	0.733	0.764
codec-P	P6.1	decode-read	drop	341714.2	1.026	0.440	0.601	0.531	1.366	0.438	0.596
codec-P	P6.1	decode-read	retain	341714.2	1.026	0.436	0.594	0.536	1.361	0.439	0.599
codec-P	P5.3	decode-read	drop	47683.7	0.002	1.007	1.001	1.000	0.994	0.999	1.009
codec-P	P5.3	decode-read	retain	47683.7	0.002	0.993	1.009	0.999	1.016	1.009	1.016
codec-P	P2.3	encode	drop	512970.2	0.995	0.249	0.368		1.475	0.275	0.386
codec-P	P2.3	encode	retain	512970.2	0.995	0.251	0.372		1.481	0.272	0.393
codec-P	P1.2/latin1	decode-read	drop	619843.0	0.985	0.831	0.847	0.867	1.020	0.831	0.850
codec-P	P1.2/latin1	decode-read	retain	619843.0	0.985	0.834	0.850	0.866	1.019	0.831	0.854
codec-P	P2.2/latin1	decode	drop	2025231.9	1.043	0.874	1.000	0.963	1.145	0.918	1.038
codec-P	P2.2/latin1	decode	retain	2025231.9	1.043	0.882	1.006	0.974	1.140	0.869	1.054
codec-P	P1.2/wide	decode	drop	710650.1	0.998	0.856	0.856	0.875	1.000	0.863	0.832
codec-P	P1.2/wide	decode	retain	710650.1	0.998	0.849	0.850	0.874	1.001	0.840	0.866
codec-P	P5.2	decode-read	drop	1678.5	0.057	0.998	1.008	1.008	1.010	0.995	1.005
codec-P	P5.2	decode-read	retain	1678.5	0.057	1.000	1.029	1.018	1.029	0.998	1.023
codec-P	P2.2	decode-nodrop	drop	1112362.7	1.013	0.862	1.034		1.200	0.835	1.000
codec-P	P2.2	decode-nodrop	retain	1112362.7	1.013	0.874	1.038		1.188	0.833	1.075
codec-P	P3.1	encode	drop	23153.2	1.018	0.162	0.272		1.683	0.159	0.268
codec-P	P3.1	encode	retain	23153.2	1.018	0.181	0.265		1.463	0.181	0.262
codec-P	P2.3	decode	drop	1205119.6	1.074	0.923	0.813	0.779	0.881	0.920	0.826
codec-P	P2.3	decode	retain	1205119.6	1.074	0.906	0.812	0.770	0.897	0.943	0.798
codec-P	P2.2/wide	decode	drop	2443359.0	1.030	0.884	1.011	0.987	1.144	0.891	0.997
codec-P	P2.2/wide	decode	retain	2443359.0	1.030	0.900	1.003	0.974	1.115	0.894	0.995
codec-P	P5.1	decode	drop	103.0	0.878	0.857	0.880	0.960	1.027	0.837	0.860
codec-P	P5.1	decode	retain	103.0	0.878	0.938	0.954	1.012	1.017	0.952	1.026
codec-P	P1.1	encode	drop	1277.7	1.024	0.153	0.242		1.583	0.154	0.244
codec-P	P1.1	encode	retain	1277.7	1.024	0.203	0.249		1.226	0.199	0.247
codec-P	P5.1	encode	drop	70.1	1.011	0.234	0.415		1.773	0.239	0.417
codec-P	P5.1	encode	retain	70.1	1.011	0.306	0.429		1.401	0.308	0.419
codec-P	P2.2	decode-read	drop	1536699.8	1.053	0.908	1.039	1.002	1.145	0.904	1.033
codec-P	P2.2	decode-read	retain	1536699.8	1.053	0.915	1.023	0.999	1.119	0.922	1.044
codec-P	P2.1	decode-read	drop	2294.1	1.016	0.805	0.943	0.945	1.171	0.709	0.939
codec-P	P2.1	decode-read	retain	2294.1	1.016	0.771	0.966	0.969	1.253	0.695	0.944
codec-P	P2.3	decode-read	drop	1287311.0	1.078	0.923	0.822	0.790	0.891	0.920	0.805
codec-P	P2.3	decode-read	retain	1287311.0	1.078	0.928	0.822	0.797	0.886	0.895	0.818
codec-P	P2.5	encode	drop	28078.8	0.997	0.197	0.314		1.591	0.197	0.313
codec-P	P2.5	encode	retain	28078.8	0.997	0.217	0.324		1.489	0.220	0.325
codec-P	P1.2/wide	decode-read	drop	730128.2	0.989	0.858	0.850	0.879	0.990	0.854	0.836
codec-P	P1.2/wide	decode-read	retain	730128.2	0.989	0.862	0.856	0.873	0.993	0.766	0.801
codec-P	P7.1	decode-read	drop	340.5	1.012	0.737	0.970	1.065	1.316	0.727	0.903
codec-P	P7.1	decode-read	retain	340.5	1.012	0.710	0.997	1.059	1.404	0.790	1.112
codec-P	P2.2/latin1	encode	drop	1068058.8	0.995	0.236	0.324		1.368	0.240	0.330
codec-P	P2.2/latin1	encode	retain	1068058.8	0.995	0.241	0.345		1.429	0.245	0.339
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt1	decode-read	drop						1.091		
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt1	decode-read	retain						1.157		
codec-U	U-wire-ListMetricsResponse-batches-as-wt5	encode	drop						1.151		
codec-U	U-wire-ListMetricsResponse-batches-as-wt5	encode	retain						1.160		
codec-U	U-nested-u-varint	encode	drop	275.8	1.031	0.162	0.302		1.865	0.164	0.295
codec-U	U-nested-u-varint	encode	retain	275.8	1.031	0.251	0.312		1.243	0.226	0.307
codec-U	U-oneof-member-after-known	decode	drop	128.1	1.009	0.700	0.841	0.966	1.201	0.704	0.829
codec-U	U-oneof-member-after-known	decode	retain	128.1	1.009	0.864	1.192	1.313	1.379	0.854	1.186
codec-U	U-wire-ListResultsResponse-results-as-wt1	decode-read	drop						1.039		
codec-U	U-wire-ListResultsResponse-results-as-wt1	decode-read	retain						1.131		
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt1	decode-read	drop						1.181		
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt1	decode-read	retain						1.189		
codec-U	U-wire-ListMetricsResponse-batches-as-wt0	decode-read	drop						1.481		
codec-U	U-wire-ListMetricsResponse-batches-as-wt0	decode-read	retain						1.489		
codec-U	U-wire-ListResultsResponse-page-as-wt5	decode-read	drop						1.034		
codec-U	U-wire-ListResultsResponse-page-as-wt5	decode-read	retain						1.140		
codec-U	U-nested-u-repeated	encode	drop	247.4	1.026	0.162	0.290		1.795	0.162	0.303
codec-U	U-nested-u-repeated	encode	retain	247.4	1.026	0.246	0.307		1.248	0.249	0.309
codec-U	U-wire-ListProbeResponse-probes-as-wt0	decode-read	drop						1.145		
codec-U	U-wire-ListProbeResponse-probes-as-wt0	decode-read	retain						1.246		
codec-U	U-nested-u-packed	decode-read	drop	307.3	1.046	0.844	0.915	0.951	1.083	0.846	0.879
codec-U	U-nested-u-packed	decode-read	retain	307.3	1.046	0.902	1.094	1.135	1.213	0.884	1.069
codec-U	U-enum-value-127	decode	drop	78.6	1.320	1.069	1.445	1.563	1.351	1.069	1.451
codec-U	U-enum-value-127	decode	retain	78.6	1.320	1.047	1.561	1.831	1.490	1.062	1.572
codec-U	U-element-u-varint	encode	drop	1363.3	1.019	0.185	0.317		1.714	0.184	0.316
codec-U	U-element-u-varint	encode	retain	1363.3	1.019	0.226	0.339		1.502	0.223	0.331
codec-U	U-enum-value-127	encode	drop	57.3	1.081	0.269	0.563		2.092	0.267	0.562
codec-U	U-enum-value-127	encode	retain	57.3	1.081	0.349	0.585		1.674	0.345	0.573
codec-U	U-root-u-fixed32	decode-read	drop	635.4	1.073	0.882	0.931	0.958	1.055	0.897	0.937
codec-U	U-root-u-fixed32	decode-read	retain	635.4	1.073	0.903	1.039	1.050	1.150	0.918	1.042
codec-U	U-nested-all	decode-read	drop	380.0	1.003	0.766	0.826	0.862	1.079	0.769	0.822
codec-U	U-nested-all	decode-read	retain	380.0	1.003	1.270	1.722	1.767	1.356	1.254	1.692
codec-U	U-leaf-u-fixed32	decode	drop	301.2	1.003	0.800	0.868	0.903	1.084	0.797	0.859
codec-U	U-leaf-u-fixed32	decode	retain	301.2	1.003	0.930	1.116	1.171	1.201	0.920	1.102
codec-U	U-wire-ListMetricsResponse-batches-as-wt5	decode-read	drop						1.535		
codec-U	U-wire-ListMetricsResponse-batches-as-wt5	decode-read	retain						1.505		
codec-U	U-element-u-len	decode	drop	2008.4	0.920	0.816	0.973	0.959	1.193	0.666	0.984
