# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per operation = thread CPU per criterion sample / iterations
file	input	payload	content	arm	dir	mode	samples	median_ns	min_ns	max_ns	spread	q25_ns	q75_ns
codec-P	P7.1	P7.1	ascii	incumbent-prod	decode	default	20	330.3	304.3	438.1	0.405	322.8	338.3
codec-P	P7.1	P7.1	ascii	armonik	decode	default	20	334.4	312.3	424.6	0.336	327.4	338.3
codec-P	P7.1	P7.1	ascii	core-native	decode	drop	20	237.7	220.2	271.3	0.215	233.3	241.5
codec-P	P7.1	P7.1	ascii	core-ffi	decode	drop	20	317.0	298.3	410.4	0.354	313.3	320.1
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	drop	20	349.0	328.2	457.3	0.370	346.3	354.1
codec-P	P7.1	P7.1	ascii	core-native	decode	retain	20	229.1	217.4	308.3	0.397	223.8	232.7
codec-P	P7.1	P7.1	ascii	core-ffi	decode	retain	20	330.0	313.5	416.5	0.312	325.8	334.1
codec-P	P7.1	P7.1	ascii	core-ffi-pull	decode	retain	20	352.3	327.5	389.4	0.176	348.3	357.8
codec-P	P1.3	P1.3	ascii	incumbent-prod	decode-read	default	20	8523.7	7238.6	9515.8	0.267	7911.3	9224.6
codec-P	P1.3	P1.3	ascii	armonik	decode-read	default	20	11426.3	9530.3	14738.9	0.456	10483.6	12299.5
codec-P	P1.3	P1.3	ascii	core-native	decode-read	drop	20	11459.4	9489.0	12598.2	0.271	10344.2	12236.4
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	drop	20	15719.6	13767.9	17551.7	0.241	14176.0	17094.7
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	drop	20	16976.6	14850.4	19624.7	0.281	15255.4	18873.8
codec-P	P1.3	P1.3	ascii	core-native	decode-read	retain	20	10971.5	9453.4	12378.5	0.267	9904.3	12077.6
codec-P	P1.3	P1.3	ascii	core-ffi	decode-read	retain	20	16269.1	13298.8	18161.4	0.299	14858.4	17341.1
codec-P	P1.3	P1.3	ascii	core-ffi-pull	decode-read	retain	20	17403.1	14196.8	19058.8	0.279	15906.1	18553.6
codec-P	P2.2	P2.2	ascii	incumbent-prod	encode	default	20	997636.3	842193.8	1063180.4	0.222	978743.2	1031238.4
codec-P	P2.2	P2.2	ascii	armonik	encode	default	20	1015178.1	840960.3	1131251.1	0.286	1008721.9	1022572.9
codec-P	P2.2	P2.2	ascii	core-native	encode	drop	20	230005.4	207418.6	254764.4	0.206	220524.1	236175.0
codec-P	P2.2	P2.2	ascii	core-ffi	encode	drop	20	332239.5	301010.1	368945.0	0.204	320731.7	338697.9
