# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned-nounk	pinned	A	a	1	12	2567125.0	2326458.3	2685500.0	2888160.3	2627925.3	3355762.8
rpc-pinned-nounk	pinned	B	a	1	12	2219062.5	2123250.0	2854291.7	2662030.9	2419942.4	3252815.2
rpc-pinned-nounk	pinned	C-nounk	a	1	12	2280833.3	2101041.7	2897041.7	2732332.0	2413199.3	3339645.0
rpc-pinned-nounk	pinned	D-nounk	a	1	12	2328541.7	2089916.7	2877708.3	2871274.0	2323517.5	3310937.2
rpc-pinned-nounk	pinned	A	a	8	12	3054062.5	2604750.0	3154208.3	3177947.2	2657109.2	3330599.8
rpc-pinned-nounk	pinned	B	a	8	12	3012895.8	2771583.3	3322208.3	3081736.2	2804406.0	3738095.7
rpc-pinned-nounk	pinned	C-nounk	a	8	12	3104729.2	2956333.3	3324125.0	3259798.1	2985465.8	3564995.9
rpc-pinned-nounk	pinned	D-nounk	a	8	12	3130875.0	2792458.3	3363541.7	3306237.8	3111189.0	4035940.1
rpc-pinned-nounk	pinned	A	a	16	12	3348531.2	3255718.8	3590312.5	3529078.8	3302475.9	4462366.0
rpc-pinned-nounk	pinned	B	a	16	12	3204937.5	2922937.5	3492031.2	3357698.6	2942023.3	3989208.3
rpc-pinned-nounk	pinned	C-nounk	a	16	12	3269921.9	3073562.5	3585906.2	3508210.3	3122189.6	4614001.3
rpc-pinned-nounk	pinned	D-nounk	a	16	12	3417812.5	3197093.8	4046343.8	3698473.9	3247433.7	5597853.3
rpc-pinned-nounk	pinned	A	b	1	12	1847416.7	1651625.0	1994541.7	4192137.5	3908644.8	4655542.9
rpc-pinned-nounk	pinned	B	b	1	12	1238895.8	1184833.3	1393000.0	3678970.0	3460752.8	6131233.5
rpc-pinned-nounk	pinned	C-nounk	b	1	12	1043666.7	927791.7	1154250.0	3415587.1	3100563.8	7701770.8
rpc-pinned-nounk	pinned	D-nounk	b	1	12	1084312.5	1024250.0	1153541.7	3523634.4	3279076.9	4304963.5
rpc-pinned-nounk	pinned	A	b	8	12	1901083.3	1697166.7	2336291.7	2169095.0	1963908.8	2703991.3
rpc-pinned-nounk	pinned	B	b	8	12	1256229.2	1112416.7	1498958.3	2049165.2	1765971.2	2826044.5
rpc-pinned-nounk	pinned	C-nounk	b	8	12	973479.2	911666.7	1146708.3	1931273.3	1530149.7	2174656.8
rpc-pinned-nounk	pinned	D-nounk	b	8	12	1016854.2	980375.0	1210125.0	1783724.6	1258236.0	2249569.9
rpc-pinned-nounk	pinned	A	b	16	12	2130406.2	1816750.0	2545218.8	2463358.9	2026623.1	3173254.8
rpc-pinned-nounk	pinned	B	b	16	12	1330828.1	1204750.0	1575406.2	2189064.4	1710724.0	2667842.1
rpc-pinned-nounk	pinned	C-nounk	b	16	12	1084500.0	1017250.0	1411000.0	1989826.3	1774197.2	2442790.8
rpc-pinned-nounk	pinned	D-nounk	b	16	12	1209125.0	1026250.0	1391656.2	2194825.7	1654419.4	2981341.1
rpc-pinned	pinned	A	a	1	12	2370270.8	2190750.0	2724375.0	2745140.3	2380019.8	3445909.6
rpc-pinned	pinned	B	a	1	12	2082791.7	1979333.3	2291833.3	2343412.5	2248911.1	2749552.8
rpc-pinned	pinned	C-retain	a	1	12	2230000.0	1947458.3	2375500.0	2575340.5	2220930.0	3075915.8
rpc-pinned	pinned	C-drop	a	1	12	2228125.0	1930375.0	2347458.3	2536051.4	2206999.0	3323281.0
rpc-pinned	pinned	D-retain	a	1	12	2179979.2	1993291.7	2316666.7	2427946.4	2188899.1	2710222.2
rpc-pinned	pinned	D-drop	a	1	12	2231479.2	2000500.0	2353375.0	2618173.5	2201776.1	2967872.5
rpc-pinned	pinned	A	a	8	12	2697937.5	2378458.3	2960458.3	2823009.2	2475560.1	4145796.0
rpc-pinned	pinned	B	a	8	12	2651104.2	2178291.7	2942250.0	2876187.2	2205994.9	3215575.0
rpc-pinned	pinned	C-retain	a	8	12	2562770.8	2174625.0	3081625.0	2699475.7	2259414.1	4213877.1
rpc-pinned	pinned	C-drop	a	8	12	3029000.0	2610583.3	3224458.3	3252635.9	2621318.3	3552418.9
rpc-pinned	pinned	D-retain	a	8	12	2680687.5	2238125.0	3089000.0	2802974.7	2271053.8	3935489.2
rpc-pinned	pinned	D-drop	a	8	12	3021062.5	2588541.7	3195041.7	3195509.0	2622385.5	3594350.6
rpc-pinned	pinned	A	a	16	12	3015468.8	2610406.2	3227062.5	3118856.9	2708588.6	3640784.4
rpc-pinned	pinned	B	a	16	12	2939015.6	2490843.8	3070031.2	3043766.5	2656691.6	3382949.0
rpc-pinned	pinned	C-retain	a	16	12	3175031.2	2756125.0	3366687.5	3293443.1	2970356.0	4549238.0
rpc-pinned	pinned	C-drop	a	16	12	3343656.2	3201468.8	3492343.8	3514541.3	3293682.7	3714125.5
rpc-pinned	pinned	D-retain	a	16	12	3141953.1	2881687.5	3440531.2	3344029.5	2917212.0	4218670.0
rpc-pinned	pinned	D-drop	a	16	12	3285453.1	2883093.8	3490968.8	3448860.9	3033812.5	4242001.4
rpc-pinned	pinned	A	b	1	12	1944458.3	1883458.3	2023500.0	4476767.5	4216165.2	4952428.5
rpc-pinned	pinned	B	b	1	12	1299645.8	1246083.3	1391250.0	3884634.9	3623231.9	4304358.1
rpc-pinned	pinned	C-retain	b	1	12	1077979.2	943625.0	1122958.3	3749076.1	3288675.6	5028300.5
rpc-pinned	pinned	C-drop	b	1	12	1087729.2	1042791.7	1155208.3	3601692.6	3307022.0	3861736.5
rpc-pinned	pinned	D-retain	b	1	12	1087916.7	1046875.0	1193583.3	3494622.4	3291077.1	3881245.0
rpc-pinned	pinned	D-drop	b	1	12	1083395.8	1037416.7	1162208.3	3571466.9	3415113.1	4079130.4
