  U-chunkelem-all                    ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-chunkelem-u-fixed32              ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-chunkelem-u-fixed64              ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-chunkelem-u-len                  ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-chunkelem-u-msg                  ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-chunkelem-u-packed               ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-chunkelem-u-repeated             ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-chunkelem-u-varint               ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-deep-all                         ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-deep-u-fixed32                   ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-deep-u-fixed64                   ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-deep-u-len                       ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-deep-u-msg                       ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-deep-u-packed                    ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-deep-u-repeated                  ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-deep-u-varint                    ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-element-all                      ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-element-u-fixed32                ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-element-u-fixed64                ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-element-u-len                    ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-element-u-msg                    ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-element-u-packed                 ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-element-u-repeated               ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-element-u-varint                 ListTasksDetailedResponse  positions 18, changed by zeroing  1, entry bytes 0
  U-group-field-max                  WireZoo                    positions  2, changed by zeroing  1, entry bytes 0
  U-leaf-all                         ListResultsResponse        positions  4, changed by zeroing  2, entry bytes 0
  U-leaf-u-fixed32                   ListResultsResponse        positions  4, changed by zeroing  2, entry bytes 0
  U-leaf-u-fixed64                   ListResultsResponse        positions  4, changed by zeroing  2, entry bytes 0
  U-leaf-u-len                       ListResultsResponse        positions  4, changed by zeroing  2, entry bytes 0
  U-leaf-u-msg                       ListResultsResponse        positions  4, changed by zeroing  2, entry bytes 0
  U-leaf-u-packed                    ListResultsResponse        positions  4, changed by zeroing  2, entry bytes 0
  U-leaf-u-repeated                  ListResultsResponse        positions  4, changed by zeroing  2, entry bytes 0
  U-leaf-u-varint                    ListResultsResponse        positions  4, changed by zeroing  2, entry bytes 0
  U-map-entry                        ListTasksDetailedResponse  positions 18, changed by zeroing  0, entry bytes 8
  U-nested-all                       ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-before                    ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-group                     ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-interleaved               ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-u-fixed32                 ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-u-fixed64                 ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-u-len                     ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-u-msg                     ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-u-packed                  ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-u-repeated                ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-nested-u-varint                  ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-all                        ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-before                     ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-group                      ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-interleaved                ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-member-after-known         ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-member-alone               ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-member-before-known        ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-u-fixed32                  ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-u-fixed64                  ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-u-len                      ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-u-msg                      ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-u-packed                   ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-u-repeated                 ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-oneof-u-varint                   ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
  U-root-all                         ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-before                      ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-group                       ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-interleaved                 ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-max-tag                     ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-u-fixed32                   ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-u-fixed64                   ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-u-len                       ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-u-msg                       ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
  U-root-u-packed                    ListResultsResponse        positions  4, changed by zeroing  1, entry bytes 0
