# input                                            direction    mode    forward  reverse
P1.1                                             encode       drop          2        1
P1.1                                             decode       drop          1        2
P1.1                                             decode-pull  drop          2        0
P1.1                                             encode       retain        2        1
P1.1                                             decode       retain        1        2
P1.1                                             decode-pull  retain        2        0
P1.2                                             encode       drop          8        1
P1.2                                             decode       drop          1        8
P1.2                                             decode-pull  drop          2        0
P1.2                                             encode       retain       10        1
P1.2                                             decode       retain        1        8
P1.2                                             decode-pull  retain        2        0
P1.2/latin1                                      encode       drop          8        1
P1.2/latin1                                      decode       drop          1        8
P1.2/latin1                                      decode-pull  drop          2        0
P1.2/latin1                                      encode       retain       10        1
P1.2/latin1                                      decode       retain        1        8
P1.2/latin1                                      decode-pull  retain        2        0
P1.2/wide                                        encode       drop          8        1
P1.2/wide                                        decode       drop          1        8
P1.2/wide                                        decode-pull  drop          2        0
P1.2/wide                                        encode       retain       10        1
P1.2/wide                                        decode       retain        1        8
P1.2/wide                                        decode-pull  retain        2        0
P1.3                                             encode       drop          3        1
P1.3                                             decode       drop          1        3
P1.3                                             decode-pull  drop          2        0
P1.3                                             encode       retain        4        1
P1.3                                             decode       retain        1        3
P1.3                                             decode-pull  retain        2        0
P2.1                                             encode       drop          7        6
P2.1                                             decode       drop          1        8
P2.1                                             decode-pull  drop          2        0
P2.1                                             encode       retain        7        6
P2.1                                             decode       retain        1        8
P2.1                                             decode-pull  retain        2        0
P2.2                                             encode       drop       2511     2501
P2.2                                             decode       drop          1     3501
P2.2                                             decode-pull  drop          2        0
P2.2                                             encode       retain     2517     2501
P2.2                                             decode       retain        1     3501
P2.2                                             decode-pull  retain        2        0
P2.2/latin1                                      encode       drop       2511     2501
P2.2/latin1                                      decode       drop          1     3501
P2.2/latin1                                      decode-pull  drop          2        0
P2.2/latin1                                      encode       retain     2517     2501
P2.2/latin1                                      decode       retain        1     3501
P2.2/latin1                                      decode-pull  retain        2        0
P2.2/wide                                        encode       drop       2511     2501
P2.2/wide                                        decode       drop          1     3501
P2.2/wide                                        decode-pull  drop          2        0
P2.2/wide                                        encode       retain     2517     2501
P2.2/wide                                        decode       retain        1     3501
P2.2/wide                                        decode-pull  retain        2        0
P2.3                                             encode       drop        629      626
P2.3                                             decode       drop          1      876
P2.3                                             decode-pull  drop          2        0
P2.3                                             encode       retain      630      626
P2.3                                             decode       retain        1      876
P2.3                                             decode-pull  retain        2        0
P2.4                                             encode       drop        403      401
P2.4                                             decode       drop          1      561
P2.4                                             decode-pull  drop          2        0
P2.4                                             encode       retain      404      401
P2.4                                             decode       retain        1      561
P2.4                                             decode-pull  retain        2        0
P2.5                                             encode       drop        102      101
P2.5                                             decode       drop          1      141
P2.5                                             decode-pull  drop          2        0
P2.5                                             encode       retain      102      101
P2.5                                             decode       retain        1      141
P2.5                                             decode-pull  retain        2        0
P3.1                                             encode       drop          2        1
P3.1                                             decode       drop          1        2
P3.1                                             decode-pull  drop          2        0
P3.1                                             encode       retain        3        1
P3.1                                             decode       retain        1        2
P3.1                                             decode-pull  retain        2        0
P4.1                                             encode       drop        203      201
P4.1                                             decode       drop          1      601
P4.1                                             decode-pull  drop          2        0
P4.1                                             encode       retain      204      201
P4.1                                             decode       retain        1      601
P4.1                                             decode-pull  retain        2        0
P5.1                                             encode       drop          1        0
P5.1                                             decode       drop          1        1
P5.1                                             decode-pull  drop          2        0
P5.1                                             encode       retain        1        0
P5.1                                             decode       retain        1        1
P5.1                                             decode-pull  retain        2        0
P5.2                                             encode       drop          1        0
P5.2                                             decode       drop          1        1
P5.2                                             decode-pull  drop          2        0
P5.2                                             encode       retain        1        0
P5.2                                             decode       retain        1        1
P5.2                                             decode-pull  retain        2        0
P5.3                                             encode       drop          1        0
P5.3                                             decode       drop          1        1
P5.3                                             decode-pull  drop          2        0
P5.3                                             encode       retain        1        0
P5.3                                             decode       retain        1        1
P5.3                                             decode-pull  retain        2        0
P5.4                                             encode       drop          1        0
P5.4                                             decode       drop          1        1
P5.4                                             decode-pull  drop          2        0
P5.4                                             encode       retain        1        0
P5.4                                             decode       retain        1        1
P5.4                                             decode-pull  retain        2        0
P6.1                                             encode       drop       1002     1001
P6.1                                             decode       drop          1     1401
P6.1                                             decode-pull  drop          2        0
P6.1                                             encode       retain     1002     1001
P6.1                                             decode       retain        1     1401
P6.1                                             decode-pull  retain        2        0
P7.1                                             decode       drop          1        7
P7.1                                             decode-pull  drop          2        0
P7.1                                             decode       retain        1        7
P7.1                                             decode-pull  retain        2        0
U-deep-all                                       encode       drop          7        6
U-deep-all                                       decode       drop          1        8
U-deep-all                                       decode-pull  drop          2        0
U-deep-all                                       encode       retain        7        6
U-deep-all                                       decode       retain        1       16
U-deep-all                                       decode-pull  retain        2        8
U-deep-u-fixed32                                 encode       drop          7        6
U-deep-u-fixed32                                 decode       drop          1        8
U-deep-u-fixed32                                 decode-pull  drop          2        0
U-deep-u-fixed32                                 encode       retain        7        6
U-deep-u-fixed32                                 decode       retain        1        9
U-deep-u-fixed32                                 decode-pull  retain        2        1
U-deep-u-fixed64                                 encode       drop          7        6
U-deep-u-fixed64                                 decode       drop          1        8
U-deep-u-fixed64                                 decode-pull  drop          2        0
U-deep-u-fixed64                                 encode       retain        7        6
U-deep-u-fixed64                                 decode       retain        1        9
U-deep-u-fixed64                                 decode-pull  retain        2        1
U-deep-u-len                                     encode       drop          7        6
U-deep-u-len                                     decode       drop          1        8
U-deep-u-len                                     decode-pull  drop          2        0
U-deep-u-len                                     encode       retain        7        6
U-deep-u-len                                     decode       retain        1        9
U-deep-u-len                                     decode-pull  retain        2        1
U-deep-u-msg                                     encode       drop          7        6
U-deep-u-msg                                     decode       drop          1        8
U-deep-u-msg                                     decode-pull  drop          2        0
U-deep-u-msg                                     encode       retain        7        6
U-deep-u-msg                                     decode       retain        1        9
U-deep-u-msg                                     decode-pull  retain        2        1
U-deep-u-packed                                  encode       drop          7        6
U-deep-u-packed                                  decode       drop          1        8
U-deep-u-packed                                  decode-pull  drop          2        0
U-deep-u-packed                                  encode       retain        7        6
U-deep-u-packed                                  decode       retain        1        9
U-deep-u-packed                                  decode-pull  retain        2        1
U-deep-u-repeated                                encode       drop          7        6
U-deep-u-repeated                                decode       drop          1        8
U-deep-u-repeated                                decode-pull  drop          2        0
U-deep-u-repeated                                encode       retain        7        6
U-deep-u-repeated                                decode       retain        1       10
U-deep-u-repeated                                decode-pull  retain        2        2
U-deep-u-varint                                  encode       drop          7        6
U-deep-u-varint                                  decode       drop          1        8
U-deep-u-varint                                  decode-pull  drop          2        0
U-deep-u-varint                                  encode       retain        7        6
U-deep-u-varint                                  decode       retain        1        9
U-deep-u-varint                                  decode-pull  retain        2        1
U-element-all                                    encode       drop          7        6
U-element-all                                    decode       drop          1        8
U-element-all                                    decode-pull  drop          2        0
U-element-all                                    encode       retain        7        6
U-element-all                                    decode       retain        1       16
U-element-all                                    decode-pull  retain        2        8
U-element-u-fixed32                              encode       drop          7        6
U-element-u-fixed32                              decode       drop          1        8
U-element-u-fixed32                              decode-pull  drop          2        0
U-element-u-fixed32                              encode       retain        7        6
U-element-u-fixed32                              decode       retain        1        9
U-element-u-fixed32                              decode-pull  retain        2        1
U-element-u-fixed64                              encode       drop          7        6
U-element-u-fixed64                              decode       drop          1        8
U-element-u-fixed64                              decode-pull  drop          2        0
U-element-u-fixed64                              encode       retain        7        6
U-element-u-fixed64                              decode       retain        1        9
U-element-u-fixed64                              decode-pull  retain        2        1
U-element-u-len                                  encode       drop          7        6
U-element-u-len                                  decode       drop          1        8
U-element-u-len                                  decode-pull  drop          2        0
U-element-u-len                                  encode       retain        7        6
U-element-u-len                                  decode       retain        1        9
U-element-u-len                                  decode-pull  retain        2        1
U-element-u-msg                                  encode       drop          7        6
U-element-u-msg                                  decode       drop          1        8
U-element-u-msg                                  decode-pull  drop          2        0
U-element-u-msg                                  encode       retain        7        6
U-element-u-msg                                  decode       retain        1        9
U-element-u-msg                                  decode-pull  retain        2        1
U-element-u-packed                               encode       drop          7        6
U-element-u-packed                               decode       drop          1        8
U-element-u-packed                               decode-pull  drop          2        0
U-element-u-packed                               encode       retain        7        6
U-element-u-packed                               decode       retain        1        9
U-element-u-packed                               decode-pull  retain        2        1
U-element-u-repeated                             encode       drop          7        6
U-element-u-repeated                             decode       drop          1        8
U-element-u-repeated                             decode-pull  drop          2        0
U-element-u-repeated                             encode       retain        7        6
U-element-u-repeated                             decode       retain        1       10
U-element-u-repeated                             decode-pull  retain        2        2
U-element-u-varint                               encode       drop          7        6
U-element-u-varint                               decode       drop          1        8
U-element-u-varint                               decode-pull  drop          2        0
U-element-u-varint                               encode       retain        7        6
U-element-u-varint                               decode       retain        1        9
U-element-u-varint                               decode-pull  retain        2        1
U-enum-value-127                                 encode       drop          2        1
U-enum-value-127                                 decode       drop          1        2
U-enum-value-127                                 decode-pull  drop          2        0
U-enum-value-127                                 encode       retain        2        1
U-enum-value-127                                 decode       retain        1        2
U-enum-value-127                                 decode-pull  retain        2        0
U-enum-value-2147483647                          encode       drop          2        1
U-enum-value-2147483647                          decode       drop          1        2
U-enum-value-2147483647                          decode-pull  drop          2        0
U-enum-value-2147483647                          encode       retain        2        1
U-enum-value-2147483647                          decode       retain        1        2
U-enum-value-2147483647                          decode-pull  retain        2        0
U-enum-value-999                                 encode       drop          2        1
U-enum-value-999                                 decode       drop          1        2
U-enum-value-999                                 decode-pull  drop          2        0
U-enum-value-999                                 encode       retain        2        1
U-enum-value-999                                 decode       retain        1        2
U-enum-value-999                                 decode-pull  retain        2        0
U-enum-value-packed                              encode       drop          7        6
U-enum-value-packed                              decode       drop          1        4
U-enum-value-packed                              decode-pull  drop          2        0
U-enum-value-packed                              encode       retain        7        6
U-enum-value-packed                              decode       retain        1        4
U-enum-value-packed                              decode-pull  retain        2        0
U-leaf-all                                       encode       drop          2        1
U-leaf-all                                       decode       drop          1        2
U-leaf-all                                       decode-pull  drop          2        0
U-leaf-all                                       encode       retain        2        1
U-leaf-all                                       decode       retain        1       18
U-leaf-all                                       decode-pull  retain        2       16
U-leaf-u-fixed32                                 encode       drop          2        1
U-leaf-u-fixed32                                 decode       drop          1        2
